,fluxes,kcat,MW,kcat_MW,equ
PYK_num1,0.0,9171089.867,205.4286,44643.685772088225,adp_c + h_c + pep_c --> atp_c + pyr_c
A5PISO_num1,0.0,424938.4614,140.7843,3018.3654100634803,ru5p__D_c --> ara5p_c
EX_met__L_e,0.0,,,,met__L_e --> 
EX_metsox_S__L_e,0.0,,,,metsox_S__L_e --> 
IPPMIb,0.0,9598.568465,72.3693,132.6331533537011,2ippm_c + h2o_c --> 3c3hmp_c
ACHBS_num1,0.18804086577670542,131391.2571,143.0927,918.2247389279815,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
ACLS_num1,0.0,140584.4308,161.9222,868.2220893737857,h_c + 2.0 pyr_c --> alac__S_c + co2_c
PSCVT,0.24667398684452221,66641.84392,46.0958,1445.724858230034,pep_c + skm5p_c --> 3psme_c + pi_c
ANS,0.03679084336966453,30093.41093,228.7288,131.56808819003118,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c
ANPRT,0.03679084336966453,4895.886082,113.7399,43.044578745013844,anth_c + prpp_c --> ppi_c + pran_c
CHORM_num1,0.0,504308305.1,86.2227,5848904.118057078,chor_c --> pphn_c
CHORS,0.24667398684452221,35853.475419999995,156.5498,229.02281203808624,3psme_c --> chor_c + pi_c
IGPS,0.03679084336966453,13523.15849,49.4923,273.23762464060064,2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
EX_crn_e,-0.0,,,,crn_e --> 
EX_fe3_e,0.0,,,,fe3_e --> 
EX_glcn_e,0.0,,,,glcn_e --> 
EX_gln__L_e,0.0,,,,gln__L_e --> 
EX_glyc_e,0.0,,,,glyc_e --> 
EX_man_e,0.0,,,,man_e --> 
EX_mn2_e,0.0,,,,mn2_e --> 
EX_rib__D_e,0.0,,,,rib__D_e --> 
EX_sbt__D_e,0.0,,,,sbt__D_e --> 
ECOAH6_num1,0.0973624366485213,4002840.0,77.0722,51936.23641209152,3htdcoa_c --> h2o_c + td2coa_c
ENO,7.929630774092975,230620.398,91.3099,2525.6888683483394,2pg_c --> h2o_c + pep_c
FBA_num1,0.0,37029.58592,78.2945,472.9525818544087,fdp_c --> dhap_c + g3p_c
MGSA,0.0,877072.5,101.5115,8640.12944346207,dhap_c --> mthgxl_c + pi_c
PPS,0.0,1416119.76,174.8702,8098.1194051359225,atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c
PGI,0.0,4689890.6,123.0595,38110.756178921576,g6p_c --> f6p_c
PGK,0.0,982517.4173,41.1182,23894.95204799821,3pg_c + atp_c --> 13dpg_c + adp_c
EDA,4.884772160096418e-06,259742.268,66.8521,3885.326982996795,2ddg6p_c --> g3p_c + pyr_c
PGL,28.310135009124167,184850.9778,36.3076,5091.247501900429,6pgl_c + h2o_c --> 6pgc_c + h_c
RPE,18.37129105662892,4676669.01,24.5542,190463.09837013626,ru5p__D_c --> xu5p__D_c
TALA_num1,0.0,551472.9062,70.4385,7829.140401910886,g3p_c + s7p_c --> e4p_c + f6p_c
TKT1_num1,0.0,43499085.23,144.4235,301191.1858527179,r5p_c + xu5p__D_c --> g3p_c + s7p_c
G6PDA,0.0,1036669.091,178.6452,5802.949595063287,gam6p_c + h2o_c --> f6p_c + nh4_c
ALCD2x_num1,0.0,614130.9232,3845.0896,159.71823470641618,etoh_c + nad_c --> acald_c + h_c + nadh_c
ALDD2y_num1,0.0,58605.48,29.41,1992.7058823529408,acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c
RMI,0.0,539316.0,188.7978,2856.5798965877775,rmn_c --> rml_c
EX_ura_e,0.0,,,,ura_e --> 
EX_val__L_e,0.0,,,,val__L_e --> 
EX_xan_e,0.0,,,,xan_e --> 
FMNAT,0.00014433365711585822,168.39666,34.7343,4.8481374318756965,atp_c + fmn_c + h_c --> fad_c + ppi_c
NADDP_num1,0.0,375317.55,59.3779,6320.828961617032,h2o_c + nad_c --> amp_c + 2.0 h_c + nmn_c
NMNAT_num1,0.0,27709.78505,189.3833,146.31588450512797,atp_c + h_c + nmn_c --> nad_c + ppi_c
HMPK1_num1,0.0,779.6571444,114.5344,6.8071875733404115,4ahmmp_c + atp_c --> 4ampm_c + adp_c + h_c
NDPK6_num1,0.0,664696.5401,23.586,28181.825663529213,atp_c + dudp_c --> adp_c + dutp_c
NDPK8_num1,0.0,664696.5401,23.586,28181.825663529213,atp_c + dadp_c --> adp_c + datp_c
PYNP2r,0.0,263696.0,162.9545,1618.2185824877497,pi_c + uri_c --> r1p_c + ura_c
DURIPP_num1,0.0,108121.8461,94.4142,1145.1862760050924,duri_c + pi_c --> 2dr1p_c + ura_c
PTRCTA,0.0,,,,akg_c + ptrc_c --> 4abutn_c + glu__L_c
CYSDS_num1,0.0,16547.36585,172.8495,95.732795582284,cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c
TRPAS2,0.0,18958.90909,211.0938,89.81272349069468,h2o_c + trp__L_c --> indole_c + nh4_c + pyr_c
NDP3_num1,0.0,2073051.733,17.4329,118916.057167769,gdp_c + h2o_c --> gmp_c + h_c + pi_c
CDPPH,0.0,1828990.311,35.353,51735.08078522332,cdp_c + h2o_c --> cmp_c + h_c + pi_c
NDP7,0.0,1828990.311,35.353,51735.08078522332,h2o_c + udp_c --> h_c + pi_c + ump_c
EX_co2_e,31.78708670038862,,,,co2_e --> 
PMDPHT_num1,0.0,5574.399998,30.195999999999998,184.60723267982516,5aprbu_c + h2o_c --> 4r5au_c + pi_c
ILETA,0.0,802172.3112,204.5619,3921.416017352205,akg_c + ile__L_c --> 3mop_c + glu__L_c
VALTA,0.0,690943.2725,204.5619,3377.673322842621,akg_c + val__L_c --> 3mob_c + glu__L_c
ORPT,0.0,15318.36,47.13399999999999,324.995968939619,orot5p_c + ppi_c --> orot_c + prpp_c
RBFSa,0.0005773346284633788,1006.207715,969.3906,1.0379796492765665,4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
DHAD2,0.18804086577670542,167295.7863,131.0631,1276.4522302616072,23dhmp_c --> 3mop_c + h2o_c
G1PP_num1,0.0,263400.0,22.732,11587.189864508182,g1p_c + h2o_c --> glc__D_c + pi_c
PFL_num1,0.0,28737.0,118.3894,242.73287980173905,coa_c + pyr_c --> accoa_c + for_c
FRD2,0.0,3770063.233,121.2166,31101.872458062677,fum_c + mql8_c --> mqn8_c + succ_c
FRD3,0.0,,,,2dmmql8_c + fum_c --> 2dmmq8_c + succ_c
POX,3.4983846226112094,,,,h2o_c + pyr_c + q8_c --> ac_c + co2_c + q8h2_c
PTAr_num1,0.0,5373508.068,463.0325,11605.034350720522,accoa_c + pi_c --> actp_c + coa_c
ACKr_num1,3.0517746651538658,2953305.553000001,42.4337,69598.11548368397,ac_c + atp_c --> actp_c + adp_c
EX_hxan_e,0.0,,,,hxan_e --> 
EX_ile__L_e,0.0,,,,ile__L_e --> 
EX_lac__L_e,0.0,,,,lac__L_e --> 
EX_leu__L_e,0.0,,,,leu__L_e --> 
EX_no3_e,-0.0,,,,no3_e --> 
EX_orn_e,0.0,,,,orn_e --> 
EX_pro__L_e,0.0,,,,pro__L_e --> 
EX_pyr_e,0.0,,,,pyr_e --> 
EX_succ_e,0.0,,,,succ_e --> 
EX_thymd_e,0.0,,,,thymd_e --> 
EX_tyr__L_e,0.0,,,,tyr__L_e --> 
MOAT,0.012592626156258347,,,,ckdo_c + lipidA_c --> cmp_c + h_c + kdolipid4_c
UDCPDPS,3.559798718103316e-05,8235.163739,56.8883,144.7602360942408,frdp_c + 8.0 ipdp_c --> 8.0 ppi_c + udcpdp_c
USHD,0.012592626156258347,,,,h2o_c + u23ga_c --> 2.0 h_c + lipidX_c + ump_c
LPADSS,0.012592626156258347,,,,lipidX_c + u23ga_c --> h_c + lipidAds_c + udp_c
TDSK,0.012592626156258347,8640.0,35.5893,242.76959647984086,atp_c + lipidAds_c --> adp_c + h_c + lipidA_c
EX_btn_e,0.0,,,,btn_e --> 
EX_ptrc_e,0.0,,,,ptrc_e --> 
EX_spmd_e,-0.0,,,,spmd_e --> 
EX_thym_e,-0.0,,,,thym_e --> 
EX_xtsn_e,0.0,,,,xtsn_e --> 
NTPP1_num1,0.0,51435.72,14.9271,3445.7945615692265,dgtp_c + h2o_c --> dgmp_c + h_c + ppi_c
NTPP2_num1,0.0,24891.6,14.9271,1667.5442651285246,gtp_c + h2o_c --> gmp_c + h_c + ppi_c
NTPTP1,0.0,14400000.0,356.2976,40415.65253316329,dgtp_c + h2o_c --> dgsn_c + pppi_c
NTPTP2,0.0,,,,gtp_c + h2o_c --> gsn_c + pppi_c
IPMD_num1,0.0,79982.47458,79.03399999999999,1012.0008424222484,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c
AIRC3,0.0,41068.35443,142.2426,288.72049885196134,5aizc_c --> 5caiz_c
ADSL2r,0.2898284558498983,407904.3968,206.1712,1978.4741845611802,25aics_c --> aicar_c + fum_c
EX_fe2_e,0.0,,,,fe2_e --> 
PUNP5_num1,0.0,4521917.455,179.0077,25261.022039834043,ins_c + pi_c --> hxan_c + r1p_c
PUNP6_num1,0.0,122306.4,155.6995,785.5285341314519,din_c + pi_c --> 2dr1p_c + hxan_c
PUNP7,0.0,122306.4,179.0077,683.2465865993472,pi_c + xtsn_c --> r1p_c + xan_c
RNDR1_num1,0.0,10192.2,274.1399,37.178827306787525,adp_c + trdrd_c --> dadp_c + h2o_c + trdox_c
RNDR3_num1,0.0,10192.2,270.3917,37.694204370918186,cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c
RNDR4_num1,0.0,10048.04973,270.3917,37.161087895819286,trdrd_c + udp_c --> dudp_c + h2o_c + trdox_c
TMDS,0.016935580592344564,13714.11185,60.9594,224.97124069462623,dump_c + mlthf_c --> dhf_c + dtmp_c
TMDK1,0.0,3096.0,23.4566,131.9884382220782,atp_c + thymd_c --> adp_c + dtmp_c + h_c
PPCDC,0.00043623715199947455,6720.000001,521.2577,12.89189589141801,4ppcys_c + h_c --> co2_c + pan4p_c
FTHFD,0.0,,,,10fthf_c + h2o_c --> for_c + h_c + thf_c
EX_glc__D_e,0.0,,,,glc__D_e --> 
EDD,4.884772160096418e-06,,,,6pgc_c --> 2ddg6p_c + h2o_c
DHQTi,0.24667398684452221,287753.1629,54.9333,5238.22823132781,3dhq_c --> 3dhsk_c + h2o_c
PUNP1,0.0,103077.0,155.6995,662.0252473514687,adn_c + pi_c --> ade_c + r1p_c
PUNP2,0.0,122306.4,155.6995,785.5285341314519,dad_2_c + pi_c --> 2dr1p_c + ade_c
PUNP3_num1,0.0,177230.7692,179.0077,990.0734392989799,gsn_c + pi_c --> gua_c + r1p_c
LYSAM,0.0,149549.4,38.75,3859.339354838709,lys__L_c --> 36dahx_c
DHAD1,0.5659219137730842,167295.7863,131.0631,1276.4522302616072,23dhmb_c --> 3mob_c + h2o_c
IPPMIa,0.0,9598.568465,72.3693,132.6331533537011,3c2hmp_c --> 2ippm_c + h2o_c
EX_alltn_e,0.0,,,,alltn_e --> 
G3PD7,0.0,119880.0,148.4235,807.6888093866537,2dmmq8_c + glyc3p_c --> 2dmmql8_c + dhap_c
NADH9_num1,0.0,11645835.26,40.34,288691.9995042141,2dmmq8_c + h_c + nadh_c --> 2dmmql8_c + nad_c
NADH10_num1,0.0,11645835.26,40.34,288691.9995042141,h_c + mqn8_c + nadh_c --> mql8_c + nad_c
MDH,0.6726945165238873,1763891.425,64.6746,27273.325617785034,mal__L_c + nad_c --> h_c + nadh_c + oaa_c
FUM_num1,0.6749326590633786,2007062.666,120.2106,16696.2203499525,fum_c + h2o_c --> mal__L_c
PYDXNK,0.0,49056.84,61.6948,795.1535623747867,atp_c + pydxn_c --> adp_c + h_c + pdx5p_c
PYAM5PO,0.0,10321.51305,51.0903,202.02490590190308,h2o_c + o2_c + pyam5p_c --> h2o2_c + nh4_c + pydx5p_c
OHPBAT,0.0,5316.62418,79.5666,66.81979850841937,glu__L_c + ohpb_c --> akg_c + phthr_c
EX_dgsn_e,0.0,,,,dgsn_e --> 
EX_arab__L_e,0.0,,,,arab__L_e --> 
EX_fru_e,0.0,,,,fru_e --> 
EX_gal_e,0.0,,,,gal_e --> 
EX_xyl__D_e,-0.0,,,,xyl__D_e --> 
EX_duri_e,0.0,,,,duri_e --> 
EX_for_e,0.0,,,,for_e --> 
EX_gly_e,0.0,,,,gly_e --> 
EX_h2_e,0.0,,,,h2_e --> 
EX_lys__L_e,0.0,,,,lys__L_e --> 
EX_ser__L_e,0.0,,,,ser__L_e --> 
EX_thm_e,0.0,,,,thm_e --> 
EX_trp__L_e,0.0,,,,trp__L_e --> 
GLUTRR,0.0023093385138532986,719683.2,92.6136,7770.815517375418,glutrna_c + h_c + nadph_c --> glu1sa_c + nadp_c + trnaglu_c
GLCS1,0.0,1093500.0,52.8224,20701.44484158236,adpglc_c --> adp_c + glycogen_c + h_c
GLCP_num1,0.0,,,,glycogen_c + pi_c --> g1p_c
EX_din_e,0.0,,,,din_e --> 
EX_fmn_e,0.0,,,,fmn_e --> 
EX_gthox_e,-0.0,,,,gthox_e --> 
HEMEOS,0.0,,,,frdp_c + h2o_c + pheme_c --> hemeO_c + ppi_c
ADMDC,0.0,16389.04362,30.3846,539.3865188286171,amet_c + h_c --> ametam_c + co2_c
AGMT,0.0,5457.6,67.1141,81.31823268135908,agm_c + h2o_c --> ptrc_c + urea_c
ARGDC,0.0,12120.54546,844.2524,14.356542498428194,arg__L_c + h_c --> agm_c + co2_c
ARGSS,0.19144726953186517,,,,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c
AGPR,0.0,,,,acg5sa_c + nadp_c + pi_c --> acg5p_c + h_c + nadph_c
SPMS,0.0,25013.45454,64.6428,386.9488100762962,ametam_c + ptrc_c --> 5mta_c + h_c + spmd_c
G1SAT,0.0023093385138532986,1836.0,90.7322,20.235373990711125,glu1sa_c --> 5aop_c
KDOCT2,0.025185252312516695,52679.99999,27.6144,1907.7003299003416,ctp_c + kdo_c --> ckdo_c + ppi_c
OAADC,0.0,600704.6036,66.8521,8985.575675259268,h_c + oaa_c --> co2_c + pyr_c
MNNH,0.0,9947.999999,44.838,221.8653820197154,mana_c --> 2ddglcn_c + h2o_c
ALTRH,0.0,,,,altrn_c --> 2ddglcn_c + h2o_c
GUI1,0.0,244320.0,53.9872,4525.517159623022,glcur_c --> fruur_c
PGAMT,0.0,5550.4693579999985,47.5436,116.74482702193356,gam1p_c --> gam6p_c
UAGDP,0.06115604750475631,462342.3296,147.5702,3133.033157100824,acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c
UAGCVT,0.017985397596119806,11229.28003,44.8176,250.55513972189496,pep_c + uacgam_c --> pi_c + uaccg_c
GLUR,0.0,172913.8737,31.002,5577.507054383587,glu__D_c --> glu__L_c
UAG2E,0.0,10908.9,84.4892,129.11591067260667,uacgam_c --> uacmam_c
EX_acald_e,0.0,,,,acald_e --> 
EX_melib_e,0.0,,,,melib_e --> 
MACPD,0.0,,,,h_c + malACP_c --> acACP_c + co2_c
DMQMT,0.0,,,,2omhmbl_c + amet_c --> ahcys_c + h_c + q8h2_c
ICHORS_copy1,0.0,39634.36362,42.9316,923.1979152885052,chor_c --> ichor_c
EX_sucr_e,0.0,,,,sucr_e --> 
EX_tre_e,0.0,,,,tre_e --> 
EX_zn2_e,0.0,,,,zn2_e --> 
HACD5_num1,0.0,4965491.502,159.1878,31192.663646334702,3oddcoa_c + h_c + nadh_c --> 3hddcoa_c + nad_c
DNMPPA,0.00043300097134746433,,,,dhpmp_c + h2o_c --> dhnpt_c + pi_c
HPPK2,0.00043300097134746433,1798506.0,18.0788,99481.49213443368,6hmhpt_c + atp_c --> 6hmhptpp_c + amp_c + h_c
PTPATi,0.00043623715199947455,37723.56682,107.0198,352.49147185847846,atp_c + h_c + pan4p_c --> dpcoa_c + ppi_c
HEX7,0.0,2310746.4,32.4998,71100.32677124169,atp_c + fru_c --> adp_c + f6p_c + h_c
DXPRIi,0.0015462471159179807,6249426.001,86.77600000000001,72017.90818890018,dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c
OPHBDC,0.000144333657115827,,,,3ophb_c + h_c --> 2oph_c + co2_c
OHPHM,0.0,,,,2ohph_c + amet_c --> 2omph_c + ahcys_c + h_c
GHMT2r,0.6866385717207604,222126.1124,90.6332,2450.825000110335,ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c
DHORD2,0.2141024758100061,159865.3806,36.7745,4347.180263497804,dhor__S_c + q8_c --> orot_c + q8h2_c
ADK4,0.0,3008.0172350000007,23.586,127.53401318578821,amp_c + itp_c --> adp_c + idp_c
INSK,0.0,,,,atp_c + ins_c --> adp_c + h_c + imp_c
ABTA_num1,0.0,71091.5143,91.5493,776.5380434367056,4abut_c + akg_c --> glu__L_c + sucsal_c
SSALx,0.0,182752.9412,99.4357,1837.900685568664,h2o_c + nad_c + sucsal_c --> 2.0 h_c + nadh_c + succ_c
ASPT,0.0,474852.857,209.4245,2267.4178856819517,asp__L_c --> fum_c + nh4_c
SERD_L_num1,0.0,940849.8545,211.0938,4457.02268138619,ser__L_c --> nh4_c + pyr_c
THRD_num1,0.0,560148.0001,148.9562,3760.4879830446794,nad_c + thr__L_c --> 2aobut_c + h_c + nadh_c
HEX4,0.0,,,,atp_c + man_c --> adp_c + h_c + man6p_c
KARA1,0.0,8953.149298,216.2761,41.39685012814638,23dhmb_c + nadp_c --> alac__S_c + h_c + nadph_c
KARA2,0.18804086577670542,9128.890145,216.2761,42.209426492340114,2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
ACCOAC,0.2155852937851289,31025.75222,252.4556,122.8958764234186,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c
NADK,0.00028931455036573794,53413.2,195.3983,273.3555000222622,atp_c + nad_c --> adp_c + h_c + nadp_c
ICHORS_copy2,0.0,39634.36362,97.5291,406.38500324518526,chor_c --> ichor_c
SUCBZS,0.0,322400.0,35.4766,9087.680330133102,2shchc_c --> h2o_c + sucbz_c
DHBD,0.0,62421.7091,104.9986,594.5003942909715,23ddhb_c + nad_c --> 23dhb_c + h_c + nadh_c
ICHORT,0.0,116126.0,32.5543,3567.147811502628,h2o_c + ichor_c --> 23ddhb_c + pyr_c
RBK_L1,0.0,212328.0,122.1788,1737.8465003748606,atp_c + rbl__L_c --> adp_c + h_c + ru5p__L_c
RBP4E_num1,0.0,64040.8,25.2777,2533.489993156023,ru5p__L_c --> xu5p__D_c
NTD2_num1,0.0,347934.6,25.3006,13752.029596136059,h2o_c + ump_c --> pi_c + uri_c
NTD4_num1,0.0,347934.6,26.9004,12934.17941740643,cmp_c + h2o_c --> cytd_c + pi_c
NTD5_num1,0.0,290100.0,45.4161,6387.6026343080985,dtmp_c + h2o_c --> pi_c + thymd_c
NTD6_num1,0.0,290100.0,45.4161,6387.6026343080985,damp_c + h2o_c --> dad_2_c + pi_c
LGTHL,0.0,2805359.999,29.8397,94014.34997670887,gthrd_c + mthgxl_c --> lgt__S_c
PYDXPP_num1,0.0,18736.0,30.2013,620.3706462966827,h2o_c + pydx5p_c --> pi_c + pydx_c
PDXPP,0.0,18736.0,30.2013,620.3706462966827,h2o_c + pdx5p_c --> pi_c + pydxn_c
HACD6_num1,0.0,4965491.502,159.1878,31192.663646334702,3otdcoa_c + h_c + nadh_c --> 3htdcoa_c + nad_c
ECOAH1_num1,0.23033839414521073,3345870.0,77.0722,43412.151203676556,3hbcoa_c --> b2coa_c + h2o_c
ECOAH2_num1,0.23033839414521073,4002840.0,77.0722,51936.23641209152,3hhcoa_c --> h2o_c + hx2coa_c
ECOAH3_num1,0.23033839414521073,4002840.0,77.0722,51936.23641209152,3hocoa_c --> h2o_c + oc2coa_c
UGLT,0.0,1062332.308,79.2914,13397.825085696555,gal1p_c + udpg_c --> g1p_c + udpgal_c
DXPS,0.0018349144301496429,21076.36364,135.2339,155.85118553853732,g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c
CDPMEK,0.0015462471159179807,,,,4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c
MECDPS,0.0015462471159179807,8399.999999,50.6926,165.70465904293724,2p4c2me_c --> 2mecdp_c + cmp_c
DDGLK,0.0,55242.0,33.9624,1626.5634937460252,2ddglcn_c + atp_c --> 2ddg6p_c + adp_c + h_c
