,reaction,name,notes,annotation,gpr,subunit_mw,subunit_num,reaction_mw_not_condider_subunit,reaction_mw_condider_subunit,smoment_no_adj_kcat,smoment_adj_kcat,kcat_in_vitro,kapp,kcat_zhaoxin,kcat_GO,kcat_ec_model,kcat_GO_change_type,kcat_zhao_change_type,model_ori_fluxes,ECMpy_fluxes,model_gecko_no_adj_fluxes,model_gecko_adj_fluxes,model_gecko_no_adj_subunit_fluxes,model_gecko_adj_subunit_fluxes,model_smoment_no_adj_fluxes,model_smoment_adj_fluxes,model_smoment_no_adj_subunit_fluxes,model_smoment_adj_subunit_fluxes
RPI_reverse,ru5p__D_c --> r5p_c,,"OrderedDict([('reflection', 'RPI')])",,b2914 or b4090,22.8604 or 16.07332 ,2 or 2 ,16.0733,32.1466,5952.1812,5760.50778,69,23.77588629,69,69,1050,,,1.43046252,1.98251562,1.505491669,1.453423286,0,0,1.453421871,1.453421871,1.584828061,9.921347767
RPI,r5p_c --> ru5p__D_c,Ribose-5-phosphate isomerase,"OrderedDict([('reflection', 'RPI_reverse')])","OrderedDict([('bigg.reaction', 'RPI'), ('ec-code', '5.3.1.6'), ('metanetx.reaction', 'MNXR104084'), ('sbo', 'SBO:0000375')])",b2914 or b4090,22.8604 or 16.07332 ,2 or 2 ,16.0733,32.1466,5952.1812,5760.50778,69,19.72288409,6900,6900,1050,,modify,0,0,0,0,0,0,0,0,0,0
PDH,coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,Pyruvate dehydrogenase,,"OrderedDict([('bigg.reaction', 'PDH'), ('biocyc', 'META:PYRUVDEH-RXN'), ('ec-code', ['1.2.1.-', '1.2.1.51', '1.2.4.1', '1.8.1.4', '2.3.1.12']), ('kegg.reaction', 'R00209'), ('metanetx.reaction', 'MNXR102425'), ('rhea', ['28042', '28043', '28044', '28045']), ('sbo', 'SBO:0000375')])",b0116 and b0115 and b0114,50.68849 and 66.09607 and 99.66849 ,2 and 24 and 24 ,216.453,4079.7264,181.4225455,168.8052475,23.15086651,75.07264452,2315.086651,2315.086651,964.1075,,modify,9.689686793,12.30431986,10.17695552,9.673123133,0,0,9.673124154,9.673124154,0,0
RPE_reverse,xu5p__D_c --> ru5p__D_c,,"OrderedDict([('reflection', 'RPE')])",,b3386,24.55425,1,24.5542,24.5542,1397.856769,1299.140816,14.88712642,30.10193255,14.88712642,14.88712642,650,,,0,0,0,0,0,0,0,0,0,0
RPE,ru5p__D_c --> xu5p__D_c,Ribulose 5-phosphate 3-epimerase,"OrderedDict([('reflection', 'RPE_reverse')])","OrderedDict([('bigg.reaction', 'RPE'), ('biocyc', 'META:RIBULP3EPIM-RXN'), ('ec-code', '5.1.3.1'), ('kegg.reaction', 'R01529'), ('metanetx.reaction', 'MNXR104083'), ('rhea', ['13677', '13678', '13679', '13680']), ('sbo', 'SBO:0000375')])",b3386,24.55425,1,24.5542,24.5542,1406.0115,1299.074725,2,55.14810767,200,200,650,,modify,0.889995703,2.374918665,1.174325634,0.937337107,2.028503636,18.52567927,0.937334189,0.937334189,2.027500408,18.52619834
THD2pp,2.0 h_p + nadh_c + nadp_c --> 2.0 h_c + nad_c + nadph_c,NAD(P) transhydrogenase (periplasm),,"OrderedDict([('bigg.reaction', 'THD2pp'), ('ec-code', '1.6.1.1'), ('metanetx.reaction', 'MNXR104805'), ('sbo', 'SBO:0000375')])",b1602 and b1603,48.72303 and 54.62344 ,2 and 2 ,103.3465,206.6929,253.4666667,253.4666667,47.23553608,603.1478176,47.23553608,47.23553608,603.1478176,,,0,0,0,0,0,0,0,0,0,0
FUM,fum_c + h2o_c --> mal__L_c,Fumarase,"OrderedDict([('reflection', 'FUM_reverse')])","OrderedDict([('bigg.reaction', 'FUM'), ('biocyc', 'META:FUMHYDR-RXN'), ('ec-code', '4.2.1.2'), ('kegg.reaction', 'R01082'), ('metanetx.reaction', 'MNXR99705'), ('rhea', ['12460', '12461', '12462', '12463']), ('sbo', 'SBO:0000375')])",b4122 or b1612 or b1611,60.10532 or 60.29858 or 50.48888 ,2 or 2 or 4 ,50.4889,120.2106,582.15,557.5174071,1150,28.98192075,1150,1150,575,,,6.884588401,2.149566805,0,0,0.390206646,0.610904121,6.87004645,6.87004645,0.390002967,0.610743154
CYTBO3_4pp,4.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 4.0 h_p + q8_c,Cytochrome oxidase bo3 (ubiquinol-8: 4 protons) (periplasm),,"OrderedDict([('bigg.reaction', 'CYTBO3_4pp'), ('metanetx.reaction', 'MNXR97036'), ('sbo', 'SBO:0000375')])",b0429 and b0432 and b0431 and b0430,12.02945 and 34.9113 and 74.36791 and 22.62262 ,1 and 1 and 1 and 1 ,143.9313,143.9313,,810.094741,167.8500663,570.1533351,960,960,570.1533351,,modify,44.25628774,32.97702767,41.34908668,44.31085404,18.28351071,61.10199902,44.31085068,44.31085068,18.27553148,61.08510463
MDH_reverse,h_c + nadh_c + oaa_c --> mal__L_c + nad_c,,"OrderedDict([('reflection', 'MDH')])",,b3236,32.3373,2,32.3373,64.6746,475.3644264,436.3804845,931,3.239856488,931,931,465.5,,,0,0,0,0,0,0,0,0,0,0
CFAS180E,2.0 amet_c + pe181_c --> 2.0 ahcys_c + cpe180_c + 2.0 h_c,"Cyclopropane fatty acid synthase (Phosphatidylethanolamine, n-C18:0)",,"OrderedDict([('bigg.reaction', 'CFAS180E'), ('ec-code', '2.1.1.79'), ('metanetx.reaction', 'MNXR96654'), ('sbo', 'SBO:0000375')])",b1661,43.909,2,43.909,87.818,14.67228571,14.67228571,0.12,447.8420837,0.12,0.12,447.8420837,,,0,0,0,0,0,0,0,0,0,0
NO3R2pp,2.0 h_c + mql8_c + no3_c --> h2o_c + 2.0 h_p + mqn8_c + no2_c,Nitrate reductase (Menaquinol-8) (periplasm),,"OrderedDict([('bigg.reaction', 'NO3R2pp'), ('metanetx.reaction', 'MNXR101988'), ('rhea', ['29139#1', '29140#1', '29141#1', '29142#1']), ('sbo', 'SBO:0000375')])",( b1466 and b1467 and b1468 and b1465 ) or ( b1226 and b1224 and b1227 and b1225 ),( 26.16059 and 58.55787 and 140.22665 and 26.01792 ) or ( 26.44886 and 140.48939 and 25.49736 and 58.06641 ) ,( 1 and 1 and 1 and 1 ) or ( 1 and 2 and 2 and 2 ) ,250.502,250.963,,,94.28607015,429.97947,94.28607017,94.28607017,429.97947,,,0,0,0,0,0,0,0,0,0,0
SDPDS,h2o_c + sl26da_c --> 26dap_LL_c + succ_c,Succinyl-diaminopimelate desuccinylase,,"OrderedDict([('bigg.reaction', 'SDPDS'), ('biocyc', 'META:SUCCDIAMINOPIMDESUCC-RXN'), ('ec-code', '3.5.1.18'), ('kegg.reaction', 'R02734'), ('metanetx.reaction', 'MNXR104300'), ('rhea', ['22608', '22609', '22610', '22611']), ('sbo', 'SBO:0000375')])",b2472,41.26901,2,41.269,82.538,187.2722167,179.6912435,266.667,428,266.667,266.667,428,,,0.32532124,0.262411617,0.303098237,0.325086876,0.138806938,0.217314932,0.32508689,0.32508689,0.138734485,0.217257672
DHAD1,23dhmb_c --> 3mob_c + h2o_c,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",,"OrderedDict([('bigg.reaction', 'DHAD1'), ('biocyc', 'META:DIHYDROXYISOVALDEHYDRAT-RXN'), ('ec-code', '4.2.1.9'), ('kegg.reaction', 'R04441'), ('metanetx.reaction', 'MNXR97358'), ('rhea', ['24809', '24810', '24811', '24812']), ('sbo', 'SBO:0000375')])",b3771,65.53157,2,65.5316,131.0631,14.89546154,46.47105175,40.842121,420,40.842121,40.842121,420,,,0.766817423,0.618532624,0.714435397,0.766265003,0.327182999,0.51223485,0.766265037,0.766265037,0.327012218,0.512099881
GMHEPK,atp_c + gmhep7p_c --> adp_c + gmhep17bp_c + h_c,D-glycero-D-manno-heptose 7-phosphate kinase,,"OrderedDict([('bigg.reaction', 'GMHEPK'), ('metanetx.reaction', 'MNXR100379'), ('sbo', 'SBO:0000375')])",b3052,51.05062,2,51.0506,102.1012,,,70.28473586,417.2452761,70.28473586,70.28473586,417.2452761,,,0,0,0,0,0,0,0,0,0,0
ICL,icit_c --> glx_c + succ_c,Isocitrate lyase,,"OrderedDict([('bigg.reaction', 'ICL'), ('ec-code', '4.1.3.1'), ('kegg.reaction', 'R00479'), ('metanetx.reaction', 'MNXR100789'), ('rhea', ['13245', '13246', '13247', '13248']), ('sbo', 'SBO:0000375')])",b4015,47.52157,4,47.5216,190.0863,96.47818182,96.47818182,24.32320962,16.24339465,24.32320962,24.32320962,400,,,0,1.411889294,0,0,0,0,0,0,0,0
AKGDH,akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c,2-Oxogluterate dehydrogenase,,"OrderedDict([('bigg.reaction', 'AKGDH'), ('biocyc', 'META:2OXOGLUTARATEDEH-RXN'), ('ec-code', ['1.2.1.52', '1.2.4.2', '1.8.1.4', '2.3.1.61']), ('kegg.reaction', 'R08549'), ('metanetx.reaction', 'MNXR95655'), ('rhea', ['27786', '27787', '27788', '27789']), ('sbo', 'SBO:0000375')])",b0116 and b0727 and b0726,50.68849 and 44.01139 and 105.06172 ,2 and 24 and 12 ,199.7616,2418.391,297.0958333,276.5511515,16.61283861,31.30484817,166.1283861,166.1283861,369.492749,,modify,5.970062722,0,4.779905083,5.956178705,0,0,5.956179561,5.956179561,0,0
ACOAD3f_reverse,fadh2_c + oc2coa_c --> fad_c + occoa_c,,"OrderedDict([('reflection', 'ACOAD3f')])",,b0221,89.22444,1,89.2244,89.2244,19.69350167,19.69350167,25.41599407,356,25.41599407,25.41599407,356,,,0.312105769,0.251751713,0.290785527,0.311880925,0.133168207,0.208486983,0.311880939,0.311880939,0.133098697,0.208432049
ACOAD2f_reverse,fadh2_c + hx2coa_c --> fad_c + hxcoa_c,,"OrderedDict([('reflection', 'ACOAD2f')])",,b0221,89.22444,1,89.2244,89.2244,,,19.56242625,356,19.56242625,19.56242625,356,,,0.312105769,0.251751713,0.290785527,0.311880925,0.133168207,0.208486983,0.311880939,0.311880939,0.133098697,0.208432049
ACOAD5f_reverse,dd2coa_c + fadh2_c --> ddcacoa_c + fad_c,,"OrderedDict([('reflection', 'ACOAD5f')])",,b0221,89.22444,1,89.2244,89.2244,19.69350167,19.69350167,18.05428005,356,18.05428005,18.05428005,356,,,0.312105769,0.251751713,0.290785527,0.311880925,0.133168207,0.208486983,0.311880939,0.311880939,0.133098697,0.208432049
ACOAD4f_reverse,dc2coa_c + fadh2_c --> dcacoa_c + fad_c,,"OrderedDict([('reflection', 'ACOAD4f')])",,b0221,89.22444,1,89.2244,89.2244,,,16.6197415,356,16.6197415,16.6197415,356,,,0.312105769,0.251751713,0.290785527,0.311880925,0.133168207,0.208486983,0.311880939,0.311880939,0.133098697,0.208432049
GHMT2r,ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c,"Glycine hydroxymethyltransferase, reversible","OrderedDict([('reflection', 'GHMT2r_reverse')])","OrderedDict([('bigg.reaction', 'GHMT2r'), ('ec-code', '2.1.2.1'), ('kegg.reaction', 'R00945'), ('metanetx.reaction', 'MNXR100142'), ('rhea', ['15481', '15482', '15483', '15484']), ('sbo', 'SBO:0000375')])",b2551,45.31659,2,45.3166,90.6332,67.19272727,61.7016979,32.10425086,3.2,32.10425086,32.10425086,320,,,0.978318895,0.750471659,0.866831428,0.977614107,0,0.621368892,0.977614151,0.977614151,0,0.621335775
GUI2_reverse,tagur_c --> galur_c,,"OrderedDict([('reflection', 'GUI2')])",,b3092,53.98718,1,53.9872,53.9872,67.86666667,67.86666667,12.02531253,307.4325057,12.02531253,12.02531253,307.4325057,,,0,0,0,0,0,0,0,0,0,0
FADRx,fad_c + h_c + nadh_c --> fadh2_c + nad_c,FAD reductase,,"OrderedDict([('bigg.reaction', 'FADRx'), ('biocyc', 'META:RXN-8506'), ('ec-code', ['1.5.1.36', '1.5.1.37', '1.5.1.45']), ('kegg.reaction', 'R09748'), ('metanetx.reaction', 'MNXR99215'), ('rhea', ['30147', '30148', '30149', '30150']), ('sbo', 'SBO:0000375')])",b3844,26.24199,1,26.242,26.242,81.167,81.167,0.07,303,7,7,303,,modify,1.917019441,1.546312106,1.57749923,1.781273858,0.722431911,1.131033098,1.781282226,1.781282226,0.722054819,1.130735083
MC6PH,h2o_c + mchtbs6p_c --> acgam6p_c + gam_c,Monoacetylchitobiose-6-phosphate hydrolase,,"OrderedDict([('bigg.reaction', 'MC6PH'), ('sbo', 'SBO:0000375')])",b1734,50.5125,4,50.5125,202.05,,,16.31634441,298.7528504,16.31634441,16.31634441,298.7528504,,,0,0,0,0,0,0,0,0,0,0
NTRIR3pp,2.0 h_p + no2_p + 3.0 q8h2_c --> 2.0 h2o_p + nh4_p + 3.0 q8_c,"Nitrite Reductase (Ubiquinole-8, periplasm)",,"OrderedDict([('bigg.reaction', 'NTRIR3pp'), ('metanetx.reaction', 'MNXR102064'), ('rhea', ['29155', '29156', '29157', '29158']), ('sbo', 'SBO:0000375')])",b4072 and b4070 and b4071 and b4073,24.56745 and 53.70294 and 20.71447 and 35.04224 ,1 and 1 and 1 and 1 ,134.0271,134.0271,,,700,278.8326302,700,700,278.8326302,,,0,0,0,0,0,0,0,0,0,0
PFK,atp_c + f6p_c --> adp_c + fdp_c + h_c,Phosphofructokinase,,"OrderedDict([('bigg.reaction', 'PFK'), ('ec-code', '2.7.1.11'), ('metanetx.reaction', 'MNXR102507'), ('rhea', ['16109', '16110', '16111', '16112']), ('sbo', 'SBO:0000375')])",b3916 or b1723,34.84204 or 32.45599 ,4 or 2 ,32.456,64.912,73.88238889,73.57073434,62,278,62,62,278,,,5.564027448,7.922485388,0,0,0,0,8.428889259,8.428889259,8.118313039,-8.28E-15
ACOAD6f_reverse,fadh2_c + td2coa_c --> fad_c + tdcoa_c,,"OrderedDict([('reflection', 'ACOAD6f')])",,b0221,89.22444,1,89.2244,89.2244,19.69350167,19.69350167,15.32892458,278,15.32892458,15.32892458,278,,,0.243854337,0.196698534,0.122913019,0.176496389,0.056289275,0.088125997,0.176500541,0.176500541,0.056259893,0.088102777
NADH16pp,4.0 h_c + nadh_c + q8_c --> 3.0 h_p + nad_c + q8h2_c,NADH dehydrogenase (ubiquinone-8 & 3 protons) (periplasm),,"OrderedDict([('bigg.reaction', 'NADH16pp'), ('ec-code', '1.6.5.3'), ('metanetx.reaction', 'MNXR101864'), ('sbo', 'SBO:0000375')])",b2280 and b2281 and b2287 and b2288 and b2282 and b2277 and b2279 and b2284 and b2278 and b2276 and b2283 and b2286 and b2285,19.87465 and 20.53775 and 25.05582 and 16.45733 and 36.21915 and 56.52454 and 10.84502 and 49.29245 and 66.43808 and 52.04409 and 100.2992 and 68.23611 and 18.59005 ,1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 and 1 ,540.4142,540.4142,186.919037,211.0742268,35.48560068,194.4933436,3548.560067,3548.560067,275,,modify,37.99704396,31.33235151,36.29993698,38.0657026,18.16017071,0,38.06569837,38.06569837,18.15242267,0
G6PDH2r,g6p_c + nadp_c --> 6pgl_c + h_c + nadph_c,Glucose 6-phosphate dehydrogenase,"OrderedDict([('reflection', 'G6PDH2r_reverse')])","OrderedDict([('bigg.reaction', 'G6PDH2r'), ('biocyc', 'META:GLU6PDEHYDROG-RXN'), ('ec-code', ['1.1.1.363', '1.1.1.49']), ('kegg.reaction', 'R00835'), ('metanetx.reaction', 'MNXR99907'), ('rhea', ['15841', '15842', '15843', '15844']), ('sbo', 'SBO:0000375')])",b1852,55.70444,1,55.7044,55.7044,443.0647059,424.6983139,43.50432043,155,43.50432044,43.50432044,261,,,2.35536622,4.385591881,2.712340701,2.425643243,3.629109425,28.47032489,2.425638911,2.425638911,3.627215118,28.47085855
NADPHXE_reverse,nadphx__S_c --> nadphx__R_c,,"OrderedDict([('reflection', 'NADPHXE')])",,b4167,54.65,1,54.65,54.65,,,39.45621104,256.3514494,39.45621103,39.45621103,256.3514494,,,0,0,0,0,0,0,0,0,0,0
RPNTPH,h2o_c + rpntp_c --> h_c + ppi_c + prpmn_c,RPnTP hydrolase,,"OrderedDict([('bigg.reaction', 'RPNTPH'), ('sbo', 'SBO:0000375')])",b4095,42.01,1,42.01,42.01,,,27.65833933,239.9006867,27.65833933,27.65833933,239.9006867,,,0,0,0,0,0,0,0,0,0,0
ACGS,accoa_c + glu__L_c --> acglu_c + coa_c + h_c,N-acetylglutamate synthase,,"OrderedDict([('bigg.reaction', 'ACGS'), ('biocyc', 'META:N-ACETYLTRANSFER-RXN'), ('ec-code', '2.3.1.1'), ('kegg.reaction', 'R00259'), ('metanetx.reaction', 'MNXR95259'), ('rhea', ['24292', '24293', '24294', '24295']), ('sbo', 'SBO:0000375')])",b2818,49.19519,6,49.1952,295.1711,2.2,5.255190364,18.31959999,228,18.31959999,18.31959999,228,,,0.25940876,0.20924509,0.241688301,0.25922188,0.11068363,0.173285326,0.259221892,0.259221892,0.110625856,0.173239667
UPLA4FNF,h2o_c + uLa4fn_c --> for_c + uLa4n_c,Undecaprenyl phosphate-L-Ara4FN formylase,,"OrderedDict([('bigg.reaction', 'UPLA4FNF'), ('metanetx.reaction', 'MNXR105132'), ('sbo', 'SBO:0000375')])",b2256,33.11179,1,33.1118,33.1118,,,28.98088666,214.5160018,28.98088667,28.98088667,214.5160018,,,0,0,0,0,0,0,0,0,0,0
NTRIR4pp,2.0 h_p + 3.0 mql8_c + no2_p --> 2.0 h2o_p + 3.0 mqn8_c + nh4_p,"Nitrite Reductase (Menaquinole-8, periplasm)",,"OrderedDict([('bigg.reaction', 'NTRIR4pp'), ('metanetx.reaction', 'MNXR102065'), ('rhea', ['29163', '29164', '29165', '29166']), ('sbo', 'SBO:0000375')])",b4072 and b4070 and b4071 and b4073,24.56745 and 53.70294 and 20.71447 and 35.04224 ,1 and 1 and 1 and 1 ,134.0271,134.0271,,,700,208.9581187,700,700,208.9581187,,,0,0,0,0,0,0,0,0,0,0
MMM,succoa_c --> mmcoa__S_c,Methylmalonyl-CoA mutase,,"OrderedDict([('bigg.reaction', 'MMM'), ('metanetx.reaction', 'MNXR101660'), ('sbo', 'SBO:0000375')])",b2917,77.87127,2,77.8713,155.7425,,,11.91678714,202.3057061,11.91678714,11.91678714,202.3057061,,,0,0,0,0,0,0,0,0,0,0
GLUDy_reverse,akg_c + h_c + nadph_c + nh4_c --> glu__L_c + h2o_c + nadp_c,,"OrderedDict([('reflection', 'GLUDy')])",,b1761 or ( b3213 and b3212 ),48.58137 or ( 52.01527 and 163.29699 ) ,6 or ( 4 and 4 ) ,48.5814,291.4882,1561.451765,1516.894097,41.15403633,185,4115.403633,4115.403633,185,,modify,7.499494782,6.051129165,6.942904022,7.494092094,3.179573926,4.977913203,7.494092427,7.494092427,3.177914265,4.976601579
PGL,6pgl_c + h2o_c --> 6pgc_c + h_c,6-phosphogluconolactonase,,"OrderedDict([('bigg.reaction', 'PGL'), ('biocyc', 'META:6PGLUCONOLACT-RXN'), ('ec-code', '3.1.1.31'), ('kegg.reaction', 'R02035'), ('metanetx.reaction', 'MNXR102539'), ('rhea', ['12556', '12557', '12558', '12559']), ('sbo', 'SBO:0000375')])",b0767,36.30764,1,36.3076,36.3076,14.3,51.34749383,123.6208569,184,123.6208569,123.6208569,184,,,2.35536622,4.385591881,2.712340701,2.425643243,3.629109425,28.47032489,2.425638911,2.425638911,3.627215118,28.47085855
UDPGALM,udpgal_c --> udpgalfur_c,UDPgalactopyranose mutase,,"OrderedDict([('bigg.reaction', 'UDPGALM'), ('biocyc', 'META:GALPMUT-RXN'), ('ec-code', '5.4.99.9'), ('kegg.reaction', 'R00505'), ('metanetx.reaction', 'MNXR105058'), ('rhea', ['24132', '24133', '24134', '24135']), ('sbo', 'SBO:0000375')])",b2036,42.96588,1,42.9659,42.9659,13.74891333,13.74891333,13.03371135,181.007276,13.03371135,13.03371135,181.007276,,,0,0,0,0,0,0,0,0,0,0
HSDy_reverse,aspsa_c + h_c + nadph_c --> hom__L_c + nadp_c,,"OrderedDict([('reflection', 'HSDy')])",,b3940 or b0002,88.88769 or 89.12024 ,2 or 4 ,88.8877,177.7754,67.502,61.83342082,51.68186251,177.4334488,51.6818625,51.6818625,177.4334488,,,0.612255434,0.493859358,0.570431684,0.611814361,0.883587219,0.408987277,0.611814388,0.611814388,0.883126008,0.408879514
