,ori_gecko_smoment_flux_cb,ori_gecko_smoment_subunit_flux_cb,mw_cb,kcat_cb
FUM,6.88 # 0.0 # 6.87,6.88 # 2.15 # 0.61 # 0.61,50.4889 # 120.2106,582.15 # 557.52 # 1150.0 # 28.98 # 1150.0 # 1150.0 # 575.0
CYTBO3_4pp,44.26 # 44.31 # 44.31,44.26 # 32.98 # 61.1 # 61.09,143.9313 # 143.9313,nan # 810.09 # 167.85 # 570.15 # 960.0 # 960.0 # 570.15
MDH_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,32.3373 # 64.6746,475.36 # 436.38 # 931.0 # 3.24 # 931.0 # 931.0 # 465.5
CFAS180E,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,43.909 # 87.818,14.67 # 14.67 # 0.12 # 447.84 # 0.12 # 0.12 # 447.84
NO3R2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,250.502 # 250.963,nan # nan # 94.29 # 429.98 # 94.29 # 94.29 # 429.98
SDPDS,0.33 # 0.33 # 0.33,0.33 # 0.26 # 0.22 # 0.22,41.269 # 82.538,187.27 # 179.69 # 266.67 # 428.0 # 266.67 # 266.67 # 428.0
DHAD1,0.77 # 0.77 # 0.77,0.77 # 0.62 # 0.51 # 0.51,65.5316 # 131.0631,14.9 # 46.47 # 40.84 # 420.0 # 40.84 # 40.84 # 420.0
GMHEPK,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,51.0506 # 102.1012,nan # nan # 70.28 # 417.25 # 70.28 # 70.28 # 417.25
ICL,0.0 # 0.0 # 0.0,0.0 # 1.41 # 0.0 # 0.0,47.5216 # 190.0863,96.48 # 96.48 # 24.32 # 16.24 # 24.32 # 24.32 # 400.0
AKGDH,5.97 # 5.96 # 5.96,5.97 # 0.0 # 0.0 # 0.0,199.7616 # 2418.391,297.1 # 276.55 # 16.61 # 31.3 # 166.13 # 166.13 # 369.49
ACOAD3f_reverse,0.31 # 0.31 # 0.31,0.31 # 0.25 # 0.21 # 0.21,89.2244 # 89.2244,19.69 # 19.69 # 25.42 # 356.0 # 25.42 # 25.42 # 356.0
ACOAD2f_reverse,0.31 # 0.31 # 0.31,0.31 # 0.25 # 0.21 # 0.21,89.2244 # 89.2244,nan # nan # 19.56 # 356.0 # 19.56 # 19.56 # 356.0
ACOAD5f_reverse,0.31 # 0.31 # 0.31,0.31 # 0.25 # 0.21 # 0.21,89.2244 # 89.2244,19.69 # 19.69 # 18.05 # 356.0 # 18.05 # 18.05 # 356.0
ACOAD4f_reverse,0.31 # 0.31 # 0.31,0.31 # 0.25 # 0.21 # 0.21,89.2244 # 89.2244,nan # nan # 16.62 # 356.0 # 16.62 # 16.62 # 356.0
GHMT2r,0.98 # 0.98 # 0.98,0.98 # 0.75 # 0.62 # 0.62,45.3166 # 90.6332,67.19 # 61.7 # 32.1 # 3.2 # 32.1 # 32.1 # 320.0
GUI2_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,53.9872 # 53.9872,67.87 # 67.87 # 12.03 # 307.43 # 12.03 # 12.03 # 307.43
FADRx,1.92 # 1.78 # 1.78,1.92 # 1.55 # 1.13 # 1.13,26.241999999999997 # 26.241999999999997,81.17 # 81.17 # 0.07 # 303.0 # 7.0 # 7.0 # 303.0
MC6PH,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,50.5125 # 202.05,nan # nan # 16.32 # 298.75 # 16.32 # 16.32 # 298.75
NTRIR3pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,134.0271 # 134.0271,nan # nan # 700.0 # 278.83 # 700.0 # 700.0 # 278.83
PFK,5.56 # 0.0 # 8.43,5.56 # 7.92 # 0.0 # -0.0,32.455999999999996 # 64.91199999999999,73.88 # 73.57 # 62.0 # 278.0 # 62.0 # 62.0 # 278.0
ACOAD6f_reverse,0.24 # 0.18 # 0.18,0.24 # 0.2 # 0.09 # 0.09,89.2244 # 89.2244,19.69 # 19.69 # 15.33 # 278.0 # 15.33 # 15.33 # 278.0
NADH16pp,38.0 # 38.07 # 38.07,38.0 # 31.33 # 0.0 # 0.0,540.4142 # 540.4142,186.92 # 211.07 # 35.49 # 194.49 # 3548.56 # 3548.56 # 275.0
G6PDH2r,2.36 # 2.43 # 2.43,2.36 # 4.39 # 28.47 # 28.47,55.7044 # 55.7044,443.06 # 424.7 # 43.5 # 155.0 # 43.5 # 43.5 # 261.0
NADPHXE_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,54.65 # 54.65,nan # nan # 39.46 # 256.35 # 39.46 # 39.46 # 256.35
RPNTPH,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,42.01 # 42.01,nan # nan # 27.66 # 239.9 # 27.66 # 27.66 # 239.9
ACGS,0.26 # 0.26 # 0.26,0.26 # 0.21 # 0.17 # 0.17,49.1952 # 295.1711,2.2 # 5.26 # 18.32 # 228.0 # 18.32 # 18.32 # 228.0
UPLA4FNF,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,33.1118 # 33.1118,nan # nan # 28.98 # 214.52 # 28.98 # 28.98 # 214.52
NTRIR4pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,134.0271 # 134.0271,nan # nan # 700.0 # 208.96 # 700.0 # 700.0 # 208.96
MMM,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,77.8713 # 155.7425,nan # nan # 11.92 # 202.31 # 11.92 # 11.92 # 202.31
GLUDy_reverse,7.5 # 7.49 # 7.49,7.5 # 6.05 # 4.98 # 4.98,48.5814 # 291.4882,1561.45 # 1516.89 # 41.15 # 185.0 # 4115.4 # 4115.4 # 185.0
PGL,2.36 # 2.43 # 2.43,2.36 # 4.39 # 28.47 # 28.47,36.3076 # 36.3076,14.3 # 51.35 # 123.62 # 184.0 # 123.62 # 123.62 # 184.0
UDPGALM,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,42.9659 # 42.9659,13.75 # 13.75 # 13.03 # 181.01 # 13.03 # 13.03 # 181.01
HSDy_reverse,0.61 # 0.61 # 0.61,0.61 # 0.49 # 0.41 # 0.41,88.8877 # 177.7754,67.5 # 61.83 # 51.68 # 177.43 # 51.68 # 51.68 # 177.43
ASPK,0.94 # 0.0 # 0.94,0.94 # 0.76 # 0.0 # 0.63,48.5317 # 97.0635,20.91 # 19.6 # 1.35 # 175.38 # 135.0 # 135.0 # 175.38
PGK_reverse,17.11 # 17.08 # 17.08,17.11 # 16.84 # 9.1 # 9.1,41.1182 # 41.1182,922.84 # 871.4 # 72.29 # 42.0 # 72.29 # 72.29 # 164.47
AMANAPEr_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,24.0737 # 24.0737,nan # nan # 17.38 # 163.05 # 17.38 # 17.38 # 163.05
AGPAT161,0.07 # 0.07 # 0.07,0.07 # 0.05 # 0.04 # 0.04,27.4532 # 27.4532,nan # nan # 15.99 # 160.0 # 15.99 # 15.99 # 160.0
ACONTa,6.91 # 6.9 # 6.9,6.91 # 2.17 # 0.63 # 0.63,93.4981 # 186.9962,202.78 # 174.77 # 35.25 # 21.63 # 35.25 # 35.25 # 155.83
ACONTb_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,93.4981 # 186.9962,202.78 # 174.77 # 25.44 # 16.28 # 25.44 # 25.44 # 155.83
ACONTa_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,93.4981 # 186.9962,202.78 # 174.77 # 24.04 # 9.52 # 24.04 # 24.04 # 155.83
ACONTb,6.91 # 6.9 # 6.9,6.91 # 2.17 # 0.63 # 0.63,93.4981 # 186.9962,202.78 # 174.77 # 17.22 # 28.39 # 1722.06 # 1722.06 # 155.83
AIRC2,0.39 # 0.39 # 0.39,0.39 # 0.32 # 0.26 # 0.26,39.4611 # 78.9222,10.26 # 10.26 # 5.9 # 154.0 # 5.9 # 5.9 # 154.0
PTAr,0.0 # 0.0 # 0.0,0.0 # 6.07 # 0.0 # 0.0,36.0667 # 72.1335,1549.61 # 1492.64 # 120.0 # 152.17 # 120.0 # 120.0 # 152.17
CS,6.91 # 6.9 # 6.9,6.91 # 2.17 # 0.63 # 0.63,48.015 # 288.0899,48.23 # 47.26 # 44.0 # 29.0 # 44.0 # 44.0 # 150.29
ME2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,82.4174 # 494.5043,136.02 # 136.02 # 66.6 # 139.58 # 66.6 # 66.6 # 139.58
DHAD2,0.25 # 0.25 # 0.25,0.25 # 0.21 # 0.17 # 0.17,65.5316 # 131.0631,14.9 # 46.47 # 19.6 # 139.0 # 19.6 # 19.6 # 139.0
AGPAT160,0.06 # 0.06 # 0.06,0.06 # 0.05 # 0.04 # 0.04,27.4532 # 27.4532,nan # nan # 13.32 # 136.0 # 13.32 # 13.32 # 136.0
XTSNH,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,32.5608 # 32.5608,10.06 # 10.06 # 16.7 # 133.9 # 16.7 # 16.7 # 133.9
GND,2.36 # 2.43 # 2.43,2.36 # 4.39 # 28.47 # 28.47,51.4813 # 102.9626,80.62 # 75.32 # 44.76 # 22.0 # 44.76 # 44.76 # 133.85
FA141ACPHi,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,22.9611 # 22.9611,3.28 # 3.28 # 42.35 # 129.87 # 42.35 # 42.35 # 129.87
ACOAD7f_reverse,0.11 # 0.04 # 0.04,0.11 # 0.09 # 0.0 # 0.0,89.2244 # 89.2244,19.69 # 19.69 # 15.9 # 128.0 # 15.9 # 15.9 # 128.0
ACOAD1f,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,89.2244 # 89.2244,0.78 # 0.78 # 20.62 # 120.83 # 20.62 # 20.62 # 120.83
PYK,0.0 # 0.0 # 2.26,0.0 # 14.35 # 0.0 # 0.0,50.7294 # 202.9177,2568.52 # 2547.52 # 38.79 # 118.73 # 387.93 # 387.93 # 118.73
ACOAD2f,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,89.2244 # 89.2244,nan # nan # 20.54 # 118.4 # 20.54 # 20.54 # 118.4
GAPD,17.11 # 17.08 # 17.08,17.11 # 16.84 # 9.1 # 9.1,35.5325 # 142.13,125.23 # 116.5 # 55.13 # 29.0 # 5513.42 # 5513.42 # 117.0
PTAr_reverse,0.51 # 0.0 # 0.51,0.51 # 0.0 # 0.0 # 2.76,36.0667 # 72.1335,1820.69 # 1726.5 # 120.0 # 116.84 # 120.0 # 120.0 # 116.84
ENO,15.6 # 15.58 # 15.58,15.6 # 15.62 # 8.13 # 8.13,45.655 # 91.3099,65.09 # 64.06 # 36.18 # 24.0 # 3618.31 # 3618.31 # 115.0
MI1PP,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,29.1721 # 29.1721,3.91 # 3.91 # 6.5 # 112.23 # 6.5 # 6.5 # 112.23
GARFT,0.39 # 0.39 # 0.39,0.39 # 0.32 # 0.2 # 0.2,23.2383 # 23.2383,6.38 # 6.38 # 22.63 # 112.0 # 22.63 # 22.63 # 112.0
NO3R1pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,250.502 # 250.963,nan # nan # 33.85 # 111.52 # 33.85 # 33.85 # 111.52
ATPS4rpp_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,227.3487 # 530.0127,107.39 # 115.69 # 0.35 # 109.69 # 0.35 # 0.35 # 109.69
SUCDi,5.97 # 5.96 # 5.96,5.97 # 1.41 # 0.0 # 0.0,118.3584 # 355.0752,nan # 117.98 # 96.78 # 106.43 # 96.78 # 96.78 # 108.5
MCTP1Bpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,36.082 # 36.082,nan # nan # 13.7 # 104.15 # 13.7 # 13.7 # 104.15
ACOAD3f,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,89.2244 # 89.2244,19.69 # 19.69 # 15.4 # 104.13 # 15.4 # 15.4 # 104.13
PPS,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,87.4351 # 174.8702,393.37 # 393.37 # 30.48 # 103.02 # 30.48 # 30.48 # 103.02
SUCOAS_reverse,5.51 # 5.5 # 5.5,5.51 # 0.0 # 0.0 # 0.0,71.1701 # 142.3403,74.68 # 71.52 # 44.73 # 10.22 # 44.73 # 44.73 # 100.5
PGI,7.64 # 7.57 # 7.57,7.64 # 5.61 # 0.0 # 0.0,61.5298 # 123.0595,1354.68 # 1302.75 # 92.42 # 71.0 # 9242.16 # 9242.16 # 99.56
PGI_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 18.47 # 18.47,61.5298 # 123.0595,1786.8 # 1704.4 # 52.48 # 89.85 # 5248.49 # 5248.49 # 99.56
GMHEPAT,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,51.0506 # 102.1012,nan # nan # 43.2 # 96.76 # 43.2 # 43.2 # 96.76
ACALD,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,33.4425 # 33.4425,11.03 # 11.03 # 15.7 # 96.62 # 15.7 # 15.7 # 96.62
CYANST,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,12.0825 # 24.1649,145.7 # 145.7 # 230.0 # 92.16 # 230.0 # 230.0 # 92.16
TKT2,0.28 # 0.3 # 0.3,0.28 # 1.05 # 0.0 # 9.15,72.2117 # 73.0427,12448.92 # 23.47 # 90.56 # 90.02 # 90.56 # 90.56 # 90.02
ACOAD8f_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,89.2244 # 89.2244,nan # nan # 21.71 # 89.76 # 21.71 # 21.71 # 89.76
LPLIPAL1A160pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,23.6222 # 94.4886,1034.85 # 1034.85 # 17.07 # 87.08 # 17.07 # 17.07 # 87.08
PPA,3.07 # 0.0 # 3.07,3.07 # 2.48 # 0.0 # 2.19,19.7036 # 26.9004,102.92 # 102.92 # 390.0 # 84.26 # 390.0 # 390.0 # 84.26
DAPE,0.33 # 0.33 # 0.33,0.33 # 0.26 # 0.22 # 0.22,30.2086 # 60.4171,69.79 # 62.89 # 22.35 # 84.0 # 22.35 # 22.35 # 84.0
HSK,0.48 # 0.48 # 0.48,0.48 # 0.38 # 0.32 # 0.32,33.6236 # 67.2473,11.78 # 13.72 # 46.51 # 81.0 # 46.51 # 46.51 # 81.0
GMHEPPA,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,21.2942 # 21.2942,nan # nan # 20.18 # 78.73 # 20.18 # 20.18 # 78.73
DHQS,0.33 # 0.33 # 0.33,0.33 # 0.27 # 0.22 # 0.22,38.881 # 38.881,1928.77 # 1792.95 # 50.65 # 78.0 # 50.65 # 50.65 # 78.0
DASYN161,0.07 # 0.07 # 0.07,0.07 # 0.05 # 0.04 # 0.04,31.4538 # 31.4538,5.81 # 5.81 # 14.09 # 78.0 # 14.09 # 14.09 # 78.0
FBP,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,29.721 # 29.721,19.02 # 166.89 # 22.0 # 76.22 # 22.0 # 22.0 # 76.22
UGCIAMH,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,28.73 # 28.73,nan # nan # 38.14 # 71.65 # 38.14 # 38.14 # 71.65
GLCP2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,90.5224 # 181.0448,49.31 # 49.31 # 8.81 # 71.23 # 8.81 # 8.81 # 71.23
PAPPT3,0.02 # 0.02 # 0.02,0.02 # 0.02 # 0.02 # 0.02,39.8748 # 39.8748,204.05 # 204.05 # 12.51 # 70.0 # 12.51 # 12.51 # 70.0
MTHFC,0.87 # 0.87 # 0.87,0.87 # 0.62 # 0.52 # 0.52,31.0438 # 62.0875,2962.33 # 2962.33 # 42.51 # 69.0 # 42.51 # 42.51 # 69.0
MTHFD,0.87 # 0.87 # 0.87,0.87 # 0.62 # 0.52 # 0.52,31.0438 # 62.0875,175.11 # 175.11 # 20.95 # 69.0 # 20.95 # 20.95 # 69.0
PGM_reverse,15.6 # 15.58 # 15.58,15.6 # 15.62 # 0.0 # 8.13,28.5564 # 56.1939,302.17 # 291.21 # 220.0 # 67.49 # 220.0 # 220.0 # 67.49
ACLS,0.77 # 0.0 # 0.77,0.77 # 0.62 # 0.0 # 0.51,71.5463 # 143.0927,39.05 # 39.05 # 71.0 # 66.99 # 71.0 # 71.0 # 66.99
X5PL3E,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,32.0066 # 32.0066,nan # nan # 18.82 # 66.94 # 18.82 # 18.82 # 66.94
DASYN160,0.06 # 0.06 # 0.06,0.06 # 0.05 # 0.04 # 0.04,31.4538 # 31.4538,5.81 # 5.81 # 21.24 # 66.0 # 21.24 # 21.24 # 66.0
AADDGT,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,40.6396 # 40.6396,nan # nan # 13.72 # 64.41 # 13.72 # 13.72 # 64.41
LALGP,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,52.9154 # 105.8308,6656.26 # 6656.26 # 121.81 # 64.17 # 121.81 # 121.81 # 64.17
ACOAD5f,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,89.2244 # 89.2244,19.69 # 19.69 # 13.9 # 61.95 # 13.9 # 13.9 # 61.95
GLBRAN2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,84.3369 # 84.3369,500.07 # 500.07 # 12.62 # 61.46 # 12.62 # 12.62 # 61.46
GLUPRT,0.39 # 0.39 # 0.39,0.39 # 0.32 # 0.26 # 0.26,56.488 # 225.9522,nan # nan # 18.22 # 61.0 # 18.22 # 18.22 # 61.0
NTPP9,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,21.0388 # 42.0777,6.91 # 6.91 # 24.35 # 60.96 # 24.35 # 24.35 # 60.96
ALLTAMH2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,45.693999999999996 # 91.38799999999999,nan # nan # 66.56 # 60.56 # 66.56 # 66.56 # 60.56
DHQTi,0.33 # 0.33 # 0.33,0.33 # 0.27 # 0.22 # 0.22,27.4666 # 54.9333,81.79 # 79.93 # 28.15 # 59.0 # 28.15 # 28.15 # 59.0
MOAT,0.02 # 0.02 # 0.02,0.02 # 0.01 # 0.01 # 0.01,47.2911 # 47.2911,nan # nan # 17.18 # 59.0 # 17.18 # 17.18 # 59.0
MOAT2,0.02 # 0.02 # 0.02,0.02 # 0.01 # 0.01 # 0.01,47.2911 # 47.2911,nan # nan # 13.12 # 59.0 # 13.12 # 13.12 # 59.0
PGM,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,28.5564 # 56.1939,314.68 # 309.75 # 79.52 # 45.58 # 79.52 # 79.52 # 58.07
PFK_3,0.61 # 0.0 # -0.0,0.61 # 0.0 # 0.0 # 0.0,34.842 # 139.3682,105.59 # 104.38 # 62.0 # 58.0 # 62.0 # 62.0 # 58.0
ACOAD6f,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,89.2244 # 89.2244,19.69 # 19.69 # 12.54 # 57.96 # 12.54 # 12.54 # 57.96
PFL,0.0 # 0.0 # 0.0,0.0 # 0.08 # 0.0 # 0.06,113.5615 # 114.1398,7.98 # 7.98 # 12.8 # 18.41 # 12.8 # 12.8 # 57.07
CRNCAR,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,28.1902 # 28.1902,nan # nan # 51.13 # 56.4 # 51.13 # 51.13 # 56.4
CTECOAI7_reverse,0.13 # 0.13 # 0.13,0.13 # 0.11 # 0.09 # 0.09,79.5939 # 159.1878,95.43 # 95.43 # 16.99 # 55.0 # 16.99 # 16.99 # 55.0
MDDEP2pp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,21.04 # 21.04,nan # nan # 11.66 # 54.02 # 11.66 # 11.66 # 54.02
NTRIR2x,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,105.4053 # 105.4053,130.0 # 130.0 # 28.08 # 53.96 # 28.08 # 28.08 # 53.96
ICDHyr,6.91 # 6.9 # 6.9,6.91 # 0.76 # 0.63 # 0.63,45.7567 # 91.5134,138.36 # 131.69 # 106.4 # 11.0 # 106.4 # 106.4 # 53.2
CAT,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,80.0238 # 320.0953,4689.7 # 4689.7 # 29.55 # 52.98 # 29.55 # 29.55 # 52.98
G6PDH2r_reverse,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,55.7044 # 55.7044,1432.03 # 1369.2 # 22.77 # 7.73 # 22.77 # 22.77 # 52.5
LPADSS,0.02 # 0.02 # 0.02,0.02 # 0.01 # 0.01 # 0.01,42.3824 # 84.7649,nan # nan # 12.27 # 52.0 # 12.27 # 12.27 # 52.0
ACOAD4f,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,89.2244 # 89.2244,nan # nan # 14.72 # 51.61 # 14.72 # 14.72 # 51.61
GDPTPDP,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,79.3424 # 79.3424,2.64 # 2.64 # 9.72 # 51.35 # 9.72 # 9.72 # 51.35
TKT1,0.61 # 0.64 # 0.64,0.61 # 1.32 # 0.0 # 9.37,72.2117 # 73.0427,12448.92 # 12083.08 # 58.18 # 50.81 # 58.18 # 58.18 # 50.81
GLUDy,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,48.5814 # 291.4882,80.02 # 74.44 # 17.63 # 50.03 # 17.63 # 17.63 # 50.03
ACKr_reverse,0.0 # 0.0 # 0.0,0.0 # 6.07 # 0.0 # 0.0,42.4337 # 42.4337,1985.4 # 1806.07 # 3515.0 # 49.54 # 3515.0 # 3515.0 # 49.54
DSBGGT,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,27.495 # 54.99,nan # nan # 12.6 # 49.15 # 12.6 # 12.6 # 49.15
ACONMT,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,29.006 # 29.006,nan # nan # 13.29 # 49.12 # 13.29 # 13.29 # 49.12
P5CD,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,143.8152 # 287.6303,6.76 # 6.76 # 27.86 # 49.09 # 27.86 # 27.86 # 49.09
XYHDL,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,88.079 # 528.474,nan # nan # 35.54 # 48.54 # 35.54 # 35.54 # 48.54
NO3R1bpp,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,189.2373 # 189.2373,nan # nan # 15.84 # 48.51 # 15.84 # 15.84 # 48.51
MAN1PT2,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,53.0163 # 53.0163,nan # nan # 19.64 # 48.34 # 19.64 # 19.64 # 48.34
RNDR4b,0.0 # 0.0 # 0.0,0.0 # 0.02 # 0.0 # 0.0,126.0597 # 242.982,nan # nan # 37.03 # 48.25 # 37.03 # 37.03 # 48.25
DDGLK,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,33.9624 # 33.9624,15.35 # 15.35 # 35.75 # 47.66 # 35.75 # 35.75 # 47.66
ACOAD7f,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,89.2244 # 89.2244,19.69 # 19.69 # 19.12 # 46.9 # 19.12 # 19.12 # 46.9
ACKr,0.51 # 0.51 # 0.51,0.51 # 0.0 # 2.76 # 2.76,42.4337 # 42.4337,874.2 # 820.36 # 3515.0 # 46.9 # 3515.0 # 3515.0 # 46.9
4HTHRA,0.0 # 0.0 # 0.0,0.0 # 0.0 # 0.0 # 0.0,36.4947 # 145.9788,nan # nan # 79.27 # 46.85 # 79.27 # 79.27 # 46.85
