,fluxes,reduced_costs,equ
G3PD7,0.0,-26.365743359570473,2dmmq8_c + glyc3p_c --> 2dmmql8_c + dhap_c
NADH9,0.0,200.15553041745696,2dmmq8_c + h_c + nadh_c --> 2dmmql8_c + nad_c
NADH10,0.0,192.9436205447644,h_c + mqn8_c + nadh_c --> mql8_c + nad_c
MDH,0.4363973714109848,-82.39962502328154,mal__L_c + nad_c --> h_c + nadh_c + oaa_c
FUM,0.43707889782071574,-39.125162953326424,fum_c + h2o_c --> mal__L_c
PYDXNK,0.0,492.2280789276257,atp_c + pydxn_c --> adp_c + h_c + pdx5p_c
PYAM5PO,0.0,561.973255319381,h2o_c + o2_c + pyam5p_c --> h2o2_c + nh4_c + pydx5p_c
OHPBAT,0.0,711803.1922670323,glu__L_c + ohpb_c --> akg_c + phthr_c
EX_dgsn_e,0.0,6779.8738225632915,dgsn_e --> 
EX_arab__L_e,-0.0,-2.0,arab__L_e --> 
EX_fru_e,0.0,282.3953103625971,fru_e --> 
EX_gal_e,-0.0,-2.0,gal_e --> 
EX_xyl__D_e,-0.0,-2.0,xyl__D_e --> 
EX_duri_e,0.0,3567.9570210065053,duri_e --> 
EX_for_e,2.021880124407488,-2.0,for_e --> 
EX_gly_e,0.0,631.6729346503489,gly_e --> 
EX_h2_e,0.0,259.7881437987089,h2_e --> 
EX_lys__L_e,0.0,2744.7485480103855,lys__L_e --> 
EX_ser__L_e,0.0,297.6493675905731,ser__L_e --> 
EX_thm_e,0.0,1051609.9438692993,thm_e --> 
EX_trp__L_e,0.0,4998.318813951411,trp__L_e --> 
GLUTRR,0.0014955019864210002,-310.2553500853828,glutrna_c + h_c + nadph_c --> glu1sa_c + nadp_c + trnaglu_c
GLCS1,0.0,-133.50299062676822,adpglc_c --> adp_c + glycogen_c + h_c
GLCP,0.0,1348.9044858412394,glycogen_c + pi_c --> g1p_c
EX_din_e,0.0,7665.146703661154,din_e --> 
EX_fmn_e,0.0,3549728.0197046087,fmn_e --> 
EX_gthox_e,0.0,8713.785072576073,gthox_e --> 
HEMEOS,0.0,-102.91772746437346,frdp_c + h2o_c + pheme_c --> hemeO_c + ppi_c
ADMDC,0.0,515359.6918573231,amet_c + h_c --> ametam_c + co2_c
AGMT,0.0,-63.87931597977911,agm_c + h2o_c --> ptrc_c + urea_c
ARGDC,0.0,5869.597330495091,arg__L_c + h_c --> agm_c + co2_c
ARGSS,0.1239791265603813,-640.0303655240277,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c
AGPR,0.0,71.49943906415581,acg5sa_c + nadp_c + pi_c --> acg5p_c + h_c + nadph_c
SPMS,0.0,-102.48024859198631,ametam_c + ptrc_c --> 5mta_c + h_c + spmd_c
G1SAT,0.0014955019864210002,-9025.430969855057,glu1sa_c --> 5aop_c
KDOCT2,0.016309689825003915,-60.84900025427237,ctp_c + kdo_c --> ckdo_c + ppi_c
OAADC,0.0,437.76604751991397,h_c + oaa_c --> co2_c + pyr_c
MNNH,0.0,-28.34463664473094,mana_c --> 2ddglcn_c + h2o_c
ALTRH,0.0,-26.95041372850517,altrn_c --> 2ddglcn_c + h2o_c
GUI1,0.0,24.190384279380126,glcur_c --> fruur_c
PGAMT,0.0,257.28472048982496,gam1p_c --> gam6p_c
UAGDP,0.039603977492418015,-84.55273221751281,acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c
UAGCVT,0.01164714383370705,-123.55908561917022,pep_c + uacgam_c --> pi_c + uaccg_c
GLUR,0.0,39.72520142805255,glu__D_c --> glu__L_c
UAG2E,0.0,-49.5872839003182,uacgam_c --> uacmam_c
EX_acald_e,0.0,426.2202176423816,acald_e --> 
EX_melib_e,0.0,158.09542427054842,melib_e --> 
MACPD,0.0,1009.3154653292765,h_c + malACP_c --> acACP_c + co2_c
DMQMT,0.0,-77.20544334336591,2omhmbl_c + amet_c --> ahcys_c + h_c + q8h2_c
ICHORS_copy1,0.0,593.6513061394874,chor_c --> ichor_c
EX_sucr_e,0.0,-2.0,sucr_e --> 
EX_tre_e,0.0,421.50621836379037,tre_e --> 
EX_zn2_e,0.0,2.0,zn2_e --> 
HACD5,0.1491645871433592,-63.76288813026622,3oddcoa_c + h_c + nadh_c --> 3hddcoa_c + nad_c
DNMPPA,0.0002804066224539048,-2.0,dhpmp_c + h2o_c --> dhnpt_c + pi_c
HPPK2,0.0002804066224539048,-1013.3521125633852,6hmhpt_c + atp_c --> 6hmhptpp_c + amp_c + h_c
PTPATi,0.0002825023371215707,-1743.6232503944775,atp_c + h_c + pan4p_c --> dpcoa_c + ppi_c
HEX7,0.0,270.4350391251727,atp_c + fru_c --> adp_c + f6p_c + h_c
DXPRIi,0.0010013324679258861,-237.363143356386,dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c
OPHBDC,9.346887415130536e-05,-1132.9917630682903,3ophb_c + h_c --> 2oph_c + co2_c
OHPHM,0.0,-73.09434725972824,2ohph_c + amet_c --> 2omph_c + ahcys_c + h_c
GHMT2r,0.4446595169143865,-255.50708644483166,ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c
DHORD2,0.13860931065119547,-18.457715451717377,dhor__S_c + q8_c --> orot_c + q8h2_c
ADK4,0.0,137.77600030916005,amp_c + itp_c --> adp_c + idp_c
INSK,0.0,449.51157817910894,atp_c + ins_c --> adp_c + h_c + imp_c
ABTA,0.0,954.7452347627161,4abut_c + akg_c --> glu__L_c + sucsal_c
SSALx,0.0,-149.29196062554183,h2o_c + nad_c + sucsal_c --> 2.0 h_c + nadh_c + succ_c
ASPT,0.0,483.6661211824674,asp__L_c --> fum_c + nh4_c
SERD_L,0.0,267.65614361902897,ser__L_c --> nh4_c + pyr_c
THRD,0.0,-19.43152220113916,nad_c + thr__L_c --> 2aobut_c + h_c + nadh_c
HEX4,0.0,121.3311874865633,atp_c + man_c --> adp_c + h_c + man6p_c
KARA1,0.0,2121.778268424007,23dhmb_c + nadp_c --> alac__S_c + h_c + nadph_c
KARA2,0.12177317730182365,-2583.071494502903,2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
ACCOAC,0.03262189450760831,-286.77887885976816,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c
NADK,0.0001873568912360568,-1591.9404706771716,atp_c + nad_c --> adp_c + h_c + nadp_c
ICHORS_copy2,0.0,692.9795922371411,chor_c --> ichor_c
SUCBZS,0.0,-46.76211570166993,2shchc_c --> h2o_c + sucbz_c
DHBD,0.0,663.466577640401,23ddhb_c + nad_c --> 23dhb_c + h_c + nadh_c
ICHORT,0.0,1465.2998296428593,h2o_c + ichor_c --> 23ddhb_c + pyr_c
RBK_L1,0.0,-150.67961881901988,atp_c + rbl__L_c --> adp_c + h_c + ru5p__L_c
RBP4E,0.0,-11.65958257130211,ru5p__L_c --> xu5p__D_c
NTD2,0.0,-85.84868206608166,h2o_c + ump_c --> pi_c + uri_c
NTD4,0.0,384.5528618894221,cmp_c + h2o_c --> cytd_c + pi_c
NTD5,0.0,408.1484118069849,dtmp_c + h2o_c --> pi_c + thymd_c
NTD6,0.0,12.738681932995156,damp_c + h2o_c --> dad_2_c + pi_c
LGTHL,0.0,1289.215674101055,gthrd_c + mthgxl_c --> lgt__S_c
PYDXPP,0.0,650.009981412297,h2o_c + pydx5p_c --> pi_c + pydx_c
PDXPP,0.0,-44.873931408604676,h2o_c + pdx5p_c --> pi_c + pydxn_c
HACD6,0.11654520749335137,-80.871037061268,3otdcoa_c + h_c + nadh_c --> 3htdcoa_c + nad_c
ECOAH1,0.1491645871433592,-59.55454529583221,3hbcoa_c --> b2coa_c + h2o_c
ECOAH2,0.1491645871433592,-53.20433066599071,3hhcoa_c --> h2o_c + hx2coa_c
ECOAH3,0.1491645871433592,-58.280837866535876,3hocoa_c --> h2o_c + oc2coa_c
UGLT,0.0,-39.63281951840213,gal1p_c + udpg_c --> g1p_c + udpgal_c
DXPS,0.0011882702162285112,-1102.3875193259573,g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c
CDPMEK,0.0010013324679258861,-427.8474344520655,4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c
MECDPS,0.0010013324679258861,-5043.4425835863585,2p4c2me_c --> 2mecdp_c + cmp_c
DDGLK,0.0,26.55455042805304,2ddglcn_c + atp_c --> 2ddg6p_c + adp_c + h_c
XYLI2,0.0,-19.234182980938982,glc__D_c --> fru_c
PMANM,0.0,-58.09831775870475,man1p_c --> man6p_c
ICL,0.0,368.89372334006566,icit_c --> glx_c + succ_c
GLYCL,0.0,471.61382595064526,gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c
CMPN,0.0,-2.0,cmp_c + h2o_c --> csn_c + r5p_c
HCYSMT,0.0,647170.4512207282,amet_c + hcys__L_c --> ahcys_c + h_c + met__L_c
UDPG4E,0.0,258.9592997747378,udpg_c --> udpgal_c
LACZ,0.0,-195.99919814133665,h2o_c + lcts_c --> gal_c + glc__D_c
TRE6PH,0.0,-67.57595746182017,h2o_c + tre6p_c --> g6p_c + glc__D_c
XYLI1,0.0,-269.68327171062674,xyl__D_c --> xylu__D_c
PPC,1.2407565517794663,-79.10182363855937,co2_c + h2o_c + pep_c --> h_c + oaa_c + pi_c
ALDD4,0.0,-2.0,btal_c + h2o_c + nad_c --> but_c + 2.0 h_c + nadh_c
G3PT,0.0,390.41896803033944,glyc3p_c + h2o_c --> glyc_c + pi_c
CINNDO,0.0,-120.50142507429698,cinnm_c + h_c + nadh_c + o2_c --> cenchddd_c + nad_c
DHPPD,0.0,-56.872115641446726,cechddd_c + nad_c --> dhpppn_c + h_c + nadh_c
DHCIND,0.0,-63.67168163877432,cenchddd_c + nad_c --> dhcinnm_c + h_c + nadh_c
CITL,0.0,479.56994115146404,cit_c --> ac_c + oaa_c
GOFUCR,0.0,-234.39122769776804,gdpofuc_c + h_c + nadph_c --> gdpfuc_c + nadp_c
PYDXK,0.0,-215.7332506300586,atp_c + pydx_c --> adp_c + h_c + pydx5p_c
GTPCII2,0.00018693774830260486,-3259.4263380214798,gtp_c + 3.0 h2o_c --> 25drapp_c + for_c + 2.0 h_c + ppi_c
URIC,0.0,-2.0,2.0 h2o_c + o2_c + urate_c --> alltn_c + co2_c + h2o2_c
SADT2,0.10373033144715359,-112.4000312829312,atp_c + gtp_c + h2o_c + so4_c --> aps_c + gdp_c + pi_c + ppi_c
LCARS,0.0,138.65024355932488,h_c + lald__L_c + nadh_c --> 12ppd__S_c + nad_c
ALCD19,0.0,131.963711771617,glyald_c + h_c + nadh_c --> glyc_c + nad_c
RMPA,0.0,-151.91460367834432,rml1p_c --> dhap_c + lald__L_c
SBTPD,0.0,386.8479969780775,nad_c + sbt6p_c --> f6p_c + h_c + nadh_c
PFK_2,0.0,-146.22769060772202,atp_c + tag6p__D_c --> adp_c + h_c + tagdp__D_c
GLTPD,0.0,-109.431512069561,galt1p_c + nad_c --> h_c + nadh_c + tag6p__D_c
TGBPA,0.0,-82.05586847934387,tagdp__D_c --> dhap_c + g3p_c
MANAO,0.0,14.419765545259793,mana_c + nad_c --> fruur_c + h_c + nadh_c
TAGURr,0.0,-63.60687868261084,altrn_c + nad_c --> h_c + nadh_c + tagur_c
PGLYCP,0.0,-85.3304962668202,2pglyc_c + h2o_c --> glyclt_c + pi_c
GLXCL,0.0,424.21345609438356,2.0 glx_c + h_c --> 2h3oppan_c + co2_c
TARTD,0.0,-90.67464689680425,tartr__L_c --> h2o_c + oaa_c
