,fluxes,equ,kcat,MW,kcat_MW,source
ACALD,0.0,acald_c + coa_c + nad_c --> accoa_c + h_c + nadh_c,39708.0,33.4425,1187.351424086118,
ACS,0.0,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c,2071300.0,72.0936,28730.705638225863,
PPA,2.8013458619596827,h2o_c + ppi_c --> h_c + 2.0 pi_c,370525.8463,26.9004,13773.990212041455,
PPCK,0.0,atp_c + oaa_c --> adp_c + co2_c + pep_c,96962.89655,59.6435,1625.707689018921,
ME1,0.0,mal__L_c + nad_c --> co2_c + nadh_c + pyr_c,472238.3999,252.7893,1868.1107147335752,
ALAR,0.03118083177891723,ala__L_c --> ala__D_c,152416.8,77.6892,1961.878871194452,
ALATA_L,0.0,akg_c + ala__L_c --> glu__L_c + pyr_c,149031.36,91.0347,1637.0830024155625,
XYLK,0.0,atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c,2569370.4,105.2365,24415.20194989381,
RBK,0.0,atp_c + rib__D_c --> adp_c + h_c + r5p_c,60150.85715,64.581,931.4017613539586,
GLYK,0.0,atp_c + glyc_c --> adp_c + glyc3p_c + h_c,11826000.0,224.9231,52577.96998174042,
PPM,0.0,r1p_c --> r5p_c,292975.7143,44.37,6603.013619562767,
ASPTA,0.0,akg_c + asp__L_c --> glu__L_c + oaa_c,574227.6923,87.0756,6594.587832871666,
FBP,0.0,fdp_c + h2o_c --> f6p_c + pi_c,68460.00001,29.721,2303.421823289929,
GLGC,0.0,atp_c + g1p_c + h_c --> adpglc_c + ppi_c,273324.5143,194.7906,1403.170965642079,
PYK,3.9632490221846046,adp_c + h_c + pep_c --> atp_c + pyr_c,9246683.099,202.9177,45568.63742788333,
A5PISO,0.029108692629461815,ru5p__D_c --> ara5p_c,424938.4614,136.1257,3121.662268036087,
EX_met__L_e,0.0,met__L_e --> ,,,,
EX_metsox_S__L_e,0.0,metsox_S__L_e --> ,,,,
IPPMIb,0.0,2ippm_c + h2o_c --> 3c3hmp_c,11520.0,72.3693,159.18352118923357,
ACHBS,0.217334481932178,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c,131391.2571,143.0927,918.2247389279815,
ACLS,0.6540830655927385,h_c + 2.0 pyr_c --> alac__S_c + co2_c,140584.4308,143.0927,982.4710191365456,
PSCVT,0.28510166083079397,pep_c + skm5p_c --> 3psme_c + pi_c,67464.03203999999,46.0958,1463.561366545325,
ANS,0.0425222403149799,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c,30897.8,228.7288,135.0848690676469,
ANPRT,0.0425222403149799,anth_c + prpp_c --> ppi_c + pran_c,4359.96,113.7399,38.332722290067075,
CHORM,0.24191214682580897,chor_c --> pphn_c,530847524.9,84.085,6313225.009216864,
CHORS,0.28510166083079397,3psme_c --> chor_c + pi_c,3132.0,156.5498,20.006413294683227,BRENDA
IGPS,0.0425222403149799,2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c,13990.8,49.4923,282.68639768206367,
EX_crn_e,0.0,crn_e --> ,,,,
EX_fe3_e,-0.0,fe3_e --> ,,,,
EX_glcn_e,0.0,glcn_e --> ,,,,
EX_gln__L_e,0.0,gln__L_e --> ,,,,
EX_glyc_e,0.0,glyc_e --> ,,,,
EX_man_e,0.0,man_e --> ,,,,
EX_mn2_e,0.0,mn2_e --> ,,,,
EX_rib__D_e,0.0,rib__D_e --> ,,,,
EX_sbt__D_e,0.0,sbt__D_e --> ,,,,
ECOAH6,0.1125298729149024,3htdcoa_c --> h2o_c + td2coa_c,4002840.0,77.0722,51936.23641209152,
ENO,16.81702673720758,2pg_c --> h2o_c + pep_c,828000.0,91.3099,9068.020006592933,BRENDA and SABIO-RK
FBA,9.209924798287282,fdp_c --> dhap_c + g3p_c,313200.0,78.2945,4000.2809903633083,BRENDA and SABIO-RK
MGSA,0.0,dhap_c --> mthgxl_c + pi_c,877072.5,101.5115,8640.12944346207,
PPS,0.0,atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c,1416119.76,174.8702,8098.119405135922,
PGI,9.582880745183518,g6p_c --> f6p_c,4876854.001,123.0595,39630.04888692056,
PGK,0.0,3pg_c + atp_c --> 13dpg_c + adp_c,994061.6572,41.1182,24175.70947171812,
EDA,0.0,2ddg6p_c --> g3p_c + pyr_c,259742.268,66.8521,3885.326982996795,
PGL,0.41711925481648227,6pgl_c + h2o_c --> 6pgc_c + h_c,51480.0,36.3076,1417.8849607244765,
RPE,0.0,ru5p__D_c --> xu5p__D_c,5061641.4,24.5542,206141.57252119802,
TALA,0.0,g3p_c + s7p_c --> e4p_c + f6p_c,641124.0,35.6588,17979.404803302412,
TKT1,0.0,r5p_c + xu5p__D_c --> g3p_c + s7p_c,44816115.1,73.0427,613560.494067169,
G6PDA,0.0,gam6p_c + h2o_c --> f6p_c + nh4_c,1036669.0909999999,178.6452,5802.949595063287,
ALCD2x,0.0,etoh_c + nad_c --> acald_c + h_c + nadh_c,614130.9232,141.5183,4339.586634378734,
ALDD2y,0.0,acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c,58605.48,29.41,1992.7058823529408,
RMI,0.0,rmn_c --> rml_c,539316.0,188.7978,2856.579896587777,
EX_ura_e,0.0,ura_e --> ,,,,
EX_val__L_e,0.0,val__L_e --> ,,,,
EX_xan_e,0.0,xan_e --> ,,,,
FMNAT,0.0001668184225012137,atp_c + fmn_c + h_c --> fad_c + ppi_c,168.39666,34.7343,4.8481374318756965,
NADDP,0.0,h2o_c + nad_c --> amp_c + 2.0 h_c + nmn_c,375317.55,59.3779,6320.828961617032,
NMNAT,0.0,atp_c + h_c + nmn_c --> nad_c + ppi_c,27709.78505,24.528,1129.7205255218526,
HMPK1,0.0,4ahmmp_c + atp_c --> 4ampm_c + adp_c + h_c,779.6571444,61.6948,12.637323476208696,
NDPK6,0.0,atp_c + dudp_c --> adp_c + dutp_c,701471.8001,23.586,29741.024340710585,
NDPK8,0.0,atp_c + dadp_c --> adp_c + datp_c,701471.8001,23.586,29741.024340710585,
PYNP2r,0.0,pi_c + uri_c --> r1p_c + ura_c,263696.0,162.9545,1618.2185824877497,
DURIPP,0.0,duri_c + pi_c --> 2dr1p_c + ura_c,108121.8461,94.4142,1145.1862760050924,
PTRCTA,0.0,akg_c + ptrc_c --> 4abutn_c + glu__L_c,,,,
CYSDS,0.0,cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c,17014.275,172.8495,98.43404233162376,
TRPAS2,0.0,h2o_c + trp__L_c --> indole_c + nh4_c + pyr_c,18958.90909,211.0938,89.8127234906947,
NDP3,0.0,gdp_c + h2o_c --> gmp_c + h_c + pi_c,2073051.733,17.4329,118916.057167769,
CDPPH,0.0,cdp_c + h2o_c --> cmp_c + h_c + pi_c,1828990.311,35.353,51735.08078522332,
NDP7,0.0,h2o_c + udp_c --> h_c + pi_c + ump_c,1828990.311,35.353,51735.08078522332,
EX_co2_e,29.29538170473198,co2_e --> ,,,,
PMDPHT,0.00033363684500249826,5aprbu_c + h2o_c --> 4r5au_c + pi_c,5574.399998,27.122,205.53056551876702,
ILETA,0.0,akg_c + ile__L_c --> 3mop_c + glu__L_c,860344.6154,204.5619,4205.791085241191,
VALTA,0.0,akg_c + val__L_c --> 3mob_c + glu__L_c,733943.9999,204.5619,3587.8822004488625,
ORPT,0.0,orot5p_c + ppi_c --> orot_c + prpp_c,15318.36,47.13399999999999,324.995968939619,
RBFSa,0.0006672736900049965,4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c,1006.207715,969.3906,1.0379796492765665,
DHAD2,0.217334481932178,23dhmp_c --> 3mop_c + h2o_c,53623.66154,131.0631,409.14385162566737,
G1PP,0.0,g1p_c + h2o_c --> glc__D_c + pi_c,263400.0,22.732,11587.189864508182,
PFL,0.08143656470294836,coa_c + pyr_c --> accoa_c + for_c,46080.0,114.1398,403.7154436927346,BRENDA
FRD2,0.0,fum_c + mql8_c --> mqn8_c + succ_c,,,,
FRD3,0.0,2dmmql8_c + fum_c --> 2dmmq8_c + succ_c,,,,
POX,11.695461037657504,h2o_c + pyr_c + q8_c --> ac_c + co2_c + q8h2_c,,,,
PTAr,0.0,accoa_c + pi_c --> actp_c + coa_c,5578598.999,72.1335,77337.14569513472,
ACKr,12.13097381847514,ac_c + atp_c --> actp_c + adp_c,3147120.0,42.4337,74165.58065876887,
EX_hxan_e,0.0,hxan_e --> ,,,,
EX_ile__L_e,0.0,ile__L_e --> ,,,,
EX_lac__L_e,0.0,lac__L_e --> ,,,,
EX_leu__L_e,0.0,leu__L_e --> ,,,,
EX_no3_e,-0.0,no3_e --> ,,,,
EX_orn_e,0.0,orn_e --> ,,,,
EX_pro__L_e,0.0,pro__L_e --> ,,,,
EX_pyr_e,0.0,pyr_e --> ,,,,
EX_succ_e,0.0,succ_e --> ,,,,
EX_thymd_e,0.0,thymd_e --> ,,,,
EX_tyr__L_e,0.0,tyr__L_e --> ,,,,
MOAT,0.014554346314730907,ckdo_c + lipidA_c --> cmp_c + h_c + kdolipid4_c,,,,
UDCPDPS,4.1143557119149854e-05,frdp_c + 8.0 ipdp_c --> 8.0 ppi_c + udcpdp_c,8235.163739,56.8883,144.7602360942408,
USHD,0.014554346314730907,h2o_c + u23ga_c --> 2.0 h_c + lipidX_c + ump_c,,,,
LPADSS,0.014554346314730907,lipidX_c + u23ga_c --> h_c + lipidAds_c + udp_c,,,,
TDSK,0.014554346314730907,atp_c + lipidAds_c --> adp_c + h_c + lipidA_c,8640.0,35.5893,242.76959647984089,
EX_btn_e,0.0,btn_e --> ,,,,
EX_ptrc_e,0.0,ptrc_e --> ,,,,
EX_spmd_e,-0.0,spmd_e --> ,,,,
EX_thym_e,0.0,thym_e --> ,,,,
EX_xtsn_e,0.0,xtsn_e --> ,,,,
NTPP1,0.0,dgtp_c + h2o_c --> dgmp_c + h_c + ppi_c,51435.72,14.9271,3445.7945615692265,
NTPP2,0.0,gtp_c + h2o_c --> gmp_c + h_c + ppi_c,24891.6,14.9271,1667.5442651285246,
NTPTP1,0.0,dgtp_c + h2o_c --> dgsn_c + pppi_c,14400000.0,356.2976,40415.65253316329,
NTPTP2,0.0,gtp_c + h2o_c --> gsn_c + pppi_c,,,,
IPMD,0.33702632604451227,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c,84240.0,40.3149,2089.550017487331,
AIRC3,0.0,5aizc_c --> 5caiz_c,51959.99999,142.2426,365.29141051977393,
ADSL2r,0.3349788730293288,25aics_c --> aicar_c + fum_c,443916.0,206.1712,2153.1426309785265,
EX_fe2_e,0.0,fe2_e --> ,,,,
PUNP5,0.1819502747450333,ins_c + pi_c --> hxan_c + r1p_c,4521917.455,155.6995,29042.594581228583,
PUNP6,0.0,din_c + pi_c --> 2dr1p_c + hxan_c,122306.4,155.6995,785.5285341314519,
PUNP7,0.0,pi_c + xtsn_c --> r1p_c + xan_c,122306.4,179.0077,683.2465865993472,
RNDR1,0.0,adp_c + trdrd_c --> dadp_c + h2o_c + trdox_c,10192.2,270.3917,37.694204370918186,
RNDR3,0.0,cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c,10192.2,270.3917,37.694204370918186,
RNDR4,0.0,trdrd_c + udp_c --> dudp_c + h2o_c + trdox_c,10192.2,270.3917,37.694204370918186,
TMDS,0.019573860283267314,dump_c + mlthf_c --> dhf_c + dtmp_c,13940.47059,60.9594,228.6845111664485,
TMDK1,0.0,atp_c + thymd_c --> adp_c + dtmp_c + h_c,3096.0,23.4566,131.9884382220782,
PPCDC,0.0005041955908784423,4ppcys_c + h_c --> co2_c + pan4p_c,6720.000001,521.2577,12.89189589141801,
FTHFD,0.0,10fthf_c + h2o_c --> for_c + h_c + thf_c,,,,
EX_glc__D_e,0.0,glc__D_e --> ,,,,
EDD,0.0,6pgc_c --> 2ddg6p_c + h2o_c,,,,
DHQTi,0.28510166083079397,3dhq_c --> 3dhsk_c + h2o_c,294428.5714,54.9333,5359.746663681228,
PUNP1,0.0,adn_c + pi_c --> ade_c + r1p_c,103077.0,155.6995,662.0252473514687,
PUNP2,0.0,dad_2_c + pi_c --> 2dr1p_c + ade_c,122306.4,155.6995,785.5285341314519,
PUNP3,0.0,gsn_c + pi_c --> gua_c + r1p_c,177230.7692,155.6995,1138.2873368251026,
LYSAM,0.0,lys__L_c --> 36dahx_c,149549.4,38.75,3859.339354838709,
DHAD1,0.6540830655927385,23dhmb_c --> 3mob_c + h2o_c,272880.0,131.0631,2082.050554275002,BRENDA
IPPMIa,0.0,3c2hmp_c --> 2ippm_c + h2o_c,11520.0,72.3693,159.18352118923357,
EX_alltn_e,0.0,alltn_e --> ,,,,
G3PD7,0.0,2dmmq8_c + glyc3p_c --> 2dmmql8_c + dhap_c,119880.0,148.4235,807.6888093866537,
NADH9,0.0,2dmmq8_c + h_c + nadh_c --> 2dmmql8_c + nad_c,,,,
NADH10,0.0,h_c + mqn8_c + nadh_c --> mql8_c + nad_c,,,,
MDH,9.381272845388409,mal__L_c + nad_c --> h_c + nadh_c + oaa_c,1866049.4119999998,64.6746,28852.894521187598,
FUM,9.383859653186555,fum_c + h2o_c --> mal__L_c,2095740.0,120.2106,17433.903499358625,
PYDXNK,0.0,atp_c + pydxn_c --> adp_c + h_c + pdx5p_c,49056.84,61.6948,795.1535623747867,
PYAM5PO,0.0,h2o_c + o2_c + pyam5p_c --> h2o2_c + nh4_c + pydx5p_c,10321.51305,51.0903,202.02490590190308,
OHPBAT,0.0,glu__L_c + ohpb_c --> akg_c + phthr_c,3856.5,79.5666,48.4688298859069,
EX_dgsn_e,0.0,dgsn_e --> ,,,,
EX_arab__L_e,0.0,arab__L_e --> ,,,,
EX_fru_e,0.0,fru_e --> ,,,,
EX_gal_e,0.0,gal_e --> ,,,,
EX_xyl__D_e,0.0,xyl__D_e --> ,,,,
EX_duri_e,0.0,duri_e --> ,,,,
EX_for_e,0.0,for_e --> ,,,,
EX_gly_e,0.0,gly_e --> ,,,,
EX_h2_e,0.0,h2_e --> ,,,,
EX_lys__L_e,0.0,lys__L_e --> ,,,,
EX_ser__L_e,0.0,ser__L_e --> ,,,,
EX_thm_e,0.0,thm_e --> ,,,,
EX_trp__L_e,0.0,trp__L_e --> ,,,,
GLUTRR,0.002669094760020553,glutrna_c + h_c + nadph_c --> glu1sa_c + nadp_c + trnaglu_c,719683.2,92.6136,7770.815517375418,
GLCS1,0.0,adpglc_c --> adp_c + glycogen_c + h_c,1093500.0,52.8224,20701.444841582357,
GLCP,0.0,glycogen_c + pi_c --> g1p_c,,,,
EX_din_e,0.0,din_e --> ,,,,
EX_fmn_e,0.0,fmn_e --> ,,,,
EX_gthox_e,-0.0,gthox_e --> ,,,,
HEMEOS,0.0,frdp_c + h2o_c + pheme_c --> hemeO_c + ppi_c,,,,
ADMDC,0.0,amet_c + h_c --> ametam_c + co2_c,16389.04362,30.3846,539.3865188286171,
AGMT,0.0,agm_c + h2o_c --> ptrc_c + urea_c,5457.6,67.1141,81.31823268135908,
ARGDC,0.0,arg__L_c + h_c --> agm_c + co2_c,12120.54546,844.2524,14.356542498428194,
ARGSS,0.22127154631614332,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c,,,,
AGPR,0.0,acg5sa_c + nadp_c + pi_c --> acg5p_c + h_c + nadph_c,,,,
SPMS,0.0,ametam_c + ptrc_c --> 5mta_c + h_c + spmd_c,25013.45454,64.6428,386.9488100762962,
G1SAT,0.002669094760020553,glu1sa_c --> 5aop_c,1836.0,90.7322,20.235373990711125,
KDOCT2,0.029108692629461815,ctp_c + kdo_c --> ckdo_c + ppi_c,52679.99999,27.6144,1907.7003299003416,
OAADC,0.0,h_c + oaa_c --> co2_c + pyr_c,600704.6036,66.8521,8985.575675259268,
MNNH,0.0,mana_c --> 2ddglcn_c + h2o_c,9947.999999,44.838,221.8653820197154,
ALTRH,0.0,altrn_c --> 2ddglcn_c + h2o_c,,,,
GUI1,0.0,glcur_c --> fruur_c,244320.0,53.9872,4525.517159623022,
PGAMT,0.0,gam1p_c --> gam6p_c,5639.04,47.5436,118.607762138332,
UAGDP,0.07068313500135145,acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c,507204.0,147.5702,3437.035390614094,
UAGCVT,0.02078722118594482,pep_c + uacgam_c --> pi_c + uaccg_c,11814.54546,44.8176,263.6139699582307,
GLUR,0.0,glu__D_c --> glu__L_c,172913.8737,31.002,5577.507054383586,
UAG2E,0.0,uacgam_c --> uacmam_c,10908.9,84.4892,129.11591067260667,
EX_acald_e,0.0,acald_e --> ,,,,
EX_melib_e,0.0,melib_e --> ,,,,
MACPD,0.0,h_c + malACP_c --> acACP_c + co2_c,,,,
DMQMT,0.0,2omhmbl_c + amet_c --> ahcys_c + h_c + q8h2_c,,,,
ICHORS_copy1,0.0,chor_c --> ichor_c,39634.36362,42.9316,923.1979152885052,
EX_sucr_e,0.0,sucr_e --> ,,,,
EX_tre_e,0.0,tre_e --> ,,,,
EX_zn2_e,0.0,zn2_e --> ,,,,
HACD5,0.26622125650115314,3oddcoa_c + h_c + nadh_c --> 3hddcoa_c + nad_c,4965491.502,77.0722,64426.492327973,
DNMPPA,0.0005004552675038786,dhpmp_c + h2o_c --> dhnpt_c + pi_c,,,,
HPPK2,0.0005004552675038786,6hmhpt_c + atp_c --> 6hmhptpp_c + amp_c + h_c,1798506.0,18.0788,99481.49213443368,
PTPATi,0.0005041955908784423,atp_c + h_c + pan4p_c --> dpcoa_c + ppi_c,37723.56682,107.0198,352.49147185847846,
HEX7,0.0,atp_c + fru_c --> adp_c + f6p_c + h_c,2310746.4,32.4998,71100.32677124169,
DXPRIi,0.001787126508320358,dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c,6249426.001,86.77600000000002,72017.90818890018,
OPHBDC,0.0001668184225012137,3ophb_c + h_c --> 2oph_c + co2_c,,,,
OHPHM,0.0,2ohph_c + amet_c --> 2omph_c + ahcys_c + h_c,,,,
GHMT2r,0.793605356171829,ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c,241893.8182,90.6332,2668.93167404439,
DHORD2,0.24745605413144584,dhor__S_c + q8_c --> orot_c + q8h2_c,,,,
ADK4,0.0,amp_c + itp_c --> adp_c + idp_c,,,,
INSK,0.0,atp_c + ins_c --> adp_c + h_c + imp_c,,,,
ABTA,0.0,4abut_c + akg_c --> glu__L_c + sucsal_c,71091.5143,44.7291,1589.3794934393939,
SSALx,0.0,h2o_c + nad_c + sucsal_c --> 2.0 h_c + nadh_c + succ_c,182752.9412,99.4357,1837.900685568664,
ASPT,0.0,asp__L_c --> fum_c + nh4_c,474852.857,209.4245,2267.4178856819517,
SERD_L,0.0,ser__L_c --> nh4_c + pyr_c,940849.8545,48.7529,19298.336191282982,
THRD,0.0,nad_c + thr__L_c --> 2aobut_c + h_c + nadh_c,560148.0001,40.351,13881.886448910807,
HEX4,0.0,atp_c + man_c --> adp_c + h_c + man6p_c,,,,
KARA1,0.0,23dhmb_c + nadp_c --> alac__S_c + h_c + nadph_c,9073.095653,216.2761,41.951448417092784,
KARA2,0.217334481932178,2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c,281880.0,216.2761,1303.334025350004,BRENDA and SABIO-RK
ACCOAC,0.24916987030162718,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,132480.0,252.4556,524.7655429311134,BRENDA and SABIO-RK
NADK,0.00033438490967958867,atp_c + nad_c --> adp_c + h_c + nadp_c,53413.2,195.3983,273.3555000222622,
ICHORS_copy2,0.0,chor_c --> ichor_c,39634.36362,97.5291,406.38500324518526,
SUCBZS,0.0,2shchc_c --> h2o_c + sucbz_c,322400.0,35.4766,9087.680330133102,
DHBD,0.0,23ddhb_c + nad_c --> 23dhb_c + h_c + nadh_c,62421.7091,104.9986,594.5003942909715,
ICHORT,0.0,h2o_c + ichor_c --> 23ddhb_c + pyr_c,116126.0,32.5543,3567.147811502628,
RBK_L1,0.0,atp_c + rbl__L_c --> adp_c + h_c + ru5p__L_c,212328.0,122.1788,1737.8465003748606,
RBP4E,0.0,ru5p__L_c --> xu5p__D_c,64040.8,25.2777,2533.489993156023,
NTD2,0.0,h2o_c + ump_c --> pi_c + uri_c,347934.6,25.3006,13752.029596136059,
NTD4,0.0,cmp_c + h2o_c --> cytd_c + pi_c,347934.6,26.9004,12934.17941740643,
NTD5,0.0,dtmp_c + h2o_c --> pi_c + thymd_c,290100.0,20.255,14322.389533448533,
NTD6,0.0,damp_c + h2o_c --> dad_2_c + pi_c,290100.0,20.255,14322.389533448533,
LGTHL,0.0,gthrd_c + mthgxl_c --> lgt__S_c,2805359.999,29.8397,94014.34997670887,
PYDXPP,0.0,h2o_c + pydx5p_c --> pi_c + pydx_c,18736.0,27.163,689.7618083422302,
PDXPP,0.0,h2o_c + pdx5p_c --> pi_c + pydxn_c,18736.0,30.2013,620.3706462966827,
HACD6,0.1125298729149024,3otdcoa_c + h_c + nadh_c --> 3htdcoa_c + nad_c,4965491.502,77.0722,64426.492327973,
ECOAH1,0.26622125650115314,3hbcoa_c --> b2coa_c + h2o_c,3345870.0,77.0722,43412.151203676556,
ECOAH2,0.26622125650115314,3hhcoa_c --> h2o_c + hx2coa_c,4002840.0,77.0722,51936.23641209152,
ECOAH3,0.26622125650115314,3hocoa_c --> h2o_c + oc2coa_c,4002840.0,77.0722,51936.23641209152,
UGLT,0.0,gal1p_c + udpg_c --> g1p_c + udpgal_c,1062332.308,79.2914,13397.825085696555,
DXPS,0.0021207633533229272,g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c,21076.36364,135.2339,155.85118553853732,
CDPMEK,0.001787126508320358,4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c,,,,
MECDPS,0.001787126508320358,2p4c2me_c --> 2mecdp_c + cmp_c,8399.999999,50.6926,165.70465904293724,
