,fluxes,kcat,MW,kcat_MW,equ
ACS,0.0,237600.0,72.0927,3295.7567132317145,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c
PPA_num1,0.0,309600.0,116.2706,2662.753954998082,h2o_c + ppi_c --> h_c + 2.0 pi_c
PPCK,0.0,61200.0,59.6427,1026.1104879557768,atp_c + oaa_c --> adp_c + co2_c + pep_c
ME1,0.0,469800.0,252.7864,1858.4860577942486,mal__L_c + nad_c --> co2_c + nadh_c + pyr_c
ALAR_num1,0.007549176867124974,168462.0,77.6884,2168.4318379577903,ala__L_c --> ala__D_c
ALATA_L_num1,0.0,21924.0,91.0337,240.8338889883637,akg_c + ala__L_c --> glu__L_c + pyr_c
XYLK_num1,0.0,126000.0,122.1774,1031.2872920851157,atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c
RBK,0.0,37440.0,64.5802,579.7442559793867,atp_c + rib__D_c --> adp_c + h_c + r5p_c
GLYK,0.0,11826000.0,224.9204,52578.60114067022,atp_c + glyc_c --> adp_c + glyc3p_c + h_c
PPM,0.0,232758.0,44.3694,5245.912723633856,r1p_c --> r5p_c
ASPTA_num1,0.0,432000.0,87.1457,4957.215330188408,akg_c + asp__L_c --> glu__L_c + oaa_c
FBP_num1,0.0,86400.0,68.6461,1258.6294050208244,fdp_c + h2o_c --> f6p_c + pi_c
GLGC,0.0,155952.0,194.7884,800.6226243451869,atp_c + g1p_c + h_c --> adpglc_c + ppi_c
PYK_num1,0.0,2.4282,205.4264,0.01182029184174965,adp_c + h_c + pep_c --> atp_c + pyr_c
A5PISO_num1,0.0,367200.0,140.7829,2608.271317042055,ru5p__D_c --> ara5p_c
EX_met__L_e,0.0,,,,met__L_e --> 
EX_metsox_S__L_e,0.0,,,,metsox_S__L_e --> 
IPPMIb,0.0,6840.0,72.3685,94.5162605277158,2ippm_c + h2o_c --> 3c3hmp_c
ACHBS_num1,0.05261875164408981,77580.0,143.0911,542.172084776761,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
ACLS_num1,0.0,83880.0,161.9203,518.0326370442742,h_c + 2.0 pyr_c --> alac__S_c + co2_c
PSCVT,0.06902583221586782,48240.0,46.0953,1046.527520159322,pep_c + skm5p_c --> 3psme_c + pi_c
ANS,0.010295040081041814,972.0,228.7262,4.2496224743820346,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c
ANPRT,0.010295040081041814,1440.0,113.7385,12.660620634174006,anth_c + prpp_c --> ppi_c + pran_c
CHORM_num1,0.0,521820000.0,86.2217,6052072.738069419,chor_c --> pphn_c
CHORS,0.06902583221586782,3132.0,156.548,20.006643329841328,3psme_c --> chor_c + pi_c
IGPS,0.010295040081041814,7034.267925960246,49.4917,142.13025468836688,2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
EX_crn_e,0.0,,,,crn_e --> 
EX_fe3_e,0.0,,,,fe3_e --> 
EX_glcn_e,0.0,,,,glcn_e --> 
EX_gln__L_e,0.0,,,,gln__L_e --> 
EX_glyc_e,0.0,,,,glyc_e --> 
EX_man_e,0.0,,,,man_e --> 
EX_mn2_e,0.0,,,,mn2_e --> 
EX_rib__D_e,0.0,,,,rib__D_e --> 
EX_sbt__D_e,0.0,,,,sbt__D_e --> 
ECOAH6_num1,0.0,689400.0,77.0713,8944.963948966737,3htdcoa_c --> h2o_c + td2coa_c
ENO,12.31111540410284,133200.0,91.3088,1458.7860096726708,2pg_c --> h2o_c + pep_c
FBA_num1,2.5892747344968363,33660.0,78.2936,429.92019781948966,fdp_c --> dhap_c + g3p_c
MGSA,0.0,792000.0,101.5103,7802.163918341292,dhap_c --> mthgxl_c + pi_c
PPS,0.0,37080.0,174.8682,212.04541477524216,atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c
PGI,6.564908638052911,3927600.0,123.058,31916.657186042357,g6p_c --> f6p_c
PGK,0.0,810720.0,41.1177,19717.056158296797,3pg_c + atp_c --> 13dpg_c + adp_c
EDA,3.3279072497397686,237600.0,66.8513,3554.1567628453004,2ddg6p_c --> g3p_c + pyr_c
PGL,3.435091361947089,184850.97777079215,36.3072,5091.3035918713695,6pgl_c + h2o_c --> 6pgc_c + h_c
RPE,0.0,1800000.0,24.554,73307.81135456545,ru5p__D_c --> xu5p__D_c
TALA_num1,0.0,46800.0,70.4376,664.4178677297352,g3p_c + s7p_c --> e4p_c + f6p_c
TKT1_num1,0.0,20340.0,144.4218,140.83746359621608,r5p_c + xu5p__D_c --> g3p_c + s7p_c
G6PDA,0.0,550800.0,178.6432,3083.2407838641493,gam6p_c + h2o_c --> f6p_c + nh4_c
ALCD2x_num1,0.0,394200.0,3845.0436,102.52159429349514,etoh_c + nad_c --> acald_c + h_c + nadh_c
ALDD2y_num1,0.0,10080.0,29.4098,342.74289522540107,acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c
RMI,0.0,538200.0,188.7955,2850.703539014436,rmn_c --> rml_c
EX_ura_e,0.0,,,,ura_e --> 
EX_val__L_e,0.0,,,,val__L_e --> 
EX_xan_e,0.0,,,,xan_e --> 
FMNAT,4.0388331686792134e-05,46.44,34.7338,1.3370261819898772,atp_c + fmn_c + h_c --> fad_c + ppi_c
NADDP_num1,0.0,3474.0,59.3772,58.50730583456276,h2o_c + nad_c --> amp_c + 2.0 h_c + nmn_c
NMNAT_num1,0.0,3884.4,189.381,20.511033313796002,atp_c + h_c + nmn_c --> nad_c + ppi_c
HMPK1_num1,0.0,594.0,114.5331,5.186273662373584,4ahmmp_c + atp_c --> 4ampm_c + adp_c + h_c
NDPK6_num1,0.0,198000.0,23.5857,8394.917259186708,atp_c + dudp_c --> adp_c + dutp_c
NDPK8_num1,0.0,198000.0,23.5857,8394.917259186708,atp_c + dadp_c --> adp_c + datp_c
PYNP2r,0.0,58500.0,162.9527,358.9998815607228,pi_c + uri_c --> r1p_c + ura_c
DURIPP_num1,0.0,63000.0,94.4132,667.2795753136214,duri_c + pi_c --> 2dr1p_c + ura_c
PTRCTA,0.0,,,,akg_c + ptrc_c --> 4abutn_c + glu__L_c
CYSDS_num1,0.0,2412.0,172.8475,13.954497461635256,cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c
TRPAS2,0.0,22644.0,211.0914,107.27106836185652,h2o_c + trp__L_c --> indole_c + nh4_c + pyr_c
NDP3_num1,0.0,373320.0,17.4327,21414.927119723277,gdp_c + h2o_c --> gmp_c + h_c + pi_c
CDPPH,0.0,372780.00000000006,35.3523,10544.717033969502,cdp_c + h2o_c --> cmp_c + h_c + pi_c
NDP7,0.0,372780.00000000006,35.3523,10544.717033969502,h2o_c + udp_c --> h_c + pi_c + ump_c
EX_co2_e,13.595182376093286,,,,co2_e --> 
PMDPHT_num1,0.0,3180.0,30.1958,105.31265937646957,5aprbu_c + h2o_c --> 4r5au_c + pi_c
ILETA,0.0,217620.0,204.5595,1063.8469491761564,akg_c + ile__L_c --> 3mop_c + glu__L_c
VALTA,0.0,161280.0,204.5595,788.4258614241821,akg_c + val__L_c --> 3mob_c + glu__L_c
ORPT,0.0,2844.0,47.1334,60.33937717202664,orot5p_c + ppi_c --> orot_c + prpp_c
RBFSa,0.0001615533267471685,201.06,969.3782,0.2074113075784044,4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
DHAD2,0.05261875164408981,25200.0,131.0617,192.27585175531829,23dhmp_c --> 3mop_c + h2o_c
G1PP_num1,0.0,318600.0,22.7315,14015.793062490377,g1p_c + h2o_c --> glc__D_c + pi_c
PFL_num1,0.0,27594.0,118.388,233.08105551238305,coa_c + pyr_c --> accoa_c + for_c
FRD2,0.0,3770063.2335142805,121.2153,31102.20602113991,fum_c + mql8_c --> mqn8_c + succ_c
FRD3,0.0,,,,2dmmql8_c + fum_c --> 2dmmq8_c + succ_c
POX,0.0,,,,h2o_c + pyr_c + q8_c --> ac_c + co2_c + q8h2_c
PTAr_num1,0.0,1494000.0,463.0271,3226.5930007120533,accoa_c + pi_c --> actp_c + coa_c
ACKr_num1,0.0,3186000.0,42.4332,75082.7182489183,ac_c + atp_c --> actp_c + adp_c
EX_hxan_e,0.0,,,,hxan_e --> 
EX_ile__L_e,0.0,,,,ile__L_e --> 
EX_lac__L_e,0.0,,,,lac__L_e --> 
EX_leu__L_e,0.0,,,,leu__L_e --> 
EX_no3_e,0.0,,,,no3_e --> 
EX_orn_e,0.0,,,,orn_e --> 
EX_pro__L_e,0.0,,,,pro__L_e --> 
EX_pyr_e,0.0,,,,pyr_e --> 
EX_succ_e,0.0,,,,succ_e --> 
EX_thymd_e,0.0,,,,thymd_e --> 
EX_tyr__L_e,0.0,,,,tyr__L_e --> 
MOAT,0.0035237461044763567,,,,ckdo_c + lipidA_c --> cmp_c + h_c + kdolipid4_c
UDCPDPS,9.961247725441894e-06,6912.0,56.8876,121.50275279674305,frdp_c + 8.0 ipdp_c --> 8.0 ppi_c + udcpdp_c
USHD,0.0035237461044763567,,,,h2o_c + u23ga_c --> 2.0 h_c + lipidX_c + ump_c
LPADSS,0.0035237461044763567,,,,lipidX_c + u23ga_c --> h_c + lipidAds_c + udp_c
TDSK,0.0035237461044763567,8640.0,35.5889,242.77232507888692,atp_c + lipidAds_c --> adp_c + h_c + lipidA_c
EX_btn_e,0.0,,,,btn_e --> 
EX_ptrc_e,-0.0,,,,ptrc_e --> 
EX_spmd_e,0.0,,,,spmd_e --> 
EX_thym_e,0.0,,,,thym_e --> 
EX_xtsn_e,0.0,,,,xtsn_e --> 
NTPP1_num1,0.0,2934.0,14.9269,196.5578921276353,dgtp_c + h2o_c --> dgmp_c + h_c + ppi_c
NTPP2_num1,0.0,3210.0,14.9269,215.04800058953967,gtp_c + h2o_c --> gmp_c + h_c + ppi_c
NTPTP1,0.0,14400000.0,356.2933,40416.14029789502,dgtp_c + h2o_c --> dgsn_c + pppi_c
NTPTP2,0.0,,,,gtp_c + h2o_c --> gsn_c + pppi_c
IPMD_num1,0.0,54000.0,79.0331,683.2580273328516,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c
AIRC3,0.0,49860.0,142.2409,350.5320902778314,5aizc_c --> 5caiz_c
ADSL2r,0.0811015811630239,8352.0,206.1686,40.51053361181091,25aics_c --> aicar_c + fum_c
EX_fe2_e,0.0,,,,fe2_e --> 
PUNP5_num1,0.0,377640.0,179.0058,2109.652312941816,ins_c + pi_c --> hxan_c + r1p_c
PUNP6_num1,0.0,56160.0,155.6978,360.6987381966861,din_c + pi_c --> 2dr1p_c + hxan_c
PUNP7,0.0,56160.0,179.0058,313.73285111432136,pi_c + xtsn_c --> r1p_c + xan_c
RNDR1_num1,0.0,990.0,274.1366,3.61133828901358,adp_c + trdrd_c --> dadp_c + h2o_c + trdox_c
RNDR3_num1,0.0,990.0,270.3885,3.6613983213043455,cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c
RNDR4_num1,0.0,1044.0,270.3885,3.861110957011855,trdrd_c + udp_c --> dudp_c + h2o_c + trdox_c
TMDS,0.004739018326980281,12960.0,60.9587,212.6029590526045,dump_c + mlthf_c --> dhf_c + dtmp_c
TMDK1,0.0,1584.0,23.4563,67.52983207070169,atp_c + thymd_c --> adp_c + dtmp_c + h_c
PPCDC,0.00012207056303474573,6719.9999994,521.2517,12.892044283788426,4ppcys_c + h_c --> co2_c + pan4p_c
FTHFD,0.0,,,,10fthf_c + h2o_c --> for_c + h_c + thf_c
EX_glc__D_e,0.0,,,,glc__D_e --> 
EDD,3.3279072497397686,,,,6pgc_c --> 2ddg6p_c + h2o_c
DHQTi,0.06902583221586782,114120.0,54.9327,2077.451135662365,3dhq_c --> 3dhsk_c + h2o_c
PUNP1,0.0,36360.000000000015,155.6978,233.5293112683674,adn_c + pi_c --> ade_c + r1p_c
PUNP2,0.0,56160.0,155.6978,360.6987381966861,dad_2_c + pi_c --> 2dr1p_c + ade_c
PUNP3_num1,0.0,47880.0,179.0058,267.4773666551587,gsn_c + pi_c --> gua_c + r1p_c
LYSAM,0.0,149549.4,38.7492,3859.419033167136,lys__L_c --> 36dahx_c
DHAD1,0.15835975072639114,25200.0,131.0617,192.27585175531829,23dhmb_c --> 3mob_c + h2o_c
IPPMIa,0.0,6840.0,72.3685,94.5162605277158,3c2hmp_c --> 2ippm_c + h2o_c
EX_alltn_e,0.0,,,,alltn_e --> 
G3PD7,0.0,119880.0,148.4219,807.6975163368747,2dmmq8_c + glyc3p_c --> 2dmmql8_c + dhap_c
NADH9_num1,0.0,11645835.263242595,40.3395,288695.57786394464,2dmmq8_c + h_c + nadh_c --> 2dmmql8_c + nad_c
NADH10_num1,12.373360524435196,11645835.263242595,40.3395,288695.57786394464,h_c + mqn8_c + nadh_c --> mql8_c + nad_c
MDH,0.0,500400.0,64.6738,7737.290834928518,mal__L_c + nad_c --> h_c + nadh_c + oaa_c
FUM_num1,0.1888638079656108,1836000.0,120.2092,15273.3734190062,fum_c + h2o_c --> mal__L_c
PYDXNK,0.0,4433.4000000000015,61.694,71.86112101663049,atp_c + pydxn_c --> adp_c + h_c + pdx5p_c
PYAM5PO,0.0,370.8,51.0897,7.257823005419878,h2o_c + o2_c + pyam5p_c --> h2o2_c + nh4_c + pydx5p_c
OHPBAT,4.038833168679212e-05,4788.0,79.5657,60.17668417421074,glu__L_c + ohpb_c --> akg_c + phthr_c
EX_dgsn_e,0.0,,,,dgsn_e --> 
EX_arab__L_e,0.0,,,,arab__L_e --> 
EX_fru_e,0.0,,,,fru_e --> 
EX_gal_e,0.0,,,,gal_e --> 
EX_xyl__D_e,0.0,,,,xyl__D_e --> 
EX_duri_e,0.0,,,,duri_e --> 
EX_for_e,0.001536368408576294,,,,for_e --> 
EX_gly_e,0.0,,,,gly_e --> 
EX_h2_e,-0.0,,,,h2_e --> 
EX_lys__L_e,0.0,,,,lys__L_e --> 
EX_ser__L_e,0.0,,,,ser__L_e --> 
EX_thm_e,0.0,,,,thm_e --> 
EX_trp__L_e,0.0,,,,trp__L_e --> 
GLUTRR,0.0006462133069886739,540.0,92.6125,5.830746389526253,glutrna_c + h_c + nadph_c --> glu1sa_c + nadp_c + trnaglu_c
GLCS1,0.0,1022400.0,52.8218,19355.644828460976,adpglc_c --> adp_c + glycogen_c + h_c
GLCP_num1,0.0,,,,glycogen_c + pi_c --> g1p_c
EX_din_e,0.0,,,,din_e --> 
EX_fmn_e,-0.0,,,,fmn_e --> 
EX_gthox_e,0.0,,,,gthox_e --> 
HEMEOS,0.0,,,,frdp_c + h2o_c + pheme_c --> hemeO_c + ppi_c
ADMDC,0.0,97.2,30.3843,3.1990205467955493,amet_c + h_c --> ametam_c + co2_c
AGMT,0.0,5457.6,67.1133,81.31920200615974,agm_c + h2o_c --> ptrc_c + urea_c
ARGDC,0.0,5040.0,844.2428,5.969846589156579,arg__L_c + h_c --> agm_c + co2_c
ARGSS,0.05357195249461711,,,,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c
AGPR,0.0,,,,acg5sa_c + nadp_c + pi_c --> acg5p_c + h_c + nadph_c
SPMS,0.0,6840.0,64.642,105.81355774883205,ametam_c + ptrc_c --> 5mta_c + h_c + spmd_c
G1SAT,0.0006462133069886739,1692.0,90.7313,18.648470814371667,glu1sa_c --> 5aop_c
KDOCT2,0.0070474922089527135,45000.0,27.6141,1629.6022684063573,ctp_c + kdo_c --> ckdo_c + ppi_c
OAADC,0.0,270000.0,66.8513,4038.814503233296,h_c + oaa_c --> co2_c + pyr_c
MNNH,0.0,5760.0,44.8375,128.46389740730416,mana_c --> 2ddglcn_c + h2o_c
ALTRH,0.0,,,,altrn_c --> 2ddglcn_c + h2o_c
GUI1,0.0,18720.0,53.9866,346.75271271019096,glcur_c --> fruur_c
PGAMT,0.0,1116.0,47.543,23.473487158992913,gam1p_c --> gam6p_c
UAGDP,0.017113061365119343,28800.0,147.5685,195.16360198822917,acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c
UAGCVT,0.005032784578083316,11700.0,44.8171,261.0610682083401,pep_c + uacgam_c --> pi_c + uaccg_c
GLUR,0.0,7200.0,31.0016,232.24607762180017,glu__D_c --> glu__L_c
UAG2E,0.0,6717.5999999999985,84.4882,79.5093279298174,uacgam_c --> uacmam_c
EX_acald_e,0.0,,,,acald_e --> 
EX_melib_e,-0.0,,,,melib_e --> 
MACPD,0.0,,,,h_c + malACP_c --> acACP_c + co2_c
DMQMT,0.0,,,,2omhmbl_c + amet_c --> ahcys_c + h_c + q8h2_c
ICHORS_copy1,0.0,10368.0,42.9311,241.50324589866088,chor_c --> ichor_c
EX_sucr_e,0.0,,,,sucr_e --> 
EX_tre_e,0.0,,,,tre_e --> 
EX_zn2_e,0.0,,,,zn2_e --> 
HACD5_num1,0.0,406800.0,159.1859,2555.5027172632754,3oddcoa_c + h_c + nadh_c --> 3hddcoa_c + nad_c
DNMPPA,0.00012116499506036049,,,,dhpmp_c + h2o_c --> dhnpt_c + pi_c
HPPK2,0.00012116499506036049,1798506.0,18.0786,99482.59267863662,6hmhpt_c + atp_c --> 6hmhptpp_c + amp_c + h_c
PTPATi,0.00012207056303474573,17470.8,107.0186,163.25012661350456,atp_c + h_c + pan4p_c --> dpcoa_c + ppi_c
HEX7,0.0,50400.0,32.4994,1550.7978608835856,atp_c + fru_c --> adp_c + f6p_c + h_c
DXPRIi,0.00043268037847419774,127800.0,86.7751,1472.7727193630433,dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c
OPHBDC,4.038833168679212e-05,,,,3ophb_c + h_c --> 2oph_c + co2_c
OHPHM,0.0,,,,2ohph_c + amet_c --> 2omph_c + ahcys_c + h_c
GHMT2r,0.0,39780.0,90.6321,438.91733723482076,ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c
DHORD2,0.0,159865.3806390936,36.7741,4347.227549799822,dhor__S_c + q8_c --> orot_c + q8h2_c
ADK4,0.0,3008.017233330552,23.5857,127.53563529301873,amp_c + itp_c --> adp_c + idp_c
INSK,0.0,,,,atp_c + ins_c --> adp_c + h_c + imp_c
ABTA_num1,0.0,31500.0,91.5482,344.0810414623117,4abut_c + akg_c --> glu__L_c + sucsal_c
SSALx,0.0,165600.0,99.4346,1665.4162635541352,h2o_c + nad_c + sucsal_c --> 2.0 h_c + nadh_c + succ_c
ASPT,0.0,316800.0,209.4223,1512.7328847023455,asp__L_c --> fum_c + nh4_c
SERD_L_num1,0.0,1029600.0,211.0914,4877.508036803016,ser__L_c --> nh4_c + pyr_c
THRD_num1,0.0,175140.0,148.9546,1175.7945038286834,nad_c + thr__L_c --> 2aobut_c + h_c + nadh_c
HEX4,0.0,,,,atp_c + man_c --> adp_c + h_c + man6p_c
KARA1,0.0,3229.2000000000007,216.2737,14.931080385640975,23dhmb_c + nadp_c --> alac__S_c + h_c + nadph_c
KARA2,0.05261875164408981,3229.2000000000007,216.2737,14.931080385640975,2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
ACCOAC,0.43708904560388456,29700.0,252.4528,117.64575397856551,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c
NADK,8.095777696782991e-05,24228.0,195.396,123.99434993551556,atp_c + nad_c --> adp_c + h_c + nadp_c
ICHORS_copy2,0.0,10368.0,97.5279,106.30804108362837,chor_c --> ichor_c
SUCBZS,0.0,432000.0,35.4762,12177.177939012634,2shchc_c --> h2o_c + sucbz_c
DHBD,0.0,18000.0,104.9974,171.43281643164497,23ddhb_c + nad_c --> 23dhb_c + h_c + nadh_c
ICHORT,0.0,36000.0,32.554,1105.8548872642377,h2o_c + ichor_c --> 23ddhb_c + pyr_c
RBK_L1,0.0,241200.0,122.1774,1974.1785305629355,atp_c + rbl__L_c --> adp_c + h_c + ru5p__L_c
RBP4E_num1,0.0,73440.0,25.2774,2905.362102114933,ru5p__L_c --> xu5p__D_c
NTD2_num1,0.0,19494.0,25.3003,770.5046975727562,h2o_c + ump_c --> pi_c + uri_c
NTD4_num1,0.0,19494.0,26.9001,724.6813208872828,cmp_c + h2o_c --> cytd_c + pi_c
NTD5_num1,0.0,12780.0,45.4156,281.40110446630666,dtmp_c + h2o_c --> pi_c + thymd_c
NTD6_num1,0.0,12780.0,45.4156,281.40110446630666,damp_c + h2o_c --> dad_2_c + pi_c
LGTHL,0.0,3539999.9988,29.8393,118635.49073872375,gthrd_c + mthgxl_c --> lgt__S_c
PYDXPP_num1,0.0,5472.0,30.201,181.186053441939,h2o_c + pydx5p_c --> pi_c + pydx_c
PDXPP,0.0,5472.0,30.201,181.186053441939,h2o_c + pdx5p_c --> pi_c + pydxn_c
HACD6_num1,0.0,406800.0,159.1859,2555.5027172632754,3otdcoa_c + h_c + nadh_c --> 3htdcoa_c + nad_c
ECOAH1_num1,0.0,597600.0,77.0713,7753.859088921557,3hbcoa_c --> b2coa_c + h2o_c
ECOAH2_num1,0.0,689400.0,77.0713,8944.963948966737,3hhcoa_c --> h2o_c + hx2coa_c
ECOAH3_num1,0.0,689400.0,77.0713,8944.963948966737,3hocoa_c --> h2o_c + oc2coa_c
UGLT,0.0,352800.0,79.2904,4449.4667702521365,gal1p_c + udpg_c --> g1p_c + udpgal_c
DXPS,0.000513457041847782,9360.0,135.2323,69.21423358177003,g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c
CDPMEK,0.00043268037847419774,,,,4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c
MECDPS,0.00043268037847419774,9000.0,50.692,177.5428075435966,2p4c2me_c --> 2mecdp_c + cmp_c
DDGLK,0.0,24588.0,33.962,723.9856309993522,2ddglcn_c + atp_c --> 2ddg6p_c + adp_c + h_c
XYLI2,0.0,11753.999999999998,198.9657,59.07550899476642,glc__D_c --> fru_c
PMANM,0.0,28188.0,50.462,558.5985494035117,man1p_c --> man6p_c
