,reaction,ECMpy_fluxes,model_gecko_adj_subunit_fluxes,model_smoment_adj_subunit_fluxes,model_ori_fluxes
EX_no3_e,EX_no3_e,-0.0,0.0,0.0,
EX_orn_e,EX_orn_e,0.0,0.0,0.0,
EX_pro__L_e,EX_pro__L_e,0.0,0.0,0.0,
EX_pyr_e,EX_pyr_e,0.0,2.0741319049561167,2.2957744365429176,
EX_succ_e,EX_succ_e,0.0,0.0,0.0,
EX_thymd_e,EX_thymd_e,0.0,0.0,0.0,
EX_tyr__L_e,EX_tyr__L_e,0.0,0.0,0.0,
MOAT,MOAT,0.011737655985991302,0.010572155207456722,0.010572173884637496,
UDCPDPS,UDCPDPS,3.3181079318950896e-05,2.988633513621025e-05,2.988638793457489e-05,
USHD,USHD,0.011737655985991302,0.010572155207456722,0.010572173884637496,
LPADSS,LPADSS,0.011737655985991302,0.010572155207456722,0.010572173884637496,
TDSK,TDSK,0.011737655985991302,0.010572155207456722,0.010572173884637496,
EX_btn_e,EX_btn_e,0.0,0.0,0.0,
EX_ptrc_e,EX_ptrc_e,0.0,0.0,0.0,
EX_spmd_e,EX_spmd_e,-0.0,-0.0,-0.0,
EX_thym_e,EX_thym_e,-0.0,-0.0,0.0,
EX_xtsn_e,EX_xtsn_e,0.0,0.0,0.0,
NTPP1,NTPP1,0.0,0.0,0.0,
NTPP2,NTPP2,0.0,0.0,0.0,
NTPTP1,NTPTP1,0.0,0.0,0.0,
NTPTP2,NTPTP2,0.0,0.0,0.0,
IPMD,IPMD,0.2718019063026648,0.2448130991864044,0.24481353168275163,
AIRC3,AIRC3,0.0,0.24332584647242572,0.24332627634137252,
ADSL2r,ADSL2r,0.2701506951372861,0.24332584647242572,0.24332627634137252,
EX_fe2_e,EX_fe2_e,0.0,-0.008727353247685156,-0.008727368665767002,
PUNP5,PUNP5,0.14673759201072634,0.13216715495473297,0.13216738844637174,
PUNP6,PUNP6,0.0,0.0,0.0,
PUNP7,PUNP7,0.0,0.0,0.0,
RNDR1,RNDR1,0.0,0.0,0.0,
RNDR3,RNDR3,0.0,0.0,0.0,
RNDR4,RNDR4,0.0,0.0,0.0,
TMDS,TMDS,0.015785747662903388,0.014218288094074452,0.014218313212655459,
TMDK1,TMDK1,0.0,0.0,0.0,
PPCDC,PPCDC,0.00040661904474514904,0.00036624345239638645,0.00036624409941651836,
FTHFD,FTHFD,0.0,0.0,0.0,
EX_glc__D_e,EX_glc__D_e,0.0,-10.0,-10.0,
EDD,EDD,0.0,0.0,0.0,
DHQTi,DHQTi,0.2299261776174454,0.20709545746868302,0.20709582333157678,
PUNP1,PUNP1,0.0,0.0003657000644849115,0.0003657007105448695,
PUNP2,PUNP2,0.0,0.0,0.0,
PUNP3,PUNP3,0.0,0.0,0.0,
LYSAM,LYSAM,0.0,0.0,0.0,
DHAD1,DHAD1,0.5274989232886133,0.47512045807351505,0.47512129743980447,
IPPMIa,IPPMIa,0.0,0.2448130991864044,0.24481353168275163,
EX_alltn_e,EX_alltn_e,0.0,0.0,0.0,
G3PD7,G3PD7,0.0,0.0,0.0,
NADH9,NADH9,0.0,0.0,0.0,
NADH10,NADH10,0.0,0.0,0.0,
MDH,MDH,0.0,0.564761531681029,0.5647625294108034,5.3
FUM,FUM,0.0,0.5666405670792294,0.5666415681285808,7.0
PYDXNK,PYDXNK,0.0,0.0,0.0,
PYAM5PO,PYAM5PO,0.0,0.0,0.0,
OHPBAT,OHPBAT,0.0,0.0,0.0,
EX_dgsn_e,EX_dgsn_e,0.0,0.0,0.0,
EX_arab__L_e,EX_arab__L_e,0.0,-0.0,0.0,
EX_fru_e,EX_fru_e,0.0,0.0,0.0,
EX_gal_e,EX_gal_e,0.0,0.0,0.0,
EX_xyl__D_e,EX_xyl__D_e,0.0,0.0,0.0,
EX_duri_e,EX_duri_e,0.0,0.0,0.0,
EX_for_e,EX_for_e,0.0,0.0,0.0,
EX_gly_e,EX_gly_e,0.0,0.0,0.0,
EX_h2_e,EX_h2_e,0.0,0.0,0.0,
EX_lys__L_e,EX_lys__L_e,0.0,0.0,0.0,
EX_ser__L_e,EX_ser__L_e,0.0,0.0,0.0,
EX_thm_e,EX_thm_e,0.0,0.0,0.0,
EX_trp__L_e,EX_trp__L_e,0.0,0.0,0.0,
GLUTRR,GLUTRR,0.002152547109273076,0.0019388080684727374,0.0019388114936465142,
GLCS1,GLCS1,0.0,0.0,0.0,
GLCP,GLCP,0.0,0.0,0.0,
EX_din_e,EX_din_e,0.0,0.0,0.0,
EX_fmn_e,EX_fmn_e,-0.0,0.0,0.0,
EX_gthox_e,EX_gthox_e,0.0,0.0,-0.0,
HEMEOS,HEMEOS,0.0,0.0,0.0,
ADMDC,ADMDC,0.0,0.0,0.0,
AGMT,AGMT,0.0,0.0,0.0,
ARGDC,ARGDC,0.0,0.0,0.0,
ARGSS,ARGSS,0.178449051162024,0.16072979713836547,0.16073008108987943,
AGPR,AGPR,0.0,0.16072979713836547,0.16073008108987943,
SPMS,SPMS,0.0,0.0,0.0,
G1SAT,G1SAT,0.002152547109273076,0.0019388080684727374,0.0019388114936465142,
KDOCT2,KDOCT2,0.023475311971982604,0.021144310414913443,0.021144347769274995,
OAADC,OAADC,0.0,0.0,0.0,
MNNH,MNNH,0.0,0.0,0.0,
ALTRH,ALTRH,0.0,0.0,0.0,
GUI1,GUI1,0.0,0.0,0.0,
PGAMT,PGAMT,0.0,0.051343636988187225,0.05134372769385422,
UAGDP,UAGDP,0.05700388768525628,0.051343636988187225,0.05134372769385422,
UAGCVT,UAGCVT,0.016764287856636837,0.01509966328663689,0.015099689962289614,
GLUR,GLUR,0.0,0.01509966328663689,0.015099689962289614,
UAG2E,UAG2E,0.0,0.0,0.0,
EX_acald_e,EX_acald_e,0.0,0.0,0.0,
EX_melib_e,EX_melib_e,0.0,0.0,0.0,
MACPD,MACPD,0.0,0.0,0.0,
DMQMT,DMQMT,0.0,0.0,0.0,
ICHORS_copy1,ICHORS_copy1,0.0,0.0,0.0,
EX_sucr_e,EX_sucr_e,0.0,0.0,-0.0,
EX_tre_e,EX_tre_e,0.0,0.0,0.0,
EX_zn2_e,EX_zn2_e,0.0,-0.0001852952778445077,-0.00018529560519435576,
HACD5,HACD5,0.0,0.0,0.0,
DNMPPA,DNMPPA,0.00040360258298860013,0.00036352651283861796,0.00036352715505871933,
HPPK2,HPPK2,0.00040360258298860013,0.00036352651283861796,0.00036352715505871933,
PTPATi,PTPATi,0.00040661904474514904,0.00036624345239638645,0.00036624409941651836,
HEX7,HEX7,0.0,0.0,0.0,
DXPRIi,DXPRIi,0.0014412654271451185,0.0012981537207346905,0.0012981560141035742,
OPHBDC,OPHBDC,0.00013453419432956723,0.00012117550427954609,0.00012117571835290715,
OHPHM,OHPHM,0.0,0.0,0.0,
GHMT2r,GHMT2r,0.6400195830132879,0.5764682808478572,0.5764692992591919,1.57
DHORD2,DHORD2,0.19956609333295602,0.17975000420696163,0.17975032176031355,
ADK4,ADK4,0.0,0.0,0.0,
INSK,INSK,0.0,0.0,0.0,
ABTA,ABTA,0.0,0.0,0.0,
SSALx,SSALx,0.0,0.0,0.0,
ASPT,ASPT,0.0,0.0,0.0,
SERD_L,SERD_L,0.0,0.0,0.0,
THRD,THRD,0.0,0.15786994655978584,0.1578702254589765,
HEX4,HEX4,0.0,0.0,0.0,
KARA1,KARA1,0.0,0.47512045807351505,0.47512129743980447,
KARA2,KARA2,0.17527392351737595,0.15786994655978584,0.1578702254589765,
ACCOAC,ACCOAC,1.4559507695592218,1.311380869278064,1.311383186014535,
NADK,NADK,0.00026967168101066363,0.0002428943964696284,0.00024289482557759978,
ICHORS_copy2,ICHORS_copy2,0.0,0.0,0.0,
SUCBZS,SUCBZS,0.0,0.0,0.0,
DHBD,DHBD,0.0,0.0,0.0,
ICHORT,ICHORT,0.0,0.0,0.0,
RBK_L1,RBK_L1,0.0,0.0,0.0,
RBP4E,RBP4E,0.0,0.0,0.0,
NTD2,NTD2,0.0,0.0,0.0,
NTD4,NTD4,0.0,0.0,0.0,
NTD5,NTD5,0.0,0.0,0.0,
NTD6,NTD6,0.0,0.0,0.0,
LGTHL,LGTHL,0.0,0.0,0.0,
PYDXPP,PYDXPP,0.0,0.0,0.0,
PDXPP,PDXPP,0.0,0.0,0.0,
HACD6,HACD6,0.0,0.0,0.0,
ECOAH1,ECOAH1,0.0,0.0,0.0,
ECOAH2,ECOAH2,0.0,0.0,0.0,
ECOAH3,ECOAH3,0.0,0.0,0.0,
UGLT,UGLT,0.0,0.0,0.0,
DXPS,DXPS,0.001710333815804253,0.0015405047292937827,0.0015405074508093863,
CDPMEK,CDPMEK,0.0014412654271451185,0.0012981537207346905,0.0012981560141035742,
MECDPS,MECDPS,0.0014412654271451185,0.0012981537207346905,0.0012981560141035742,
DDGLK,DDGLK,0.0,0.0,0.0,
XYLI2,XYLI2,0.0,0.0,0.0,
PMANM,PMANM,0.0,0.0,0.0,
ICL,ICL,0.0,0.0,0.0,2.53
GLYCL,GLYCL,0.0,0.0,0.0,
CMPN,CMPN,0.0,0.0,0.0,
HCYSMT,HCYSMT,0.0,0.0,0.0,
UDPG4E,UDPG4E,0.0,0.0,0.0,
LACZ,LACZ,0.0,0.0,0.0,
TRE6PH,TRE6PH,0.0,0.0,0.0,
XYLI1,XYLI1,0.0,0.0,0.0,
PPC,PPC,1.7856108255165195,1.6083070427354345,1.6083098840332402,5.8
ALDD4,ALDD4,0.0,0.0,0.0,
G3PT,G3PT,0.0,0.0,0.0,
CINNDO,CINNDO,0.0,0.0,0.0,
DHPPD,DHPPD,0.0,0.0,0.0,
DHCIND,DHCIND,0.0,0.0,0.0,
CITL,CITL,0.0,0.0,0.0,
GOFUCR,GOFUCR,0.0,0.0,0.0,
PYDXK,PYDXK,0.0,0.0,0.0,
GTPCII2,GTPCII2,0.0002690683886591345,0.00024235100855909215,0.00024235143670581433,
URIC,URIC,0.0,0.0,0.0,
SADT2,SADT2,0.1493039976729596,0.13447872713054076,0.1344789647058932,
LCARS,LCARS,0.0,0.0,0.0,
ALCD19,ALCD19,0.0,0.0,0.0,
RMPA,RMPA,0.0,0.0,0.0,
SBTPD,SBTPD,0.0,0.0,0.0,
PFK_2,PFK_2,0.0,0.0,0.0,
GLTPD,GLTPD,0.0,0.0,0.0,
TGBPA,TGBPA,0.0,0.0,0.0,
MANAO,MANAO,0.0,0.0,0.0,
TAGURr,TAGURr,0.0,0.0,0.0,
PGLYCP,PGLYCP,0.0,0.0,0.0,
GLXCL,GLXCL,0.0,0.0,0.0,
TARTD,TARTD,0.0,0.0,0.0,
GLCRAL,GLCRAL,0.0,0.0,0.0,
KAS14,KAS14,0.0,0.0,0.0,
EDTXS1,EDTXS1,0.0,0.0,0.0,
EDTXS2,EDTXS2,0.0,0.0,0.0,
EDTXS3,EDTXS3,0.0,0.0,0.0,
EDTXS4,EDTXS4,0.0,0.0,0.0,
EX_tmao_e,EX_tmao_e,-0.0,-0.0,-0.0,
NNDPR,NNDPR,0.0013742999761579,0.0012378376625497012,0.0012378398493630982,
HACD4,HACD4,0.0,0.0,0.0,
HACD7,HACD7,0.0,0.0,0.0,
AACPS1,AACPS1,0.0,0.0,0.0,
SDPDS,SDPDS,0.2237906944051957,0.20156920240804188,0.20156955850803834,
DMSOR1,DMSOR1,0.0,0.0,0.0,
DKGLCNR2y,DKGLCNR2y,0.0,0.0,0.0,
2DGULRy,2DGULRy,0.0,0.0,0.0,
RZ5PP,RZ5PP,0.0,0.0,0.0,
NTD9,NTD9,0.0,0.0,0.0,
NTD10,NTD10,0.0,0.0,0.0,
ADPT,ADPT,0.0,0.0,0.0,
ADK1,ADK1,0.0,0.0,0.0,
OCTDPS,OCTDPS,0.00013453419432958233,0.00012117550427954609,0.00012117571835290715,
EX_26dap__M_e,EX_26dap__M_e,0.0,0.0,0.0,
EX_acnam_e,EX_acnam_e,0.0,0.0,0.0,
EX_amp_e,EX_amp_e,0.0,0.0,0.0,
EX_dha_e,EX_dha_e,0.0,0.7700623378568032,0.7330994073280976,
EX_fuc__L_e,EX_fuc__L_e,-0.0,0.0,0.0,
EX_glyald_e,EX_glyald_e,-0.0,0.0,0.0,
AACPS2,AACPS2,0.0,0.0,0.0,
AACPS3,AACPS3,0.0,0.0,0.0,
AACPS4,AACPS4,0.0,0.0,0.0,
EX_rmn_e,EX_rmn_e,0.0,0.0,0.0,
EX_ttdca_e,EX_ttdca_e,0.0,0.0,-0.0,
AMANK,AMANK,0.0,0.0,0.0,
EX_glyclt_e,EX_glyclt_e,0.0,0.0,0.0,
EX_g6p_e,EX_g6p_e,0.0,0.0,0.0,
EX_2ddglcn_e,EX_2ddglcn_e,0.0,0.0,0.0,
EX_galct__D_e,EX_galct__D_e,-0.0,-0.0,-0.0,
EX_idon__L_e,EX_idon__L_e,0.0,0.0,0.0,
EX_indole_e,EX_indole_e,0.0,0.0,0.0,
EX_3hcinnm_e,EX_3hcinnm_e,-0.0,0.0,0.0,
EX_acmana_e,EX_acmana_e,0.0,0.0,0.0,
EX_galur_e,EX_galur_e,0.0,0.0,-0.0,
EX_but_e,EX_but_e,-0.0,0.0,-0.0,
EX_cbl1_e,EX_cbl1_e,-0.0,-0.0,-0.0,
ACNML,ACNML,0.0,0.0,0.0,
CAT,CAT,0.0,0.0,0.0,
SERASr,SERASr,0.0,0.0,0.0,
DMSOR2,DMSOR2,0.0,0.0,0.0,
ACMAMUT,ACMAMUT,0.0,0.0,0.0,
DDGALK,DDGALK,0.0,0.0,0.0,
AB6PGH,AB6PGH,0.0,0.0,0.0,
AMALT1,AMALT1,0.0,0.0,0.0,
MLTP2,MLTP2,0.0,0.0,0.0,
PACCOAL,PACCOAL,0.0,0.0,0.0,
GP4GH,GP4GH,0.0,0.0,0.0,
ACGAMT,ACGAMT,0.0,0.0,0.0,
AADDGT,AADDGT,0.0,0.0,0.0,
EX_gbbtn_e,EX_gbbtn_e,-0.0,0.0,-0.0,
EX_tma_e,EX_tma_e,-0.0,-0.0,0.0,
GMHEPK,GMHEPK,0.0,0.0,0.0,
EX_malttr_e,EX_malttr_e,0.0,0.0,0.0,
TRE6PS,TRE6PS,0.0,0.0,0.0,
UDCPDP,UDCPDP,0.0,0.01509966328663689,0.015099689962289616,
TREH,TREH,0.0,0.0,0.0,
CYTK1,CYTK1,0.1091977254539674,0.09835484215744691,0.09835501591493848,
CYTK2,CYTK2,0.0,0.0,0.0,
GK1,GK1,0.14673759201072634,0.13216715495473297,0.13216738844637174,
HACD1,HACD1,0.0,0.0,0.0,
HACD2,HACD2,0.0,0.0,0.0,
EX_hdcea_e,EX_hdcea_e,0.0,0.0,0.0,
ACACCT,ACACCT,0.0,0.0,0.0,
BUTCT,BUTCT,0.0,0.0,0.0,
2DGULRx,2DGULRx,0.0,0.0,0.0,
G1PTT,G1PTT,0.0,0.0,0.0,
TDPGDH,TDPGDH,0.0,0.0,0.0,
UDPGALM,UDPGALM,0.0,0.0,0.0,
TDPDRE,TDPDRE,0.0,0.0,0.0,
TDPDRR,TDPDRR,0.0,0.0,0.0,
G3PD6,G3PD6,0.0,0.0,0.0,
ALLTN,ALLTN,0.0,0.0,0.0,
UAPGR,UAPGR,0.016764287856636837,0.01509966328663689,0.015099689962289614,
NDPK7,NDPK7,0.0,0.0,0.0,
AOBUTDs,AOBUTDs,0.0,0.0,0.0,
GLYAT,GLYAT,0.0,0.0,0.0,
ADNUC,ADNUC,0.0,0.0,0.0,
GMHEPPA,GMHEPPA,0.0,0.0,0.0,
S7PI,S7PI,0.0,0.0,0.0,
TRPS3,TRPS3,0.03429294712231207,0.030887799057229767,0.030887853624817493,
CRNBTCT,CRNBTCT,0.0,0.0,0.0,
CRNCBCT,CRNCBCT,0.0,0.0,0.0,
CRNCDH,CRNCDH,0.0,0.0,0.0,
FADRx,FADRx,0.00048625363511045335,0.0004379706567233825,0.000437971430459386,
GTPDPK,GTPDPK,0.0,0.0,0.0,
NADN,NADN,0.0,0.0,0.0,
NDPK2,NDPK2,0.0,0.23109364119514886,0.23109404945416778,
NDPK3,NDPK3,0.1091977254539674,0.09835484215744691,0.09835501591493848,
NDPK4,NDPK4,0.0,0.014218288094074452,0.014218313212655462,
FCLT,FCLT,0.0,0.00012117550427954609,0.00012117571835290715,
HBZOPT,HBZOPT,0.00013453419432956723,0.00012117550427954609,0.00012117571835290715,
PNTK,PNTK,0.00040661904474514904,0.00036624345239638645,0.00036624409941651836,
DPCOAK,DPCOAK,0.00040661904474514904,0.00036624345239638645,0.00036624409941651836,
HETZK,HETZK,0.0,0.0,0.0,
KDOPS,KDOPS,0.023475311971982604,0.021144310414913443,0.021144347769274995,
KDOPP,KDOPP,0.023475311971982604,0.021144310414913443,0.021144347769274995,
AST,AST,0.0,0.0,0.0,
SGDS,SGDS,0.0,0.0,0.0,
CYNTAH,CYNTAH,0.0,0.0,0.0,
GSPMDA,GSPMDA,0.0,0.0,0.0,
GSPMDS,GSPMDS,0.0,0.0,0.0,
GUAD,GUAD,0.0,0.0,0.0,
TMAOR1,TMAOR1,0.0,0.0,0.0,
TMAOR2,TMAOR2,0.0,0.0,0.0,
DGK1,DGK1,0.0,0.0,0.0,
DTMPK,DTMPK,0.015785747662903388,0.014218288094074452,0.014218313212655459,
NDPK1,NDPK1,0.0,1.1546775765643753,1.154679616462791,
TRDR,TRDR,0.0,0.0,0.0,
PGMT,PGMT,0.0,0.0,0.0,
FRUK,FRUK,0.0,0.0,0.0,
RHCCE,RHCCE,0.00027027497336168713,0.00024343778438223047,0.0002434382144488878,
KG6PDC,KG6PDC,0.0,0.0,0.0,
X5PL3E,X5PL3E,0.0,0.0,0.0,
DOGULNR,DOGULNR,0.0,0.0,0.0,
BETALDHx,BETALDHx,0.0,0.0,0.0,
BETALDHy,BETALDHy,0.0,0.0,0.0,
MLTG3,MLTG3,0.0,0.0,0.0,
DKGLCNR1,DKGLCNR1,0.0,0.0,0.0,
NADTRHD,NADTRHD,0.0,0.0,0.0,
FMNRx2,FMNRx2,0.0,0.0,0.0,
ACPS1,ACPS1,0.0,0.0,0.0,
EX_nmn_e,EX_nmn_e,0.0,0.0,0.0,
EX_urea_e,EX_urea_e,0.0,-0.0,-0.0,
GMPS2,GMPS2,0.0,0.0,0.0,
AMPN,AMPN,0.0,0.0,0.0,
