,fluxes,reduced_costs,equ
RBFSb,0.0003305524836512263,-7024.301259731888,2.0 dmlz_c --> 4r5au_c + ribflv_c
EX_pi_e,0.0,2.0,pi_e --> 
EX_h_e,7.241790504222493,-2.0,h_e --> 
DMATT,0.00020603944048216106,-804.713310757257,dmpp_c + ipdp_c --> grdp_c + ppi_c
GRTT,0.00020603944048216106,-804.7133107572572,grdp_c + ipdp_c --> frdp_c + ppi_c
UPP3S,0.0003305524836512385,-85.26127566673676,hmbil_c --> h2o_c + uppg3_c
UPPDC1,0.00016527624182561924,-147.1325048355211,4.0 h_c + uppg3_c --> 4.0 co2_c + cpppg3_c
TMDPP,0.0,-35.40182281072316,pi_c + thymd_c --> 2dr1p_c + thym_c
EX_ade_e,0.0,1840.4501464330147,ade_e --> 
EX_4abut_e,0.0,237.3989692707994,4abut_e --> 
EX_ac_e,0.4314866104192385,-2.0,ac_e --> 
EX_akg_e,0.0,89.21405384375831,akg_e --> 
EX_ala__L_e,0.0,114.36365010033073,ala__L_e --> 
EX_arg__L_e,0.0,1063.389642871367,arg__L_e --> 
EX_asp__L_e,0.0,119.64034301168795,asp__L_e --> 
EX_cytd_e,0.0,865.502901002844,cytd_e --> 
EX_dcyt_e,0.0,858.8085630180791,dcyt_e --> 
EX_fum_e,0.0,80.27747220589481,fum_e --> 
EX_glu__L_e,0.0,134.0689742293438,glu__L_e --> 
EX_gua_e,0.0,2027.7680944182732,gua_e --> 
HCO3E,0.38956573692084767,-17.6438552241272,co2_c + h2o_c --> h_c + hco3_c
IMPC,0.0,72.1829669368305,h2o_c + imp_c --> fprica_c
IMPD,0.0,-76.19231351489037,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c
ECOAH4,0.26376012977982677,-21.968296903098235,3hdcoa_c --> dc2coa_c + h2o_c
GLUTRS,0.002644419869209908,-1793.008126872196,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c
TMPPP,0.00016527624182561924,-3448.8129568287113,2mahmp_c + 4mpetz_c + h_c --> ppi_c + thmmp_c
URIK1,0.0,-15.519464161118549,atp_c + uri_c --> adp_c + h_c + ump_c
URIK2,0.0,23.869475310093698,gtp_c + uri_c --> gdp_c + h_c + ump_c
CYTDK1,0.0,-28.30837424067937,atp_c + cytd_c --> adp_c + cmp_c + h_c
CYTDK2,0.0,-2.073703075467371,cytd_c + gtp_c --> cmp_c + gdp_c + h_c
XPPT,0.1802682051424292,-72.1123211259403,prpp_c + xan_c --> ppi_c + xmp_c
HXPRT,0.0,276.3415087213136,hxan_c + prpp_c --> imp_c + ppi_c
NDPK5,0.0,-1.0605143445558731,atp_c + dgdp_c --> adp_c + dgtp_c
DHORTS,0.0,92.87951431423855,dhor__S_c + h2o_c --> cbasp_c + h_c
OMPDC,0.2451684054471109,-8.57710183484295,h_c + orot5p_c --> co2_c + ump_c
CS,6.306706961523482,-11.129487865294326,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c
ICDHyr,4.112740448493168,-3.040719697930328,icit_c + nadp_c --> akg_c + co2_c + nadph_c
ACALD,0.0,8.091146620764706,acald_c + coa_c + nad_c --> accoa_c + h_c + nadh_c
ACS,0.0,63.74485380161141,ac_c + atp_c + coa_c --> accoa_c + amp_c + ppi_c
PPA,2.7759471471441746,-2.9562221569929346,h2o_c + ppi_c --> h_c + 2.0 pi_c
PPCK,0.0,32.458231279130665,atp_c + oaa_c --> adp_c + co2_c + pep_c
ME1,0.0,55.928163175517724,mal__L_c + nad_c --> co2_c + nadh_c + pyr_c
ALAR,0.030892575389127624,-9.35042330007159,ala__L_c --> ala__D_c
ALATA_L,0.0,57.71411645659128,akg_c + ala__L_c --> glu__L_c + pyr_c
XYLK,0.0,-47.753261670172265,atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c
RBK,0.1802682051424292,-13.733002742946098,atp_c + rib__D_c --> adp_c + h_c + r5p_c
GLYK,0.0,137.36486900975123,atp_c + glyc_c --> adp_c + glyc3p_c + h_c
PPM,0.0,8.16368712427564,r1p_c --> r5p_c
ASPTA,0.0,94.28262321237241,akg_c + asp__L_c --> glu__L_c + oaa_c
FBP,0.0,34.28937346303813,fdp_c + h2o_c --> f6p_c + pi_c
GLGC,0.0,-113.5475699739141,atp_c + g1p_c + h_c --> adpglc_c + ppi_c
PYK,0.20571335992626238,-7.118862785667147,adp_c + h_c + pep_c --> atp_c + pyr_c
A5PISO,0.02883959247497083,-28.42385316673655,ru5p__D_c --> ara5p_c
EX_met__L_e,0.0,1882.537387550663,met__L_e --> 
EX_metsox_S__L_e,0.0,1879.2841891487046,metsox_S__L_e --> 
IPPMIb,0.0,48.21959855611448,2ippm_c + h2o_c --> 3c3hmp_c
ACHBS,0.21532529713612256,-25.006786074037564,2obut_c + h_c + pyr_c --> 2ahbut_c + co2_c
ACLS,0.6480362858131903,-8.397563211436896,h_c + 2.0 pyr_c --> alac__S_c + co2_c
PSCVT,0.282465991068781,-8.574657508178717,pep_c + skm5p_c --> 3psme_c + pi_c
ANS,0.042129136386070284,-142.71722163502812,chor_c + gln__L_c --> anth_c + glu__L_c + h_c + pyr_c
ANPRT,0.042129136386070284,-70.1355726022955,anth_c + prpp_c --> ppi_c + pran_c
CHORM,0.2396757497154083,-9.365473016816708,chor_c --> pphn_c
CHORS,0.282465991068781,-13.164372003239777,3psme_c --> chor_c + pi_c
IGPS,0.042129136386070284,-31.648225467971997,2cpr5p_c + h_c --> 3ig3p_c + co2_c + h2o_c
EX_crn_e,0.0,2.0,crn_e --> 
EX_fe3_e,0.0,2.0,fe3_e --> 
EX_glcn_e,0.0,30.514372161595205,glcn_e --> 
EX_gln__L_e,0.0,262.76941841039616,gln__L_e --> 
EX_glyc_e,0.0,151.41945598580787,glyc_e --> 
EX_man_e,0.0,55.51074151792088,man_e --> 
EX_mn2_e,0.0,2.0,mn2_e --> 
EX_rib__D_e,0.0,78.46726809487977,rib__D_e --> 
EX_sbt__D_e,0.0,114.79952145761331,sbt__D_e --> 
ECOAH6,0.20608094482988512,-24.710237540319213,3htdcoa_c --> h2o_c + td2coa_c
ENO,10.820079984798214,-4.134635497719213,2pg_c --> h2o_c + pep_c
FBA,3.1911885362085286,-24.545516347249333,fdp_c --> dhap_c + g3p_c
MGSA,0.0,-34.02499412943325,dhap_c --> mthgxl_c + pi_c
PPS,0.0,53.60218410472042,atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c
PGI,5.4546074078808005,-7.191440367144182,g6p_c --> f6p_c
PGK,0.0,13.297329284332482,3pg_c + atp_c --> 13dpg_c + adp_c
EDA,3.259212878232233,-18.25837432541971,2ddg6p_c --> g3p_c + pyr_c
PGL,4.5453925921191995,-2.5910317225240647,6pgl_c + h2o_c --> 6pgc_c + h_c
RPE,0.282465991068781,-3.33360202548905,ru5p__D_c --> xu5p__D_c
TALA,0.282465991068781,-9.699661314143782,g3p_c + s7p_c --> e4p_c + f6p_c
TKT1,0.282465991068781,-6.30612759827946,r5p_c + xu5p__D_c --> g3p_c + s7p_c
G6PDA,0.0,522.952417790648,gam6p_c + h2o_c --> f6p_c + nh4_c
ALCD2x,0.0,60.68425115932683,etoh_c + nad_c --> acald_c + h_c + nadh_c
ALDD2y,0.0,57.806404371582985,acald_c + h2o_c + nadp_c --> ac_c + 2.0 h_c + nadph_c
RMI,0.0,-60.350192035672066,rmn_c --> rml_c
EX_ura_e,0.0,583.2539381420601,ura_e --> 
EX_val__L_e,0.0,690.0667004902638,val__L_e --> 
EX_xan_e,0.0,1774.4261165800044,xan_e --> 
FMNAT,0.00016527624182560707,-1157.971465227005,atp_c + fmn_c + h_c --> fad_c + ppi_c
NADDP,0.0,188.93870908462407,h2o_c + nad_c --> amp_c + 2.0 h_c + nmn_c
NMNAT,0.0,-30.418376570841247,atp_c + h_c + nmn_c --> nad_c + ppi_c
HMPK1,0.0,-43.766424623103376,4ahmmp_c + atp_c --> 4ampm_c + adp_c + h_c
NDPK6,0.019392906473583646,-27.805119582384975,atp_c + dudp_c --> adp_c + dutp_c
NDPK8,0.0,54.041887495588725,atp_c + dadp_c --> adp_c + datp_c
PYNP2r,0.0,-41.070653781930844,pi_c + uri_c --> r1p_c + ura_c
DURIPP,0.0,103.9553498571901,duri_c + pi_c --> 2dr1p_c + ura_c
PTRCTA,0.0,-31.645903135468373,akg_c + ptrc_c --> 4abutn_c + glu__L_c
CYSDS,0.0,359.4017059059312,cys__L_c + h2o_c --> h2s_c + nh4_c + pyr_c
TRPAS2,0.0,350.11093918573545,h2o_c + trp__L_c --> indole_c + nh4_c + pyr_c
NDP3,0.0,43.965008543275836,gdp_c + h2o_c --> gmp_c + h_c + pi_c
CDPPH,0.0,51.110353669476495,cdp_c + h2o_c --> cmp_c + h_c + pi_c
NDP7,0.0,55.72607532606996,h2o_c + udp_c --> h_c + pi_c + ump_c
EX_co2_e,21.28538399329341,-2.0,co2_e --> 
PMDPHT,0.0003305524836512263,-32.87670857116973,5aprbu_c + h2o_c --> 4r5au_c + pi_c
ILETA,0.0,302.11480783146635,akg_c + ile__L_c --> 3mop_c + glu__L_c
VALTA,0.0,325.17828832038265,akg_c + val__L_c --> 3mob_c + glu__L_c
ORPT,0.0,101.51813032474777,orot5p_c + ppi_c --> orot_c + prpp_c
RBFSa,0.0006611049673024526,-5196.15300644904,4r5au_c + db4p_c --> dmlz_c + 2.0 h2o_c + pi_c
DHAD2,0.21532529713612256,-4.824208189329511,23dhmp_c --> 3mop_c + h2o_c
G1PP,0.0,29.66543829883289,g1p_c + h2o_c --> glc__D_c + pi_c
PFL,0.08068371082449499,-20.573074250409263,coa_c + pyr_c --> accoa_c + for_c
FRD2,0.0,53.434359581407385,fum_c + mql8_c --> mqn8_c + succ_c
FRD3,0.0,26.50702732185976,2dmmql8_c + fum_c --> 2dmmq8_c + succ_c
POX,0.0,257.3732495885905,h2o_c + pyr_c + q8_c --> ac_c + co2_c + q8h2_c
PTAr,0.0,-3.4198134826536624,accoa_c + pi_c --> actp_c + coa_c
ACKr,0.0,-2.8485089924942373,ac_c + atp_c --> actp_c + adp_c
EX_hxan_e,0.0,1754.4728707893582,hxan_e --> 
EX_ile__L_e,0.0,1036.7613240055653,ile__L_e --> 
EX_lac__L_e,0.0,41.26241089578244,lac__L_e --> 
EX_leu__L_e,0.0,762.4334419399672,leu__L_e --> 
EX_no3_e,0.0,44.86941456737321,no3_e --> 
EX_orn_e,0.0,356.5441223137062,orn_e --> 
EX_pro__L_e,0.0,374.6262799204002,pro__L_e --> 
EX_pyr_e,0.0,35.336380780347696,pyr_e --> 
EX_succ_e,0.0,82.78092656682053,succ_e --> 
EX_thymd_e,0.0,1032.8838547875046,thymd_e --> 
EX_tyr__L_e,0.0,478.88447988364345,tyr__L_e --> 
MOAT,0.014419796237485417,-4.400813787654442,ckdo_c + lipidA_c --> cmp_c + h_c + kdolipid4_c
UDCPDPS,4.076319865654182e-05,-1219.0992434967775,frdp_c + 8.0 ipdp_c --> 8.0 ppi_c + udcpdp_c
USHD,0.014419796237485417,-16.163342569946508,h2o_c + u23ga_c --> 2.0 h_c + lipidX_c + ump_c
LPADSS,0.014419796237485417,-6.882517208524405,lipidX_c + u23ga_c --> h_c + lipidAds_c + udp_c
TDSK,0.014419796237485417,-16.274062437750217,atp_c + lipidAds_c --> adp_c + h_c + lipidA_c
EX_btn_e,0.0,165879316.41913623,btn_e --> 
EX_ptrc_e,0.0,118.53803557706286,ptrc_e --> 
EX_spmd_e,-0.0,-2.0,spmd_e --> 
EX_thym_e,0.0,898.0778584994164,thym_e --> 
EX_xtsn_e,0.0,1767.108929473095,xtsn_e --> 
NTPP1,0.0,-7.508805456571054,dgtp_c + h2o_c --> dgmp_c + h_c + ppi_c
NTPP2,0.0,112.98310175657629,gtp_c + h2o_c --> gmp_c + h_c + ppi_c
NTPTP1,0.0,-43.315035831398845,dgtp_c + h2o_c --> dgsn_c + pppi_c
NTPTP2,0.0,103.9665757664502,gtp_c + h2o_c --> gsn_c + pppi_c
IPMD,0.33391063007147115,-26.64339732003549,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c
AIRC3,0.0,195.40140667329453,5aizc_c --> 5caiz_c
ADSL2r,0.3318821050765071,-43.16876243107413,25aics_c --> aicar_c + fum_c
EX_fe2_e,0.0,2.0,fe2_e --> 
PUNP5,0.0,7.625110435500915,ins_c + pi_c --> hxan_c + r1p_c
PUNP6,0.0,442.39854343705804,din_c + pi_c --> 2dr1p_c + hxan_c
PUNP7,0.0,37.05698258767285,pi_c + xtsn_c --> r1p_c + xan_c
RNDR1,0.0,203.87608828108125,adp_c + trdrd_c --> dadp_c + h2o_c + trdox_c
RNDR3,0.0,167.00817214255534,cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c
RNDR4,0.0,185.13426510633676,trdrd_c + udp_c --> dudp_c + h2o_c + trdox_c
TMDS,0.019392906473583646,-26.674027038010536,dump_c + mlthf_c --> dhf_c + dtmp_c
TMDK1,0.0,-27.334745032126534,atp_c + thymd_c --> adp_c + dtmp_c + h_c
PPCDC,0.0004995344708103033,-10410.599463294639,4ppcys_c + h_c --> co2_c + pan4p_c
FTHFD,0.0,214.99099213788915,10fthf_c + h2o_c --> for_c + h_c + thf_c
EX_glc__D_e,0.0,21.71288598620431,glc__D_e --> 
EDD,3.259212878232233,-16.421894281415383,6pgc_c --> 2ddg6p_c + h2o_c
DHQTi,0.282465991068781,-4.78878317572179,3dhq_c --> 3dhsk_c + h2o_c
PUNP1,0.0,16.819811862723384,adn_c + pi_c --> ade_c + r1p_c
PUNP2,0.0,372.64772178986414,dad_2_c + pi_c --> 2dr1p_c + ade_c
PUNP3,0.0,222.25518206503324,gsn_c + pi_c --> gua_c + r1p_c
LYSAM,0.0,-17.87411830456557,lys__L_c --> 36dahx_c
DHAD1,0.6480362858131903,-2.934678424563799,23dhmb_c --> 3mob_c + h2o_c
IPPMIa,0.0,81.87020674630058,3c2hmp_c --> 2ippm_c + h2o_c
EX_alltn_e,0.0,47.49476070643331,alltn_e --> 
G3PD7,0.0,52.27434263108028,2dmmq8_c + glyc3p_c --> 2dmmql8_c + dhap_c
NADH9,0.0,69.18620380625659,2dmmq8_c + h_c + nadh_c --> 2dmmql8_c + nad_c
NADH10,0.0,20.421859607539506,h_c + mqn8_c + nadh_c --> mql8_c + nad_c
MDH,8.475455136417656,-2.1976812505843384,mal__L_c + nad_c --> h_c + nadh_c + oaa_c
FUM,6.282693731769444,-2.3229129110079327,fum_c + h2o_c --> mal__L_c
PYDXNK,0.0,131.94263282974083,atp_c + pydxn_c --> adp_c + h_c + pdx5p_c
PYAM5PO,0.0,-61.23106829427317,h2o_c + o2_c + pyam5p_c --> h2o2_c + nh4_c + pydx5p_c
OHPBAT,0.0,238259.0839199225,glu__L_c + ohpb_c --> akg_c + phthr_c
EX_dgsn_e,0.0,2597.766817337629,dgsn_e --> 
EX_arab__L_e,0.0,93.52349924896144,arab__L_e --> 
EX_fru_e,0.0,34.095766720492676,fru_e --> 
EX_gal_e,0.0,52.18073983473438,gal_e --> 
EX_xyl__D_e,-0.0,-2.0,xyl__D_e --> 
EX_duri_e,0.0,861.4328690455724,duri_e --> 
EX_for_e,0.0,44.04070356094323,for_e --> 
EX_gly_e,0.0,265.31799085686725,gly_e --> 
EX_h2_e,0.0,33.49055872083409,h2_e --> 
EX_lys__L_e,0.0,715.1474178107233,lys__L_e --> 
EX_ser__L_e,0.0,163.54191702390605,ser__L_e --> 
EX_thm_e,0.0,351288.5277930115,thm_e --> 
EX_trp__L_e,0.0,1496.2688996584675,trp__L_e --> 
GLUTRR,0.002644419869209908,-105.15467780697304,glutrna_c + h_c + nadph_c --> glu1sa_c + nadp_c + trnaglu_c
GLCS1,0.0,-46.00620662382721,adpglc_c --> adp_c + glycogen_c + h_c
GLCP,0.0,421.2825628728617,glycogen_c + pi_c --> g1p_c
EX_din_e,0.0,2325.360170965018,din_e --> 
EX_fmn_e,0.0,46467.48055027504,fmn_e --> 
EX_gthox_e,0.0,2457.199435254875,gthox_e --> 
HEMEOS,0.0,-35.77114349747717,frdp_c + h2o_c + pheme_c --> hemeO_c + ppi_c
ADMDC,0.0,170008.26225359197,amet_c + h_c --> ametam_c + co2_c
AGMT,0.0,1525.886474264093,agm_c + h2o_c --> ptrc_c + urea_c
ARGDC,0.0,314.8088715473368,arg__L_c + h_c --> agm_c + co2_c
ARGSS,0.21922596467302047,-215.5107039292772,asp__L_c + atp_c + citr__L_c --> amp_c + argsuc_c + h_c + ppi_c
AGPR,0.0,25.257316515163936,acg5sa_c + nadp_c + pi_c --> acg5p_c + h_c + nadph_c
SPMS,0.0,-35.62474541512377,ametam_c + ptrc_c --> 5mta_c + h_c + spmd_c
G1SAT,0.002644419869209908,-3021.6040852203637,glu1sa_c --> 5aop_c
KDOCT2,0.02883959247497083,-21.693249959199193,ctp_c + kdo_c --> ckdo_c + ppi_c
OAADC,0.0,54.893543133064384,h_c + oaa_c --> co2_c + pyr_c
MNNH,0.0,-10.815978390241227,mana_c --> 2ddglcn_c + h2o_c
ALTRH,0.0,-10.349415147544775,altrn_c --> 2ddglcn_c + h2o_c
GUI1,0.0,6.75651723339604,glcur_c --> fruur_c
PGAMT,0.0,87.42856785414025,gam1p_c --> gam6p_c
UAGDP,0.07002969299380767,-29.625475086236463,acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c
UAGCVT,0.020595050259418417,-42.678574785749674,pep_c + uacgam_c --> pi_c + uaccg_c
GLUR,0.0,14.624374556470812,glu__D_c --> glu__L_c
UAG2E,0.0,-17.92462527280236,uacgam_c --> uacmam_c
EX_acald_e,0.0,52.86874273342377,acald_e --> 
EX_melib_e,0.0,29.424990284985416,melib_e --> 
MACPD,0.0,489.8123661677192,h_c + malACP_c --> acACP_c + co2_c
DMQMT,0.0,-27.166775776258874,2omhmbl_c + amet_c --> ahcys_c + h_c + q8h2_c
ICHORS_copy1,0.0,199.99039932960858,chor_c --> ichor_c
EX_sucr_e,0.0,-2.0,sucr_e --> 
EX_tre_e,0.0,15.058413603873603,tre_e --> 
EX_zn2_e,0.0,2.0,zn2_e --> 
HACD5,0.26376012977982677,-22.668354413777706,3oddcoa_c + h_c + nadh_c --> 3hddcoa_c + nad_c
DNMPPA,0.0004958287254768212,-2.0,dhpmp_c + h2o_c --> dhnpt_c + pi_c
HPPK2,0.0004958287254768212,-340.4392234943516,6hmhpt_c + atp_c --> 6hmhptpp_c + amp_c + h_c
PTPATi,0.0004995344708103033,-584.8174116225855,atp_c + h_c + pan4p_c --> dpcoa_c + ppi_c
HEX7,0.0,-13.114171348830219,atp_c + fru_c --> adp_c + f6p_c + h_c
DXPRIi,0.001770605119826914,-80.76200433776512,dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c
OPHBDC,0.00016527624182561924,-380.47547784436756,3ophb_c + h_c --> 2oph_c + co2_c
OHPHM,0.0,-25.79103714969824,2ohph_c + amet_c --> 2omph_c + ahcys_c + h_c
GHMT2r,0.7862687393519239,-86.83369977765506,ser__L_c + thf_c --> gly_c + h2o_c + mlthf_c
DHORD2,-2.757252204332872e-10,-7.50741563574411,dhor__S_c + q8_c --> orot_c + q8h2_c
ADK4,0.0,47.43612807346648,amp_c + itp_c --> adp_c + idp_c
INSK,0.0,117.64796812875815,atp_c + ins_c --> adp_c + h_c + imp_c
ABTA,0.0,-16.246693563219253,4abut_c + akg_c --> glu__L_c + sucsal_c
SSALx,0.0,183.18913737671673,h2o_c + nad_c + sucsal_c --> 2.0 h_c + nadh_c + succ_c
ASPT,0.0,147.1217704365117,asp__L_c --> fum_c + nh4_c
SERD_L,0.0,132.87433496156808,ser__L_c --> nh4_c + pyr_c
THRD,0.0,118.19765383972023,nad_c + thr__L_c --> 2aobut_c + h_c + nadh_c
HEX4,0.0,-2.0,atp_c + man_c --> adp_c + h_c + man6p_c
KARA1,0.0,600.1850130090064,23dhmb_c + nadp_c --> alac__S_c + h_c + nadph_c
KARA2,0.21532529713612256,-129.73035700799397,2ahbut_c + h_c + nadph_c --> 23dhmp_c + nadp_c
ACCOAC,0.05768363184434057,-97.29850329240435,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c
NADK,0.0003312936327166671,-534.0582333430411,atp_c + nad_c --> adp_c + h_c + nadp_c
ICHORS_copy2,0.0,233.22965161406754,chor_c --> ichor_c
SUCBZS,0.0,-16.979210001984484,2shchc_c --> h2o_c + sucbz_c
DHBD,0.0,223.3534061215056,23ddhb_c + nad_c --> 23dhb_c + h_c + nadh_c
ICHORT,0.0,380.2281471330653,h2o_c + ichor_c --> 23ddhb_c + pyr_c
RBK_L1,0.0,-51.754199469664684,atp_c + rbl__L_c --> adp_c + h_c + ru5p__L_c
RBP4E,0.0,-5.232486078884001,ru5p__L_c --> xu5p__D_c
NTD2,0.0,86.82075635995616,h2o_c + ump_c --> pi_c + uri_c
NTD4,0.0,95.91016066568812,cmp_c + h2o_c --> cytd_c + pi_c
NTD5,0.0,103.806183715249,dtmp_c + h2o_c --> pi_c + thymd_c
NTD6,0.0,-17.494166963612315,damp_c + h2o_c --> dad_2_c + pi_c
LGTHL,0.0,-35.665611691458935,gthrd_c + mthgxl_c --> lgt__S_c
PYDXPP,0.0,184.742823678234,h2o_c + pydx5p_c --> pi_c + pydx_c
PDXPP,0.0,-16.34734735195309,h2o_c + pdx5p_c --> pi_c + pydxn_c
HACD6,0.20608094482988512,-28.393431335804053,3otdcoa_c + h_c + nadh_c --> 3htdcoa_c + nad_c
ECOAH1,0.26376012977982677,-21.260073100682348,3hbcoa_c --> b2coa_c + h2o_c
ECOAH2,0.26376012977982677,-19.13503506332927,3hhcoa_c --> h2o_c + hx2coa_c
ECOAH3,0.26376012977982677,-20.833839202532545,3hocoa_c --> h2o_c + oc2coa_c
UGLT,0.0,118.95293552912518,gal1p_c + udpg_c --> g1p_c + udpgal_c
DXPS,0.0021011576034781526,-370.2340630501366,g3p_c + h_c + pyr_c --> co2_c + dxyl5p_c
CDPMEK,0.001770605119826914,-144.50573391073704,4c2me_c + atp_c --> 2p4c2me_c + adp_c + h_c
MECDPS,0.001770605119826914,-1689.0701035623706,2p4c2me_c --> 2mecdp_c + cmp_c
DDGLK,0.0,-1.8514501681384128,2ddglcn_c + atp_c --> 2ddg6p_c + adp_c + h_c
XYLI2,0.0,88.31656799139597,glc__D_c --> fru_c
PMANM,0.0,-20.772760610025024,man1p_c --> man6p_c
ICL,2.1939665130303134,-4.950684555697947,icit_c --> glx_c + succ_c
GLYCL,0.0,248.47333567328678,gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c
CMPN,0.0,-2.0,cmp_c + h2o_c --> csn_c + r5p_c
HCYSMT,0.0,216367.9538092729,amet_c + hcys__L_c --> ahcys_c + h_c + met__L_c
UDPG4E,0.0,87.98894964978334,udpg_c --> udpgal_c
LACZ,0.0,-45.66420023315281,h2o_c + lcts_c --> gal_c + glc__D_c
TRE6PH,0.0,-22.930631929881773,h2o_c + tre6p_c --> g6p_c + glc__D_c
XYLI1,0.0,-91.57762335666706,xyl__D_c --> xylu__D_c
PPC,0.0,29.691796079468933,co2_c + h2o_c + pep_c --> h_c + oaa_c + pi_c
ALDD4,0.0,-2.0,btal_c + h2o_c + nad_c --> but_c + 2.0 h_c + nadh_c
G3PT,0.0,-24.873821966904824,glyc3p_c + h2o_c --> glyc_c + pi_c
CINNDO,0.0,-41.65535819514682,cinnm_c + h_c + nadh_c + o2_c --> cenchddd_c + nad_c
DHPPD,0.0,-20.3624239060657,cechddd_c + nad_c --> dhpppn_c + h_c + nadh_c
DHCIND,0.0,316.9239170392249,cenchddd_c + nad_c --> dhcinnm_c + h_c + nadh_c
CITL,0.0,96.48364425367248,cit_c --> ac_c + oaa_c
GOFUCR,0.0,-79.76748144578914,gdpofuc_c + h_c + nadph_c --> gdpfuc_c + nadp_c
PYDXK,0.0,-73.52376949588586,atp_c + pydx_c --> adp_c + h_c + pydx5p_c
GTPCII2,0.0003305524836512263,-1092.0662852582407,gtp_c + 3.0 h2o_c --> 25drapp_c + for_c + 2.0 h_c + ppi_c
URIC,0.0,-2.0,2.0 h2o_c + o2_c + urate_c --> alltn_c + co2_c + h2o2_c
SADT2,0.18342105327124722,-38.9443049527481,atp_c + gtp_c + h2o_c + so4_c --> aps_c + gdp_c + pi_c + ppi_c
LCARS,0.0,-12.493331007739528,h_c + lald__L_c + nadh_c --> 12ppd__S_c + nad_c
ALCD19,0.0,-24.77943972738842,glyald_c + h_c + nadh_c --> glyc_c + nad_c
RMPA,0.0,-52.16747523349111,rml1p_c --> dhap_c + lald__L_c
SBTPD,0.0,130.78566786249183,nad_c + sbt6p_c --> f6p_c + h_c + nadh_c
PFK_2,0.0,-54.3072733241097,atp_c + tag6p__D_c --> adp_c + h_c + tagdp__D_c
GLTPD,0.0,-37.95091864839254,galt1p_c + nad_c --> h_c + nadh_c + tag6p__D_c
TGBPA,0.0,-28.789923734516478,tagdp__D_c --> dhap_c + g3p_c
MANAO,0.0,4.8254353686366525,mana_c + nad_c --> fruur_c + h_c + nadh_c
TAGURr,0.0,-22.61614735782385,altrn_c + nad_c --> h_c + nadh_c + tagur_c
PGLYCP,0.0,-29.88574631881651,2pglyc_c + h2o_c --> glyclt_c + pi_c
GLXCL,0.0,137.33946068454927,2.0 glx_c + h_c --> 2h3oppan_c + co2_c
TARTD,0.0,-24.27207101349658,tartr__L_c --> h2o_c + oaa_c
