,smoment_no_adj_kcat,smoment_adj_kcat,kcat_in_vitro,kapp,kcat_GO
FBA,10.24782353,10.28599609,8.2,10.40164772,820
P5CR,630.072283,573.5597577,22.95027886,32,22.95027886
CFAS160G,14.67228571,14.67228571,0.12,31.92426023,0.12
ALAR,42.338,42.338,27.667,31.6577009,27.667
ECAP2pp,,,10.28041931,31.43111477,10.28041931
AGDC,236.8125,236.8125,105,31.36568366,105
ADK1,32.5761,29.69059639,49.0781691,31,49.07816911
PGMT,57.64533333,57.64533333,0.006,30.98856986,0.006
GDPMNH,,,22.56015075,30.93002997,22.56015075
ALLULPE_reverse,,,9.307435768,30.77141975,9.307435767
DAPE_reverse,69.786625,62.88755068,67,30.54716354,67
CFAS180G,14.67228571,14.67228571,0.12,29.9382312,0.12
IPPMIa_reverse,3.2,2.666269018,22.58453123,29.60177974,22.58453123
UAMAGS,999,999,7.150660159,29,7.150660158
ALAR_reverse,4.995,4.995,27.667,28.97017458,27.667
SADT2,6.064526316,5.782462944,10.59451624,28.4560573,10.59451624
FA140ACPHi,3.282793103,3.282793103,66.29751207,27.84806899,66.29751208
TMAOR1,,,84.77051451,27.79552849,84.7705145
ADMDC,4.552512118,4.552512118,22.66994949,27.511001,22.66994949
PPCK,26.93413793,26.93413793,0.67,26.96154052,0.67
G3PD7,33.3,33.3,17.89120467,26.96075433,17.89120467
ADD,89.10078333,89.10078333,200,26.91811163,200
ARMEPNS,,,11.54469191,26.67170811,11.54469191
GALT1,,,10.33736967,26.41069628,10.33736967
DMSOR2,,,12.99619077,26.32459452,12.99619077
NADTRHD,152.372,152.372,23.73556824,26.27625181,23.73556824
ACODA,507.1553934,501.4624492,3800,26,3800
L_LACD2,169.05,169.05,21.48215539,25.9861464,21.48215539
SELNPS,,,9.61828204,25.50218579,9.618282039
UGLYCH,184.05375,184.05375,34.47471926,25.39368318,34.47471925
PPGPPDP,2.635833333,2.635833333,11.1358229,25.20023524,11.1358229
GLU5K,,,19.02618487,25,19.02618487
PTA2,361.6845455,341.9915215,37.63156832,24.98114533,37.63156833
GLUR,48.03163158,48.03163158,12.167,24.56097498,12.167
ECAtpp,,,26.224901,24.1232126,26.224901
MALS,140.03,140.03,48.1,23.46476155,48.1
CYTK1,151.257,151.257,103,24,103
AGPR_reverse,,,32.88630725,24,32.88630725
OMPDC,68.93421053,66.1868144,5,24,5
ALCD2x_reverse,313.1125,313.1125,26.21393405,23.98388338,26.21393405
ARABDI,0.1055,0.1055,11.85546243,23.97851033,11.85546243
GUI1,67.86666667,67.86666667,196,23.93310175,196
RBP4E,17.78911111,17.78911111,0.855,23.42243079,0.855
2AGPEAT160,,,8.33510471,23.28964517,8.335104711
PUACGAMS_reverse,,,20.72728667,22.93521711,20.72728668
DHAPT,2.520833333,2.520833333,2.8,22.75974317,2.8
AMPTASECG,128.6681818,128.6681818,178.333,22.5105721,178.333
MANPGH,,,28.42300344,22.39933638,28.42300344
SUCOAS,28.57545455,28.19514381,44.73,7.948072179,44.73
DMSOR2pp,,,18.36934839,22.07302957,18.36934839
BPNT,7.3625,7.3625,106.8934183,22,106.8934183
PRATPP,,,26.91999509,22,26.91999509
PRAMPC,4.2175,4.601163333,24.94651645,22,24.94651645
ADSK,43.2254,43.2254,18.65024603,22,18.65024603
FACOAE120,10.84344615,10.84344615,10.13,22,10.13
PPND,39.51533333,40.24753084,0.45,22,0.45
SERD_L,261.3471818,261.3471818,1.6,21.89696464,1.6
WCOS,,,9.692202572,21.81672177,9.692202572
MLTP1_reverse,49.31054468,49.31054468,25.7425509,21.74589057,25.7425509
AP4AH,56.242,56.242,29.272986,21.43020754,29.272986
DXYLTD,,,15.00112635,21.42723256,15.00112635
SGDS,,,37.47747472,21.24959286,37.47747472
NHFRBO,183.4028571,183.4028571,0.12,21.18652985,0.12
ACOAD8f,,,13.04479115,21.15230574,13.04479115
PSCVT,18.7400089,18.51162331,100,21,100
ASPTA_reverse,293.8333333,271.6543666,38.95292449,21,38.9529245
UHGADA,0.997166667,0.997166667,17.58662774,21,17.58662774
GLUR_reverse,5857.621,5857.621,12.167,21,12.167
GTHRDHpp,12.45,12.45,16.70708694,20.86666434,16.70708694
S4FE4SR,,,30.40666705,20.81427113,30.40666706
THRD,155.5966667,155.5966667,88,20.71914153,88
LACZ,531.1,531.1,33.4091535,20.59817844,33.4091535
OXCOAHDH,,,13.21009545,20.52324148,13.21009545
ALAGLUE,6.907571429,6.907571429,24.13956475,20.40729717,24.13956475
GALCTD,7.02,7.02,28.24355414,20.26165014,28.24355414
MLTGY2pp,,,21.32328867,20.04315912,21.32328867
FA161ACPHi,3.282793103,3.282793103,36.53013861,20.00414842,36.53013861
DHORD2,,44.40705018,24.94266033,20,24.94266034
PRAGSr,203.34,170.5213354,11.34883488,20,11.34883488
PGCD,905.5035714,845.3960794,0.55,20,55
FESR,,,67.64320708,19.9557041,67.64320708
DXYLTD_reverse,,,13.92355485,19.91586449,13.92355485
SULR,254.8423077,236.6734904,25.72565416,19.88866846,25.72565416
MLDCP2Bpp,160,160,18.08953651,19.86536546,18.08953651
ETHAAL,128.8442727,128.8442727,770,19.84114555,770
GAPP,,,16.81186092,19.83661868,16.81186092
AGPAT181,,,10.96438153,19.76804092,10.96438153
HSDy,5.346,5.332775266,0.24,19.55972572,0.24
PETNT181pp,,,19.64191041,19.46388132,19.64191041
ALTRH,,,36.05691821,19.4051448,36.05691822
TYRTA,335.9275952,313.8995399,12.46670661,19.31887771,12.46670661
GSNK,,,10.79025912,19.16790021,10.79025912
G3PD2,,,31.04372579,19.06784541,31.04372581
ASNS2,2.023,2.023,16.15793405,19,16.15793405
FCLK,,,10.80131667,18.94602085,10.80131667
UGLT,295.0923077,295.0923077,62,18.85871497,62
UDPGPT,,,20.89927445,18.73753996,20.89927445
F6PA,,,68.92742334,18.66503202,68.92742333
ACHBS,36.49757143,36.49757143,71,18.62913099,71
ALCD19,5.040245439,5.040245439,17.43445153,18.60804026,17.43445153
MANAO_reverse,,,25.28657599,18.43672712,25.28657599
HEPT4,,,14.60930001,18.34744511,14.60930001
CYTD,,,27.82113049,18.31787659,27.82113047
SFGTHi,5.814285714,5.814285714,45.06842978,18.26042983,45.06842978
XAND,75.36363636,75.36363636,17.55187925,18.19934309,17.55187925
ALCD2x,170.5919231,170.5919231,10.63218651,18.16336914,10.63218651
FRUK,,,1.4,18.10170852,1.4
NADHXD,,,23.25839481,18.07267687,23.25839481
PDE4,6.138013636,6.138013636,19.69618695,18.02105742,19.69618695
DTMPK,7.773636364,7.94163283,14.83910281,18,14.83910281
PSSA161,,,11.9275613,18,11.9275613
UAG2E_reverse,3.03025,3.03025,14.93773347,17.98853613,14.93773347
ACACT1r,333607.94,333607.94,6.5,17.98486026,6.5
MLTG1,130.5025,130.5025,30.82263895,17.94755623,30.82263894
HXAND,182.6666667,182.6666667,17.76574436,17.94683866,17.76574436
EDTXS4,,,16.404609,17.68708818,16.404609
FACOAE140,10.84344615,10.84344615,12.58583878,17.5965996,12.58583878
GLUDC,20.496225,20.496225,19.48732337,17.55455847,19.48732337
ALATA_L,41.3976,44.84123687,69.92440238,17.544364,69.92440239
CDAPPA180,,,9.665173239,17.53935534,9.665173239
SADH,,,33.97921312,17.4214089,33.97921311
GLYCLTDy,94249.86,94249.86,14.58957205,17.3990068,14.58957205
MLDCP2App,160,160,13.52786077,17.15871469,13.52786077
GLYCK2,194.8615385,194.8615385,17.86303658,17.15146118,17.86303658
PROD3,,,9.463551287,17.11327958,9.463551286
ENO_reverse,65.09481478,64.06122167,28.83131384,14.41036694,28.83131383
SHKK,42.48888889,39.52994859,47.39301683,17.01726647,47.39301683
UAGPT3,2.198888889,2.198888889,9.527853837,17,9.527853836
L_LACD3,169.05,169.05,15.92510136,16.9591783,15.92510136
ME1,131.1773333,131.1773333,25.6831778,16.92780566,25.6831778
G3PD5,,,33.3,16.7572722,33.3
FCI_reverse,0.1055,0.1055,11.80157617,16.70142555,11.80157618
MAN6PI_reverse,17196.606,17196.606,82.06496212,16.65210249,82.06496211
UDPG4E_reverse,246.1454545,246.1454545,960,16.55161013,960
RBK,16.70857143,16.70857143,26.57354112,16.48643162,26.57354112
GGPTRCO,,,11.16507205,16.41977503,11.16507205
XYLI2_reverse,2.4243125,2.4243125,12.28460121,16.37720403,12.28460121
DCYTD,,,21.40368364,16.33573253,21.40368364
NTPTP2,,,71.58862039,16.3208074,71.58862039
SERASr,,,13.20017276,16.28196226,13.20017276
GDPMNP,,,27.02115713,16.24858865,27.02115713
GSPMDA,3.6,3.6,2.1,16.07157034,2.1
DRPA,107.5737,107.5737,521,16.03890025,521
FEOXAMR3,,,11.29683524,16.03170888,11.29683524
UAGDP,140.89,128.4284249,330,16,330
G1PACT,767.834,698.3775158,120,16,120
UGMDDS,999,999,18,16,18
23PDE7pp,10.12,10.12,15.88281316,15.95407069,15.88281316
AMALT1,129.5747692,129.5747692,16.31309342,15.91056382,16.31309342
UAG2E,3.03025,3.03025,7.1,15.89143254,7.1
GLYCTO3,,,9.90576999,15.85725599,9.905769989
THRD_L,190.85,190.85,22.92122809,15.84318071,22.92122809
SERAT_reverse,1189.906182,1189.906182,34.71425547,15.78831508,34.71425547
O16AUNDtpp,,,22.40903791,15.71305907,22.40903791
ASNNpp,359.59428,359.59428,102.8349123,15.56311269,102.8349123
3NTD7pp,27.41375,27.41375,19.61553033,15.5462287,19.61553033
ECOAH1_reverse,929.4083333,929.4083333,18.82560091,15.46847196,18.82560091
CPL,,,23.63007656,15.45075441,23.63007656
A5PISO,118.0384615,118.0384615,30.80800195,15.4303242,30.80800194
IPDDI_reverse,2151.644571,2151.644571,16.82755733,15.30479842,16.82755733
MNNH,2.763333333,2.763333333,0.81,15.23374873,0.81
MDDCP1pp,33.84328846,33.84328846,20.25958445,15.13698636,20.25958445
AM4PCP,,,82.59741089,15.13149622,82.59741089
ECAP3pp,,,12.64024643,15.08523227,12.64024643
LEUTAi,18.55055556,18.24573622,16.36044888,15.02739517,16.36044888
ADSL2r,123.31,113.3067769,18.19764299,15,18.19764299
PSSA160,,,14.5321238,15,14.5321238
MTHFC_reverse,2962.333333,2962.333333,69.78722315,14.99499725,69.78722314
TRSARr,243,243,31.68904067,14.97507777,31.68904067
DDPGALA_reverse,13.52266667,13.52266667,16.49696902,14.96365901,16.49696902
ECAP1pp,,,20.53189911,14.86120674,20.53189911
SQVOSI,,,66.15257666,14.77289247,66.15257667
THRA,2.793318917,2.678477064,46.19586187,14.76908042,46.19586186
POR5_reverse,,,12.74170243,14.7168247,12.74170243
GALM2pp,5303.6875,5303.6875,17.15361259,14.62732468,17.15361259
23PDE2pp,10.12,10.12,15.73103317,14.61892208,15.73103317
CFAS160E,14.67228571,14.67228571,0.12,14.60008878,0.12
BSORy,,,16.90373634,14.52305144,16.90373634
CTECOAI8_reverse,95.42728814,95.42728814,7.999612133,14.42192054,7.999612133
DMSOR1,,,19.16064062,14.31321542,19.16064063
FADRx2,33.05522,30.09373319,22.44046897,14.26910193,22.44046897
MLTG5,130.5025,130.5025,19.49868283,14.25374084,19.49868283
HOPNTAL,0.927,0.927,205.4,14.13184225,205.4
GLXCL,18.9,18.9,18.9,14.13106645,18.9
NTPP3,26.71714286,26.71714286,17.4,14.06069124,17.4
GLYCTO2,,,11.69721777,14.02374116,11.69721778
DHDPRy,,,18.08050014,14,18.08050014
G5SD,,,17.67040011,14,17.67040011
PRFGS,499.525,333.716741,8.161121907,14,8.161121908
UAMAS,55.9036,55.9036,7.607000548,14,7.607000547
2HPTCOAT,,,43.20426444,13.95781172,43.20426444
HPYRI,,,11.24535013,13.94336281,11.24535013
GLYAT_reverse,0.179366667,0.179366667,0.02,13.91160932,0.02
ICHORS_copy1,11.00954545,11.00954545,1.333,13.90950684,1.333
TALA,178.09,153.1869184,13,13.87158777,1300
GAL1PPpp,,,27.44558258,13.86990055,27.44558258
4PEPTabcpp,,,14.56454646,13.77766893,14.56454646
AAMYLpp,,,17.94523267,13.77725516,17.94523267
UDPGD,25.97864706,25.97864706,11.13025749,13.70229683,11.13025749
RNTR1c2,,,21.88987441,13.67496567,21.88987441
CYTBDpp,,,13.27765533,13.64662201,13.27765533
ACACT1r_reverse,455179.8909,455179.8909,220.5,13.62688375,220.5
ACACT5r,333607.94,333607.94,6.5,13.60541666,6.5
MLTG3,152.7666767,152.7666767,25.82374294,13.58040802,25.82374294
ALATA_L_reverse,45.49227273,49.20705038,16.85006893,13.57503028,16.85006893
TAGURr_reverse,,,37.69000718,13.54344157,37.69000717
GSPMDS,3.579473684,3.579473684,8.557200476,13.51844438,8.557200475
ACACT2r_reverse,333607.94,333607.94,14.84333749,13.50655361,14.84333749
ECOAH2,1111.9,1111.9,15.64388579,13.4723647,15.64388579
METGLCUR,,,28.32580367,13.45606983,28.32580367
EDD,,,21.49934669,13.42466304,21.49934669
23PDE4pp,10.12,10.12,13.04404178,13.41963716,13.04404178
HEX1,163.6733333,163.6733333,12,13.21190464,1200
CYSS,305.7815385,283.9433076,810,13.20411196,810
APG3PAT180,,,19.7124808,13.18686996,19.7124808
LYXI,,,20.05923313,13.18027391,20.05923313
FLDR2,,,25.83191455,13.13518633,25.83191454
SHCHCS3,117.375,117.375,17.39365201,13.13143122,17.39365201
3NTD4pp,27.41375,27.41375,20.00504882,13.03265531,20.00504882
BUTCT,290,290,10.47892734,13.02721535,10.47892734
3KGK,,,15.38655081,13.01091297,15.38655081
KARA1_reverse,1.404,1.432787454,21.84899849,2.3,21.84899849
KARA1,2.520304348,2.486985916,19.33313022,4.435127723,19.33313022
AIRC3_reverse,14.43333333,11.40787623,15.5,13,15.5
ARAI,225.2369697,225.2369697,15.11404573,12.93276561,15.11404573
AGM4PCP,,,76.36605457,12.90038151,76.36605458
UDPGPT_reverse,,,18.91765731,12.88980728,18.91765731
SHK3Dr,98.20163636,95.80223155,237,12.8068443,237
ECOAH6_reverse,1111.9,1111.9,14.90079068,12.79340534,14.90079068
OCBT,566.4757167,523.2818764,3450,12.73120439,3450
GLYK,3285,3285,13.03808075,12.68623388,13.03808075
ADNUC,2.619036364,2.619036364,0.0154,12.66630183,0.0154
DTARTD,11.46666667,11.46666667,23.71964739,12.62262685,23.71964739
ECOAH2_reverse,1111.9,1111.9,17.0377634,12.58645331,17.0377634
S4FE4ST,,,14.84136093,12.57511966,14.84136093
ALR4x,,,25.8429913,12.53942942,25.8429913
ARABDI_reverse,0.1055,0.1055,14.93830535,12.52208789,14.93830535
ACACT2r,333607.94,333607.94,6.5,12.50778352,6.5
ECOAH5,1111.9,1111.9,18.01953228,12.5067844,18.01953228
PYK3,403.5238462,403.5238462,31.48996873,12.5057328,31.48996872
KDUI,,,16.23833138,12.50171186,16.23833138
PYNP2r,73.24888889,73.24888889,47.17133123,12.49242503,47.17133122
3NTD2pp,27.41375,27.41375,61,12.45457849,61
FACOAE180,10.84344615,10.84344615,15.58033177,12.4534274,15.58033178
MLTG2,,,27.17875924,12.3825855,27.17875924
XYLK2,,,23.54659913,12.37013539,23.54659913
LDGUNPD,,,13.3768538,12.36648755,13.3768538
GALKr,32.194,32.194,12.86129966,12.31755689,12.86129966
EDA,72.15063,72.15063,31.77047561,12.31598094,31.77047561
EAR40x,,,13.75293314,12.27203176,13.75293314
UDPKAAT_reverse,,,30.63638629,12.25952785,30.63638628
ECOAH3,1111.9,1111.9,15.96686807,12.25716324,15.96686807
GLUN,35.39611111,35.39611111,33,12.14770445,33
PSCVT_reverse,31.25001213,30.00661423,12.29789438,12.12508125,12.29789438
GLCDpp,,,13.48650418,12.103278,13.48650418
23PDE9pp,10.12,10.12,11.54506303,12.09538593,11.54506303
SBTPD_reverse,,,40.50520488,12.06419443,40.50520489
PPNDH,403.1058263,383.827326,1890,12,1890
ECOAH1,929.4083333,929.4083333,17.62989968,11.98590682,17.62989968
SPODM,50519.8,50519.8,52.9288419,11.98502395,52.92884189
AMALT2,129.5747692,129.5747692,10.60641242,11.98171874,10.60641242
MCTP1App,,,27.49250419,11.86053908,27.49250419
MICITDr_reverse,3,18.86151429,3,11.85682224,3
MLDEP1pp,,,12.86578472,11.85582843,12.86578472
MDH2,,,20.32862619,11.85129023,20.32862619
